SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Hippeastrum aulicum,-41.916667,-13.533333
Hippeastrum aulicum,-49.047789,-26.192511
Hippeastrum aulicum,-48.469444,-24.6175
Hippeastrum aulicum,-46.041111,-23.656194
Hippeastrum aulicum glaucophyllum,-41.083611,-20.516111
Hippeastrum aulicum glaucophyllum,-40.6002998352051,-19.9356002807617
Hippeastrum aulicum,-40.6002998352051,-19.9356002807617
Hippeastrum aulicum,-48.834400177002,-25.476900100708
Hippeastrum aulicum,-49.005044,-25.386475
Hippeastrum aulicum,-49.005044,-25.386475
Hippeastrum aulicum,-39.3328018188477,-10.4378004074097
Hippeastrum aulicum,-40.6591987609863,-20.3633003234863
Hippeastrum aulicum,-49.0553016662598,-25.3055992126465
Hippeastrum aulicum,-49.0553016662598,-25.3055992126465
Hippeastrum aulicum,-49.0553016662598,-25.3055992126465
Hippeastrum aulicum,-49.0553016662598,-25.3055992126465
Hippeastrum aulicum,-48.5746994018555,-25.8827991485596
Hippeastrum aulicum,-48.834400177002,-25.476900100708
Hippeastrum aulicum,-48.834400177002,-25.476900100708
Hippeastrum aulicum,-48.834400177002,-25.476900100708
Hippeastrum aulicum,-48.834400177002,-25.476900100708
Hippeastrum aulicum,-48.834400177002,-25.476900100708
Hippeastrum aulicum,-49.0633010864258,-25.4416999816895
Hippeastrum aulicum,-49.0769004821777,-25.3656005859375
Hippeastrum aulicum,-49.0769004821777,-25.3656005859375
Hippeastrum aulicum,-49.2064018249512,-25.5347003936768
Hippeastrum aulicum,-49.4636001586914,-24.1128005981445
Hippeastrum aulicum,-49.1988983154297,-25.9281005859375
Hippeastrum aulicum,-49.1988983154297,-25.9281005859375
Hippeastrum aulicum,-49.1988983154297,-25.9281005859375
Hippeastrum aulicum,-49.7268981933594,-29.3353004455566
Hippeastrum aulicum,-48.8400001525879,-24.5
Hippeastrum aulicum,-42.983333,-22.416667
Hippeastrum aulicum,-41.472719,-12.454922
Hippeastrum aulicum,-46.6300010681152,-23.5400009155273
Hippeastrum aulicum,-46.621883,-23.654505
Hippeastrum aulicum,-49.0553,-25.3058
Hippeastrum aulicum,-50.5842,-25.0242
Hippeastrum aulicum glaucophyllum,-42.5208015441895,-20.6667003631592
Hippeastrum aulicum,-42.5208015441895,-20.6667003631592
Hippeastrum aulicum,-41.471111,-20.362778
Hippeastrum aulicum,-40.4199981689453,-20.2639007568359
Hippeastrum aulicum glaucophyllum,-40.6591987609863,-20.3633003234863
Hippeastrum aulicum,-41.5358009338379,-20.3458003997803
Hippeastrum aulicum glaucophyllum,-41.5358009338379,-20.3458003997803
Hippeastrum aulicum,-41.3664016723633,-21.0641994476318
Hippeastrum aulicum glaucophyllum,-41.8683013916016,-20.4333000183105
Hippeastrum aulicum,-41.91667,-13.53333
Hippeastrum aulicum,-49.0069,-25.7394
Hippeastrum aulicum,-48.5092010498047,-25.5200004577637
Hippeastrum aulicum,-48.5092010498047,-25.5200004577637
Hippeastrum aulicum,-48.5531005859375,-27.1578006744385
Hippeastrum aulicum,-49.1021,-26.196
Hippeastrum aulicum,-48.492,-25.0739
Hippeastrum aulicum,-48.884968,-25.332695
Hippeastrum aulicum,-48.6987,-25.614
Hippeastrum aulicum,-48.987056,-25.515806
Hippeastrum aulicum,-38.875278,-11.711667
Hippeastrum aulicum,-49.005,-25.386389
Hippeastrum aulicum,-39.335833,-10.438611
Hippeastrum aulicum,-41.964444,-13.526111
Hippeastrum aulicum,-41.333333,-12.983333
Hippeastrum aulicum,-41.162778,-11.613056
Hippeastrum aulicum,-41.163056,-11.602222
Hippeastrum aulicum,-41.3899993896484,-12.563099861145
Hippeastrum aulicum,-41.8114013671875,-13.5789003372192
Hippeastrum aulicum,-43.3088989257812,-17.0646991729736
Hippeastrum aulicum,-46.9900016784668,-24.3199996948242
Hippeastrum aulicum,-46.6300010681152,-23.5400009155273
Hippeastrum aulicum,-50.2071990966797,-29.6749992370605
Hippeastrum aulicum,-47.9900016784668,-23.8700008392334
Hippeastrum aulicum,-475.808,-240.403
Hippeastrum aulicum,-49.7268981933594,-29.3353004455566
Hippeastrum aulicum,-47.9296989440918,-15.7797002792358
Hippeastrum aulicum,-44.5633010864258,-22.4960994720459
Hippeastrum aulicum,-46.55,-23.11
Hippeastrum aulicum,-44.96,-23.07
Hippeastrum aulicum,-43.801399230957,-20.2532997131348
Hippeastrum aulicum,-43.8278007507324,-22.0891990661621
Hippeastrum aulicum,-43.8278007507324,-22.0891990661621
Hippeastrum aulicum,-46.6300010681152,-23.5400009155273
Hippeastrum aulicum,-43.793098449707,-21.8425006866455
Hippeastrum aulicum,-41.96444,-13.52611
Hippeastrum aulicum,-74.2166667,-4.7
Hippeastrum aulicum,-41.184700012207,-20.6035995483398
Hippeastrum aulicum,-40.749698638916,-20.6350002288818
Hippeastrum aulicum,-46.756599,-23.988399
Hippeastrum aulicum,-46.756599,-23.988399
Hippeastrum aulicum,-49.7268981933594,-29.3353004455566
Hippeastrum aulicum,-48.5491981506348,-27.596700668335
Hippeastrum aulicum,-48.5491981506348,-27.596700668335
Hippeastrum aulicum,-48.9911003112793,-24.6571998596191
Hippeastrum aulicum,-49.7268981933594,-29.3353004455566
Hippeastrum aulicum,-47.25,-24.55
Hippeastrum aulicum,-47.5499992370605,-24.7000007629395
Hippeastrum aulicum,-47.5499992370605,-24.7000007629395
Hippeastrum aulicum,-48.5900001525879,-24.5799999237061
Hippeastrum aulicum,-46.9900016784668,-24.3199996948242
Hippeastrum aulicum,-48.3600006103516,-24.0900001525879
Hippeastrum aulicum,-41.344444,-12.999167
Hippeastrum aulicum,-41.366667,-11.583333
Hippeastrum aulicum,-43.2075004577637,-22.9027996063232
Hippeastrum aulicum,-49.047789,-26.192511
Hippeastrum aulicum,-48.834400177002,-25.476900100708
Hippeastrum aulicum,-49.4977777,-26.9097222
Hippeastrum aulicum,-49.41,-28.17
Hippeastrum aulicum,-49.0477777,-26.1925
Hippeastrum aulicum,-49.9452777,-29.0452777
Hippeastrum aulicum,-50.0744445,-29.205
Hippeastrum aulicum,-49.05,-27.4505556
Hippeastrum aulicum,-49.1391666,-27.0969444
Hippeastrum aulicum,-49.77,-28.71
Hippeastrum aulicum,-48.9308334,-26.7997222
Hippeastrum aulicum,-48.9608333,-27.8097222
Hippeastrum aulicum,-49.0769004821777,-25.3656005859375
Hippeastrum aulicum,-48.535,-27.7241667
Hippeastrum aulicum,-49.2355555,-26.365
Hippeastrum aulicum glaucophyllum,-48.6894444,-27.5402777
Hippeastrum aulicum,-48.87,-28.08
Hippeastrum aulicum,-48.980556,-25.49
Hippeastrum aulicum,-49.0553016662598,-25.3055992126465
Hippeastrum aulicum,-48.5046997070312,-24.7563991546631
Hippeastrum aulicum,-40.479167,-20.272778
Hippeastrum aulicum,-40.553889,-19.836389
Hippeastrum aulicum,-41.100556,-20.519167
Hippeastrum aulicum,-40.506944,-19.936111
Hippeastrum aulicum,-41.083611,-20.516111
Hippeastrum aulicum,-40.548333,-19.847222
Hippeastrum aulicum,-41.466944,-20.386111
Hippeastrum aulicum,-40.604167,-19.780556
Hippeastrum aulicum var. glaucophyllum,-40.530278,-19.971389
Hippeastrum cf. aulicum,-40.553056,-19.9075
Hippeastrum cf. aulicum,-41.100556,-20.519167
Hippeastrum cf. aulicum,-41.100556,-20.519167
Hippeastrum aulicum,-39.5233001708984,-12.771900177002
Hippeastrum aulicum,-39.5233001708984,-12.771900177002
Hippeastrum aulicum,-48.5491981506348,-27.596700668335
