SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Jacquemontia martii,-40.4006004333496,-18.710599899292
Jacquemontia martii,-40.4006004333496,-18.710599899292
Jacquemontia martii,-40.4006004333496,-18.710599899292
Jacquemontia martii,-39.833333,-12.533333
Jacquemontia martii,-42.8185997009277,-22.9193992614746
Jacquemontia martii,-36.425,-9.245
Jacquemontia martii,-36.43,-9.258889
Jacquemontia martii,-36.391389,-8.246667
Jacquemontia martii,-36.3955,-8.2075
Jacquemontia martii,-36.370833,-8.15
Jacquemontia martii,-40.483333,-12.033333
Jacquemontia martii,-35.9000015258789,-8.65832996368408
Jacquemontia martii,-36.4241981506348,-8.3355598449707
Jacquemontia martii,-40.4724998474121,-11.8589000701904
Jacquemontia martii,-43.7075004577637,-22.7439002990723
Jacquemontia martii,-43.7752990722656,-22.8521995544434
Jacquemontia martii,-42.6096992492676,-22.7085990905762
Jacquemontia martii,-41.240556,-12.698056
Jacquemontia martii,-40.458,-18.767
Jacquemontia martii,-53.448333,-22.323888
Jacquemontia cf. martii,-56.725277,-21.046666
Jacquemontia martii,-39.165,-14.351389
Jacquemontia martii,-36.4241981506348,-8.3355598449707
Jacquemontia martii,-41.3706,-13.0056
Jacquemontia martii,-40.4306,-13.4411
Jacquemontia martii,-44.9722,-22.1936
Jacquemontia martii,-39.28,-14.28
Jacquemontia martii,-36.43,-9.2589
Jacquemontia martii,-41.32,-12.83
Jacquemontia martii floribunda,-43.448386,-22.913514
Jacquemontia martii floribunda,-43.448386,-22.913514
Jacquemontia martii,-43.448386,-22.913514
Jacquemontia martii,-44.9324989318848,-21.9771995544434
Jacquemontia martii floribunda,-43.937801361084,-19.9207992553711
Jacquemontia martii floribunda,-43.937801361084,-19.9207992553711
Jacquemontia martii,-38.9558,-12.6183
Jacquemontia martii,-53.4483333,-22.3241667
Jacquemontia martii,-54.5330556,-21.7911111
Jacquemontia martii,-57.65,-19.0166667
Jacquemontia martii,-54.9063889,-21.8797223
Jacquemontia martii,-54.5386111,-21.9694445
Jacquemontia martii,-56.2358333,-19.9555556
Jacquemontia martii,-40.4006004333496,-18.710599899292
Jacquemontia martii,-40.4006004333496,-18.710599899292
Jacquemontia martii,-40.4006004333496,-18.710599899292
Jacquemontia martii,-40.4006004333496,-18.710599899292
Jacquemontia martii,-40.4006004333496,-18.710599899292
Jacquemontia martii,-40.4006004333496,-18.710599899292
Jacquemontia martii,-39.083333,-12.533333
Jacquemontia martii,-43.2075004577637,-22.9027996063232
Jacquemontia martii,-43.2075004577637,-22.9027996063232
Jacquemontia martii,-41.0410995483398,-13.7628002166748
Jacquemontia martii,-41.0710983276367,-12.8185997009277
Jacquemontia martii,-40.475278,-12.335
Jacquemontia martii,-41.14,-12.593056
Jacquemontia martii,-38.9557991027832,-12.6183004379272
Jacquemontia martii,-40.1893997192383,-10.4614000320435
Jacquemontia martii,-53.054438,-21.284788
Jacquemontia martii,-53.054438,-21.284788
Jacquemontia martii,-40.481111,-12.508611
Jacquemontia martii,-55.106718,-21.644925
Jacquemontia martii,-54.8,-22.216667
Jacquemontia martii,-40.191667,-14.377778
Jacquemontia martii,-53.054438,-21.284788
Jacquemontia martii,-39.165,-14.351389
Jacquemontia martii,-38.467222,-9.661667
Jacquemontia martii,-40.21,-10.404444
Jacquemontia martii,-41.323056,-12.745833
Jacquemontia martii,-53.054438,-21.284788
Jacquemontia martii,-41.391944,-12.585833
Jacquemontia martii,-39.165,-14.351389
Jacquemontia martii,-53.054438,-21.284788
Jacquemontia martii,-41.283333,-12.95
Jacquemontia martii,-38.733889,-12.441389
Jacquemontia martii,-54.55,-21.8
Jacquemontia martii,-54.55,-21.8
Jacquemontia martii,-40.225278,-10.380556
Jacquemontia martii,-45.266667,-11.05
Jacquemontia martii,-40.546667,-13.477222
Jacquemontia martii,-40.483333,-12.033333
Jacquemontia martii,-39.776389,-12.7275
Jacquemontia martii,-39.0775,-12.231111
Jacquemontia martii,-39.009167,-12.605556
Jacquemontia martii,-41.240556,-12.698056
Jacquemontia martii,-38.9557991027832,-12.6183004379272
Jacquemontia martii,-43.4883003234863,-16.4757995605469
Jacquemontia martii,-36.809167,-9.559167
Jacquemontia martii,-36.402222,-9.620556
Jacquemontia martii,-36.531722,-9.532639
Jacquemontia martii,-36.402222,-9.620556
Jacquemontia martii,-37.116667,-9.586389
Jacquemontia martii,-36.471111,-9.318889
Jacquemontia martii,-36.471111,-9.318889
Jacquemontia martii,-36.430556,-9.254444
Jacquemontia martii,-36.809167,-9.559167
Jacquemontia martii,-36.627498626709,-9.40721988677979
Jacquemontia martii,-36.627498626709,-9.40721988677979
Jacquemontia martii,-38.467222,-9.661667
Jacquemontia martii,-40.483333,-12.033333
Jacquemontia martii,-39.776389,-12.7275
Jacquemontia martii,-39.165,-14.351389
Jacquemontia martii,-40.191667,-14.377778
Jacquemontia martii,-42.471389,-11.835556
Jacquemontia martii,-41.323056,-12.745833
Jacquemontia martii,-41.283333,-12.95
Jacquemontia martii,-45.266667,-11.05
Jacquemontia martii,-38.733889,-12.441389
Jacquemontia martii,-40.546667,-13.477222
Jacquemontia martii,-41.240556,-12.698056
Jacquemontia martii,-41.391944,-12.585833
Jacquemontia martii,-39.0775,-12.231111
Jacquemontia martii,-40.225278,-10.380556
Jacquemontia martii,-40.21,-10.404444
Jacquemontia martii,-40.475278,-12.335
Jacquemontia martii,-38.9557991027832,-12.6183004379272
Jacquemontia martii,-38.9557991027832,-12.6183004379272
Jacquemontia martii,-38.9557991027832,-12.6183004379272
Jacquemontia martii,-41.0410995483398,-13.7628002166748
Jacquemontia martii,-41.0710983276367,-12.8185997009277
Jacquemontia martii,-40.1893997192383,-10.4614000320435
Jacquemontia martii,-40.213222,-14.327389
Jacquemontia martii,-40.586111,-13.531944
Jacquemontia martii,-40.552778,-13.481667
Jacquemontia martii,-57.6533012390137,-19.0091991424561
Jacquemontia martii,-57.6016998291016,-19.0046997070312
Jacquemontia martii,-43.2075004577637,-22.9027996063232
Jacquemontia martii,-43.2075004577637,-22.9027996063232
Jacquemontia marti,-48.439998626709,-22.8799991607666
Jacquemontia martii,-47.4500007629395,-23.5
Jacquemontia martii var.floribunda,-43.937801361084,-19.9207992553711
Jacquemontia martii var.floribunda,-43.937801361084,-19.9207992553711
Jacquemontia martii,-44.9667015075684,-22.3903007507324
Jacquemontia martii,-41.2971992492676,-16.0053005218506
Jacquemontia martii,-44.9724998474121,-22.1935997009277
Jacquemontia martii,-43.1035995483398,-22.88330078125
Jacquemontia martii,-43.2075004577637,-22.9027996063232
Jacquemontia martii,-43.2075004577637,-22.9027996063232
Jacquemontia martii,-43.2075004577637,-22.9027996063232
Jacquemontia martii,-43.2075004577637,-22.9027996063232
Jacquemontia martii,-43.2075004577637,-22.9027996063232
Jacquemontia martii,-43.2075004577637,-22.9027996063232
Jacquemontia martii,-41.0410995483398,-13.7628002166748
Jacquemontia martii,-39.4094009399414,-7.23416996002197
Jacquemontia martii,-39.4094009399414,-7.23416996002197
Jacquemontia martii,-36.43,-9.2588889
Jacquemontia martii,-41.3314018249512,-12.8072004318237
Jacquemontia martii,-41.3708000183105,-13.0052995681763
Jacquemontia martii,-39.083333,-12.533333
Jacquemontia martii,-39.4646987915039,-14.3221998214722
Jacquemontia martii,-40.4308013916016,-13.4411001205444
Jacquemontia martii,-40.4308013916016,-13.4411001205444
Jacquemontia martii,-36.3711013793945,-8.14583015441895
Jacquemontia martii,-36.3711013793945,-8.14583015441895
Jacquemontia martii,-41.0410995483398,-13.7628002166748
Jacquemontia martii,-43.183333,-22.933333
Jacquemontia martii floribunda,-46.33,-23.96
Jacquemontia martii,-38.9667015075684,-12.2666997909546
Jacquemontia martii,-38.9667015075684,-12.2666997909546
Jacquemontia martii,-38.9667015075684,-12.2666997909546
Jacquemontia martii,-38.9967002868652,-14.2775001525879
Jacquemontia martii,-41.3899993896484,-12.563099861145
Jacquemontia martii,-40.4308013916016,-13.4411001205444
Jacquemontia martii,-40.4308013916016,-13.4411001205444
Jacquemontia martii,-38.2146987915039,-9.40610980987549
Jacquemontia martii,-40.4939002990723,-12.2839002609253
Jacquemontia martii,-40.1893997192383,-10.4614000320435
Jacquemontia martii,-40.1893997192383,-10.4614000320435
Jacquemontia martii,-39.323299407959,-14.3125
Jacquemontia martii,-39.323299407959,-14.3125
Jacquemontia martii,-39.323299407959,-14.3125
Jacquemontia martii,-40.4006004333496,-18.710599899292
Jacquemontia martii,-40.4006004333496,-18.710599899292
Jacquemontia martii,-57.6533012390137,-19.0091991424561
Jacquemontia martii,-36.4241981506348,-8.3355598449707
Jacquemontia martii,-36.3711013793945,-8.14583015441895
Jacquemontia martii,-35.9000015258789,-8.65832996368408
Jacquemontia martii,-44.9599990844727,-23.0699996948242
Jacquemontia martii,-44.9599990844727,-23.0699996948242
Jacquemontia martii,-44.628889,-14.935833
Jacquemontia martii,-41.166667,-12.683333
Jacquemontia martii,-38.9,-15.866667
Jacquemontia martii,-41.166667,-12.683333
Jacquemontia martii,-42.471389,-11.835556
Jacquemontia martii,-41.160833,-12.288611
Jacquemontia martii,-42.513056,-14.463889
Jacquemontia martii,-39.083333,-12.533333
Jacquemontia martii,-38.510799407959,-12.9710998535156
Jacquemontia martii,-57.696389,-19.100556
Jacquemontia martii,-57.65,-19.016667
Jacquemontia martii,-38.510799407959,-12.9710998535156
Jacquemontia martii,-42.4655990600586,-16.9517002105713
Jacquemontia martii,-43.5080986022949,-20.2875003814697
Jacquemontia martii,-45.5900001525879,-22.7299995422363
Jacquemontia martii,-40.446389,-18.782778
Jacquemontia martii,-40.457778,-18.766944
Jacquemontia martii,-40.457778,-18.766944
Jacquemontia martii,-40.4006004333496,-18.710599899292
Jacquemontia martii,-41.166667,-12.683333
Jacquemontia martii,-40.483333,-12.033333
Jacquemontia martii,-41.166667,-12.683333
Jacquemontia martii,-40.4724998474121,-11.8589000701904
Jacquemontia martii,-40.4724998474121,-11.8589000701904
Jacquemontia martii,-41.0410995483398,-13.7628002166748
Jacquemontia martii,-36.4241981506348,-8.3355598449707
Jacquemontia martii,-35.9000015258789,-8.65832996368408
Jacquemontia martii,-52.8731,-10.8339
Jacquemontia martii,-52.8731,-10.8339
Jacquemontia martii,-42.5,-22
Jacquemontia martii,-52.8731,-10.8339
Jacquemontia martii floribunda,-52.8731,-10.8339
Jacquemontia martii floribunda,-52.8731,-10.8339
