SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Kalanchoe fedtschenkoi,-49.2731018066406,-25.4277992248535
Kalanchoe fedtschenkoi,-42.811194,-22.374917
Kalanchoe fedtschenkoi,-47.560001373291,-22.4099998474121
Kalanchoe fedtschenkoi,-52.822778,-22.599167
Kalanchoe fedtschenkoi,-48.680833,-28.104722
Kalanchoe fedtschenkoi,-43.8255996704102,-22.4699993133545
Kalanchoe fedtschenkoi,-41.3664016723633,-21.0641994476318
Kalanchoe fedtschenkoi,-46.6300010681152,-23.5400009155273
Kalanchoe fedtschenkoi,-41.1561012268066,-11.5500001907349
Kalanchoe fedtschenkoi,-49.1486015319824,-13.4407997131348
Kalanchoë fedtschenkoi,-41.3708000183105,-13.0052995681763
Kalanchoe fedtschenkoi,-41.340833,-12.988333
Kalanchoe fedtschenkoi,-52.3830986022949,-24.0456008911133
Kalanchoe fedtschenkoi,-52.3830986022949,-24.0456008911133
