SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Kielmeyera rupestris,-40.4006004333496,-18.710599899292
Kielmeyera rupestris,-40.4525,-18.762222
Kielmeyera rupestris,-40.4525,-18.762222
Kielmeyera rupestris,-40.4525,-18.762222
Kielmeyera rupestris,-40.452778,-18.761667
Kielmeyera rupestris,-40.4006004333496,-18.710599899292
Kielmeyera rupestris,-41.187406,-19.627544
Kielmeyera rupestris,-40.4006004333496,-18.710599899292
Kielmeyera rupestris,-40.4525,-18.7622222
Kielmeyera rupestris,-40.4527778,-18.7616667
Kielmeyera rupestris,-40.432778,-18.7825
Kielmeyera rupestris,-40.4475,-18.770278
