SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Lantana fucata,-49.310001373291,-25.3246994018555
Lantana fucata,-49.310001373291,-25.3246994018555
Lantana fucata,-49.4103012084961,-25.5930995941162
Lantana fucata,-49.4103012084961,-25.5930995941162
Lantana fucata,-49.6356010437012,-25.5839004516602
Lantana fucata,-49.0553016662598,-25.3055992126465
Lantana fucata,-49.2242012023926,-25.2917003631592
Lantana fucata,-49.2242012023926,-25.2917003631592
Lantana fucata,-49.5346984863281,-25.6756000518799
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-49.2731018066406,-25.4277992248535
Lantana fucata,-51.1627998352051,-23.3103008270264
Lantana fucata,-50.0064010620117,-25.4293994903564
Lantana fucata,-49.0633010864258,-25.4416999816895
