SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Lepidaploa cotoneaster,-49.3699989318848,-20.8199996948242
Lepidaploa cotoneaster,-40.4006004333496,-18.710599899292
Lepidaploa cotoneaster,-42.817517,-14.114522
Lepidaploa cotoneaster,-42.817517,-14.114522
Lepidaploa cotoneaster,-41,-13
Lepidaploa cotoneaster,-40.626111,-20.388611
Lepidaploa cotoneaster,-41.4,-12.55
Lepidaploa cotoneaster,-41.799722,-13.591389
Lepidaploa cotoneaster,-36.43,-9.258889
Lepidaploa cotoneaster,-40.443306,-13.526361
Lepidaploa cotoneaster,-37.0527992248535,-10.5032997131348
Lepidaploa cotoneaster,-41.293611,-12.986111
Lepidaploa cotoneaster,-41.764167,-13.620278
Lepidaploa cotoneaster,-41.15,-11.55
Lepidaploa cotoneaster,-40.87,-19.231667
Lepidaploa cotoneaster,-41.6636009216309,-13.2496995925903
Lepidaploa cotoneaster,-41.6636009216309,-13.2496995925903
Lepidaploa cotoneaster,-41.1356010437012,-14.6121997833252
Lepidaploa cotoneaster,-41.3314018249512,-12.8072004318237
Lepidaploa cotoneaster,-41.3314018249512,-12.8072004318237
Lepidaploa cotoneaster,-42.4749984741211,-14.0693998336792
Lepidaploa cotoneaster,-42.4749984741211,-14.0693998336792
Lepidaploa cotoneaster,-39.4282989501953,-12.7656002044678
Lepidaploa cotoneaster,-39.0494003295898,-14.7889003753662
Lepidaploa cotoneaster,-39.5532989501953,-16.5750007629395
Lepidaploa cotoneaster,-39.5311012268066,-17.0391998291016
Lepidaploa cotoneaster,-41.3899993896484,-12.563099861145
Lepidaploa cotoneaster,-41.3899993896484,-12.563099861145
Lepidaploa cotoneaster,-42.698600769043,-13.0193996429443
Lepidaploa cotoneaster,-42.698600769043,-13.0193996429443
Lepidaploa cotoneaster,-40.4308013916016,-13.4411001205444
Lepidaploa cotoneaster,-41.1561012268066,-11.5500001907349
Lepidaploa cotoneaster,-41.1561012268066,-11.5500001907349
Lepidaploa cotoneaster,-41.3708000183105,-13.0052995681763
Lepidaploa cotoneaster,-41.3708000183105,-13.0052995681763
Lepidaploa cotoneaster,-41.7728004455566,-13.1519002914429
Lepidaploa cotoneaster,-40.4710998535156,-14.6696996688843
Lepidaploa cotoneaster,-40.3652992248535,-14.5297002792358
Lepidaploa cotoneaster,-41.8114013671875,-13.5789003372192
Lepidaploa cotoneaster,-41.8114013671875,-13.5789003372192
Lepidaploa cotoneaster,-41.8114013671875,-13.5789003372192
Lepidaploa cotoneaster,-41.7703018188477,-12.4186000823975
Lepidaploa cotoneaster,-41.7703018188477,-12.4186000823975
Lepidaploa cotoneaster,-39.0752983093262,-15.2932996749878
Lepidaploa cotoneaster,-39.7322006225586,-18.5932998657227
Lepidaploa cotoneaster,-42.0335998535156,-20.2581005096436
Lepidaploa cotoneaster,-42.874698638916,-15.1549997329712
Lepidaploa cotoneaster,-42.874698638916,-15.1549997329712
Lepidaploa cotoneaster,-43.7144012451172,-19.1688995361328
Lepidaploa cotoneaster,-50.4099998474121,-22.6599998474121
Lepidaploa cotoneaster,-43.3088989257812,-15.8024997711182
Lepidaploa cotoneaster,-40.8394012451172,-14.8661003112793
Lepidaploa cotoneaster,-41.3708000183105,-13.0052995681763
Lepidaploa cotoneaster,-44.1996994018555,-20.1432991027832
Lepidaploa cotoneaster,-43.5080986022949,-20.2875003814697
Lepidaploa cotoneaster,-44.161472,-19.338444
Lepidaploa cotoneaster,-43.3793983459473,-18.604700088501
Lepidaploa cotoneaster,-41.4,-12.55
Lepidaploa cotoneaster,-41.34167,-12.34167
Lepidaploa cotoneaster,-41.873888,-13.5025
Lepidaploa cotoneaster,-41.851111,-12.924166
Lepidaploa cotoneaster,-41.423055,-12.461666
Lepidaploa cotoneaster,-39.0647010803223,-16.4496994018555
Lepidaploa cotoneaster,-39.0647010803223,-16.4496994018555
Lepidaploa cotoneaster,-41.866667,-13.283333
Lepidaploa cotoneaster,-41.9,-13.25
Lepidaploa cotoneaster,-41.85,-13.283333
Lepidaploa cotoneaster,-41.983333,-13.5
Lepidaploa cotoneaster,-41.797778,-13.290556
Lepidaploa cotoneaster,-41.85,-13.3
Lepidaploa cotoneaster,-40.8394012451172,-14.8661003112793
Lepidaploa cotoneaster,-40.8394012451172,-14.8661003112793
Lepidaploa cotoneaster,-41.3899993896484,-12.563099861145
Lepidaploa cotoneaster,-41.396667,-10.321667
Lepidaploa cotoneaster,-40.579444,-11.9125
Lepidaploa cotoneaster,-42.698600769043,-13.0193996429443
Lepidaploa cotoneaster,-49.023611,-22.386944
Lepidaploa cotoneaster,-50.4099998474121,-22.6599998474121
Lepidaploa cotoneaster,-41.47,-12.45
Lepidaploa cotoneaster,-40.4708,-14.6697
Lepidaploa cotoneaster,-41.7786111,-12.1919
Lepidaploa cotoneaster,-42.5739,-14.7408
Lepidaploa cotoneaster,-39.6281,-13.7172
Lepidaploa cotoneaster,-39.6033,-14.7058
Lepidaploa cotoneaster,-45.692416,-24.10094
Lepidaploa cotoneaster,-40.1592,-14.2178
Lepidaploa cotoneaster,-35.353197,-5.892106
Lepidaploa cotoneaster,-38.85,-11.71
Lepidaploa cotoneaster,-39.3417,-15.1736
Lepidaploa cotoneaster,-39.2022,-16.4192
Lepidaploa cotoneaster,-39.3417,-15.1736
Lepidaploa cotoneaster,-36.43,-9.2589
Lepidaploa cotoneaster,-37.05862507213,-10.524659
Lepidaploa cotoneaster,-39.08,-15.15
Lepidaploa cotoneaster,-42.8744,-15.155
Lepidaploa cotoneaster,-40.5181,-11.1808
Lepidaploa cotoneaster,-39.87,-12.9
Lepidaploa cotoneaster,-41.2969,-16.0056
Lepidaploa cotoneaster,-41.66,-13.25
Lepidaploa cotoneaster,-38.7867,-10.9633
Lepidaploa cotoneaster,-41.33,-13.67
Lepidaploa cotoneaster,-41.33,-12.8
Lepidaploa cotoneaster,-41.02,-11.65
Lepidaploa cotoneaster,-41.82,-13.48
Lepidaploa cotoneaster,-42.47,-14.06
Lepidaploa cotoneaster,-41.1558,-11.5503
Lepidaploa cotoneaster,-39.05,-14.97
Lepidaploa cotoneaster,-42.5091667,-14.7130556
Lepidaploa cotoneaster,-41.277389,-16.020808
Lepidaploa cotoneaster,-41.4767,-16.2225
Lepidaploa cotoneaster,-35.53,-6
Lepidaploa cotoneaster,-42.48,-14.08
Lepidaploa cotoneaster,-42.48,-14.08
Lepidaploa cotoneaster,-41.76915,-12.19335
Lepidaploa cotoneaster,-40.8392,-14.8661
Lepidaploa cotoneaster,-40.8392,-14.8661
Lepidaploa cotoneaster,-41.3314,-12.8072
Lepidaploa cotoneaster,-41.3897,-12.5633
Lepidaploa cotoneaster,-41.3897,-12.5633
Lepidaploa cotoneaster,-39.2338528,-17.4883585
Lepidaploa cotoneaster,-42.2219,-14.5044
Lepidaploa cotoneaster,-39.08,-12.53
Lepidaploa cotoneaster,-39.08,-12.53
Lepidaploa cotoneaster,-41.5,-12.5
Lepidaploa cotoneaster,-41.5,-12.5
Lepidaploa cotoneaster,-41.483611,-20.299167
Lepidaploa cotoneaster,-41.797778,-13.290556
Lepidaploa cotoneaster,-39,-17
Lepidaploa cotoneaster,-40.5182991027832,-11.1806001663208
Lepidaploa cotoneaster,-40.3446998596191,-17.6135997772217
Lepidaploa cotoneaster,-43.5080986022949,-20.2875003814697
Lepidaploa cotoneaster,-43.5080986022949,-20.2875003814697
Lepidaploa cotoneaster,-40.369701385498,-19.8318996429443
Lepidaploa cotoneaster,-40.0722007751465,-19.3910999298096
Lepidaploa cotoneaster,-39.348611,-7.407778
Lepidaploa cotoneaster,-39.4094009399414,-7.23416996002197
Lepidaploa cotoneaster,-39.4094009399414,-7.23416996002197
Lepidaploa cotoneaster,-40.8394012451172,-14.8661003112793
Lepidaploa cotoneaster,-40.21,-14.331667
Lepidaploa cotoneaster,-41.808056,-13.155833
Lepidaploa cotoneaster,-40.792222,-14.849444
Lepidaploa cotoneaster,-44.6577987670898,-21.2980995178223
Lepidaploa cotoneaster,-41.000833,-11.628056
Lepidaploa cotoneaster,-40.583056,-11.381111
Lepidaploa cotoneaster,-39.0647010803223,-16.4496994018555
Lepidaploa cotoneaster,-39.0647010803223,-16.4496994018555
Lepidaploa cotoneaster,-40.2733001708984,-19.8202991485596
Lepidaploa cotoneaster,-40.0722007751465,-19.3910999298096
Lepidaploa cotoneaster,-43.0092010498047,-18.2936000823975
Lepidaploa cotoneaster,-41.38,-12.57
Lepidaploa cotoneaster,-41.47,-12.45
Lepidaploa cotoneaster,-41.47,-12.45
Lepidaploa cotoneaster,-39.33,-12.17
Lepidaploa cotoneaster,-39.28,-12.33
Lepidaploa cotoneaster,-41.38,-12.57
Lepidaploa cotoneaster,-40.6,-11.42
Lepidaploa cotoneaster,-39.33,-12.17
Lepidaploa cotoneaster,-38.68,-12.37
Lepidaploa cotoneaster,-59.4833,5.18333
Lepidaploa cotoneaster,-59.5667,5
Lepidaploa cotoneaster,-41.83,-13.5
Lepidaploa cotoneaster,-41.98,-13.5
Lepidaploa cotoneaster,-39.05,-14.97
Lepidaploa cotoneaster,-42.5,-19.7
Lepidaploa cotoneaster,-60.6038,5.91539
Lepidaploa cotoneaster,-41.83,-13.32
Lepidaploa cotoneaster,-41.85,-13.32
Lepidaploa cotoneaster,-39.05,-14.67
Lepidaploa cotoneaster,-41.85,13.28
Lepidaploa cotoneaster,-41.85,13.28
Lepidaploa cotoneaster,-39.4367,-14.7058
Lepidaploa cotoneaster,-41.5125,-12.7575
Lepidaploa cotoneaster,-41.4517,-12.7714
Lepidaploa cotoneaster,-41.8058,-13.4897
Lepidaploa cotoneaster,-41.6862,-19.4093
Lepidaploa cotoneaster,-41.3483,-12.9897
Lepidaploa cotoneaster,-39.0378,-14.4811
Lepidaploa cotoneaster,-41.4778,-12.4586
Lepidaploa cotoneaster,-41.37,-13
Lepidaploa cotoneaster,-62.2203,-10.7307
Lepidaploa cotoneaster,-59.08,2.83
Lepidaploa cotoneaster,-59.08,2.83
Lepidaploa cotoneaster,-59.55,3.31
Lepidaploa cotoneaster,-42.48,-14.08
Lepidaploa cotoneaster,-42.48,-14.08
Lepidaploa cotoneaster,-42.48,-14.08
Lepidaploa cotoneaster,-42.48,-14.08
Lepidaploa cotoneaster,-41.42,-13.67
Lepidaploa cotoneaster,-41.686211,-19.409286
Lepidaploa cotoneaster,-40.4308013916016,-13.4411001205444
Lepidaploa cotoneaster,-38.9900016784668,-12.6263999938965
Lepidaploa cotoneaster,-41.9,-13.25
Lepidaploa cotoneaster,-41.195833,0
Lepidaploa cotoneaster,-40.952778,0
Lepidaploa cotoneaster,-39.666667,-12.5
Lepidaploa cotoneaster,-41.3,-12.883333
Lepidaploa cotoneaster,-41.383333,-12.566667
Lepidaploa cotoneaster,-41.383333,-12.566667
Lepidaploa cotoneaster,-41.383333,-12.566667
Lepidaploa cotoneaster,-41.816667,-13.316667
Lepidaploa cotoneaster,-41.738889,-13.266944
Lepidaploa cotoneaster,-39.48,-12.871389
Lepidaploa cotoneaster,-38.3,-12.483333
Lepidaploa cotoneaster,-41.45,-12.45
Lepidaploa cotoneaster,-41.528611,-12.885
Lepidaploa cotoneaster,-41.383333,-13
Lepidaploa cotoneaster,-41.206389,-11.423889
Lepidaploa cotoneaster,-40.995833,-11.623056
Lepidaploa cotoneaster,-41.5,-12.75
Lepidaploa cotoneaster,-40.861111,-11.675278
Lepidaploa cotoneaster,-40.948889,-11.6375
Lepidaploa cotoneaster,-40.811389,-11.688889
Lepidaploa cotoneaster,-41.15,-11.754722
Lepidaploa cotoneaster,-44.32,-13.586111
Lepidaploa cotoneaster,-41.2825,-11.520556
Lepidaploa cotoneaster,-41.316667,-12.974167
Lepidaploa cotoneaster,-38.966667,-12.25
Lepidaploa cotoneaster,-40.483333,-12.033333
Lepidaploa cotoneaster,-38.85,-11.71
Lepidaploa cotoneaster,-41.333333,-12.966667
Lepidaploa cotoneaster,-41.193889,-11.437222
Lepidaploa cotoneaster,-41.85,-13.3
Lepidaploa cotoneaster,-38.510833,-12.971111
Lepidaploa cotoneaster,-38.510833,-12.971111
Lepidaploa cotoneaster,-39.466667,-12.916667
Lepidaploa cotoneaster,-46.9675,-13.845556
Lepidaploa cotoneaster,-41.511944,-12.759167
Lepidaploa cotoneaster,-38.437778,-9.966667
Lepidaploa cotoneaster,-38.44,-9.983056
Lepidaploa cotoneaster,-38.033333,-12.016667
Lepidaploa cotoneaster,-41.85,-13.316667
Lepidaploa cotoneaster,-38.368333,-12.096389
Lepidaploa cotoneaster,-38.359444,-12.065
Lepidaploa cotoneaster,-38.335833,-12.069722
Lepidaploa cotoneaster,-38.428056,-12.185
Lepidaploa cotoneaster,-45.055833,-12.658889
Lepidaploa cotoneaster,-41.815833,-13.610833
Lepidaploa cotoneaster,-41.76,-30.604444
Lepidaploa cotoneaster,-41.383333,-13
Lepidaploa cotoneaster,-39.409444,-9.33
Lepidaploa cotoneaster,-39.236111,-17.733333
Lepidaploa cotoneaster,-41.533611,-12.442778
Lepidaploa cotoneaster,-41.833333,-13.316667
Lepidaploa cotoneaster,-41.488333,-12.602222
Lepidaploa cotoneaster,-41.511389,-12.756111
Lepidaploa cotoneaster,-41.511389,-12.756111
Lepidaploa cotoneaster,-42.573889,-14.746389
Lepidaploa cotoneaster,-41.433333,-12.45
Lepidaploa cotoneaster,-41.433333,-12.45
Lepidaploa cotoneaster,-41.1,-11.581944
Lepidaploa cotoneaster,-42.221944,-14.504444
Lepidaploa cotoneaster,-41.208611,0
Lepidaploa cotoneaster,-40.999444,0
Lepidaploa cotoneaster,-41.383333,-12.566667
Lepidaploa cotoneaster,-41.733333,-13.25
Lepidaploa cotoneaster,-41.760833,-13.150278
Lepidaploa cotoneaster,-38.9725,-12.213889
Lepidaploa cotoneaster,-40.6,-12.416667
Lepidaploa cotoneaster,-41.125833,-12.052778
Lepidaploa cotoneaster,-41.301111,-12.916667
Lepidaploa cotoneaster,-41.851111,-13.328611
Lepidaploa cotoneaster,-41.797778,-13.290556
Lepidaploa cotoneaster,-41.738889,-13.266944
Lepidaploa cotoneaster,-41.341667,-12.341667
Lepidaploa cotoneaster,-41.341667,-12.341667
Lepidaploa cotoneaster,-39.333333,-12.166667
Lepidaploa cotoneaster,-39.283333,-12.333333
Lepidaploa cotoneaster,-41.209167,-11.588611
Lepidaploa cotoneaster,-41.433333,-12.466667
Lepidaploa cotoneaster,-40.506389,-11.166389
Lepidaploa cotoneaster,-40.564444,-11.359722
Lepidaploa cotoneaster,-40.554444,-11.4075
Lepidaploa cotoneaster,-42.188056,-12.669722
Lepidaploa cotoneaster,-41.9,-13.25
Lepidaploa cotoneaster,-41.85,-13.283333
Lepidaploa cotoneaster,-41.833333,-13.233333
Lepidaploa cotoneaster,-41.85,-13.283333
Lepidaploa cotoneaster,-41.883333,-13.25
Lepidaploa cotoneaster,-41.75,-13.25
Lepidaploa cotoneaster,-41.833333,-13.233333
Lepidaploa cotoneaster,-41.85,-13.3
Lepidaploa cotoneaster,-41.866667,-13.283333
Lepidaploa cotoneaster,-41.396667,-10.321667
Lepidaploa cotoneaster,-44.251667,-13.692778
Lepidaploa cotoneaster,-40.579444,-11.9125
Lepidaploa cotoneaster,-41.65,-13.583333
Lepidaploa cotoneaster,-41.383333,-13
Lepidaploa cotoneaster,-41.39,-12.556944
Lepidaploa cotoneaster,-43.866944,-14.229167
Lepidaploa cotoneaster,-42.509167,-14.713056
Lepidaploa cotoneaster,-41.45,-12.466667
Lepidaploa cotoneaster,-41.749444,-14.196111
Lepidaploa cotoneaster,-41.749444,-14.196111
Lepidaploa cotoneaster,-41.341111,-12.993056
Lepidaploa cotoneaster,-41.378333,-13.094444
Lepidaploa cotoneaster,-41.465556,-12.458333
Lepidaploa cotoneaster,-38.683333,-12.366667
Lepidaploa cotoneaster,-38.683333,-12.366667
Lepidaploa cotoneaster,-41.3,-13.05
Lepidaploa cotoneaster,-41.518889,-12.460278
Lepidaploa cotoneaster,-41.758889,-13.620278
Lepidaploa cotoneaster,-41.764167,-13.620278
Lepidaploa cotoneaster,-41.851111,-12.924167
Lepidaploa cotoneaster,-41.423056,-12.461667
Lepidaploa cotoneaster,-41.873889,-13.5025
Lepidaploa cotoneaster,-41.764722,-13.602778
Lepidaploa cotoneaster,-41.453056,-12.430278
Lepidaploa cotoneaster,-41.320833,-12.819722
Lepidaploa cotoneaster,-41.361389,-12.517222
Lepidaploa cotoneaster,-39.033611,-10.867222
Lepidaploa cotoneaster,-40.490556,-12.305278
Lepidaploa cotoneaster,-38.366667,-12.158056
Lepidaploa cotoneaster,-41.378333,-13.091944
Lepidaploa cotoneaster,-41.426944,-12.5725
