SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Lundia corymbifera,-39.724167,-7.511944
Lundia corymbifera,-67.583333,-15.733333
Lundia corymbifera,-68.4,10.383333
Lundia corymbifera,-53.05,5.316667
Lundia corymbifera,-39.8588981628418,-18.716100692749
Lundia corymbifera,-40.4006004333496,-18.710599899292
Lundia corymbifera,-47.9296989440918,-15.7797002792358
Lundia corymbifera,-42.1391983032227,-19.7896995544434
Lundia corymbifera,-43.4152984619141,-19.959400177002
Lundia corymbifera,-42.75,-21.583333
Lundia corymbifera,-41.75,-19.666667
Lundia corymbifera,-42.416667,-20.3
Lundia corymbifera,-43.8981018066406,-22.6291999816895
Lundia corymbifera,-40.527778,-20.097778
Lundia corymbifera,-40.443889,-18.776944
Lundia corymbifera,-39.7827987670898,-16.5839004516602
Lundia corymbifera,-42.9674987792969,-21.4596996307373
Lundia corymbifera,-42.4524993896484,-20.101900100708
Lundia corymbifera,-43.0106010437012,-21.5400009155273
Lundia corymbifera,-43.3793983459473,-18.604700088501
Lundia corymbifera,-48.7118988037109,-25.4286003112793
Lundia corymbifera,-44.7700004577637,-22.5300006866455
Lundia corymbifera,-44.576389,-22.645
Lundia corymbifera,-67.690278,-15.686944
Lundia corymbifera,-40.456667,-18.769167
Lundia corymbifera,-43.3793983459473,-18.604700088501
Lundia corymbifera,-53.25,-13.166667
Lundia corymbifera,-83.163333,8.653056
Lundia corymbifera,-45.189998626709,-22.8099994659424
Lundia corymbifera,-46.8800010681152,-23.1800003051758
Lundia corymbifera,-45.0699996948242,-23.4300003051758
Lundia corymbifera,-42.2289009094238,-22.8391990661621
Lundia corymbifera,-68,-10
Lundia corymbifera,-71,-8
Lundia corymbifera,-68,-10
Lundia corymbifera,-68,-10
Lundia corymbifera,-67.8099975585938,-9.9747200012207
Lundia corymbifera,-67.8099975585938,-9.9747200012207
Lundia corymbifera,-67.8099975585938,-9.9747200012207
Lundia corymbifera,-67.8099975585938,-9.9747200012207
Lundia corymbifera,-68.6568984985352,-9.06556034088135
Lundia corymbifera,-60.666667,2.833333
Lundia corymbifera,-60.666667,2.833333
Lundia corymbifera,-44.0950012207031,-22.1494007110596
Lundia corymbifera,-39.5339012145996,-15.9507999420166
Lundia corymbifera,-42.9674987792969,-21.4596996307373
Lundia corymbifera,-40.0722007751465,-19.3910999298096
Lundia corymbifera,-35.7285995483398,-8.47027969360352
Lundia corymbifera,-47.6300010681152,-24.3199996948242
Lundia aff. corymbifera,-53.25,-13.17
Lundia aff. corymbifera,-55.25,-13.17
Lundia corymbifera,-78.53,-3.45
Lundia corymbifera,-42.860644,-20.766686
Lundia corymbifera,-60.67,2.83
Lundia corymbifera,-60.67,2.83
Lundia corymbifera,-42.7719,-22.0236
Lundia corymbifera,-40.7403,-18.9831
Lundia corymbifera,-40.75,-19.25
Lundia corymbifera,-67.1856,-10.3356
Lundia corymbifera,-60.67,2.83
Lundia corymbifera,-39.5339,-15.9508
Lundia corymbifera,-72.63,10.07
Lundia corymbifera,-78.8,-5.4
Lundia corymbifera,-76.97,-0.52
Lundia corymbifera,-68.5042,-10.6519
Lundia corymbifera,-67.1856,-10.3356
Lundia corymbifera,-67.1856,-10.3356
Lundia corymbifera,-42.8817,-20.7542
Lundia corymbifera,-42.0294,-20.7331
Lundia corymbifera,-54.95,-8.75
Lundia corymbifera,-42.42,-20.3
Lundia corymbifera,-42.75,-21.58
Lundia corymbifera,-39.7827987670898,-16.5839004516602
Lundia corymbifera,-42.84,-22.075278
Lundia corymbifera,-47.405556,-2.938611
Lundia corymbifera,-67.8099975585938,-9.9747200012207
Lundia corymbifera,-67.8099975585938,-9.9747200012207
Lundia corymbifera,-67.8099975585938,-9.9747200012207
Lundia corymbifera,-39.2658004760742,-17.7318992614746
Lundia corymbifera,-40.0722007751465,-19.3910999298096
Lundia corymbifera,-42.0293998718262,-20.7331008911133
Lundia corymbifera,-43.2655982971191,-21.5877990722656
Lundia corymbifera,-43.4160995483398,-20.377799987793
Lundia corymbifera,-43.5080986022949,-20.2875003814697
Lundia corymbifera,-43.5080986022949,-20.2875003814697
Lundia corymbifera,-43.5080986022949,-20.2875003814697
Lundia corymbifera,-43.5080986022949,-20.2875003814697
Lundia corymbifera,-43.5080986022949,-20.2875003814697
Lundia corymbifera,-43.5080986022949,-20.2875003814697
Lundia corymbifera,-43.5080986022949,-20.2875003814697
Lundia corymbifera,-43.5080986022949,-20.2875003814697
Lundia corymbifera,-43.5080986022949,-20.2875003814697
Lundia corymbifera,-43.3227996826172,-21.5093994140625
Lundia corymbifera,-42.0013999938965,-20.1238994598389
Lundia corymbifera,-42.8819007873535,-20.7539005279541
Lundia corymbifera,-42.8819007873535,-20.7539005279541
Lundia corymbifera,-42.8819007873535,-20.7539005279541
Lundia corymbifera,-42.8819007873535,-20.7539005279541
Lundia corymbifera,-42.8819007873535,-20.7539005279541
Lundia corymbifera,-42.8819007873535,-20.7539005279541
Lundia corymbifera,-42.8819007873535,-20.7539005279541
Lundia corymbifera,-42.8819007873535,-20.7539005279541
Lundia corymbifera,-42.8819007873535,-20.7539005279541
Lundia corymbifera,-42.8819007873535,-20.7539005279541
Lundia corymbifera,-42.8819007873535,-20.7539005279541
Lundia corymbifera,-42.8819007873535,-20.7539005279541
Lundia corymbifera,-42.8819007873535,-20.7539005279541
Lundia corymbifera,-42.0278015136719,-22.966100692749
Lundia corymbifera,-40.224444,-20.235833
Lundia corymbifera,-40.220833,-20.240278
Lundia corymbifera,-41.184700012207,-20.6035995483398
Lundia corymbifera,-40.6591987609863,-20.3633003234863
Lundia corymbifera,-40.4006004333496,-18.710599899292
Lundia corymbifera,-38.712272,-4.397633
Lundia corymbifera,-70.61667,10.38333
Lundia corymbifera,-42.0293998718262,-20.7331008911133
Lundia corymbifera,-40.8394012451172,-14.8661003112793
Lundia corymbifera,-37.248353,-9.370411
Lundia corymbifera,-35.582222,-9.279722
Lundia corymbifera,-35.893411,-8.965558
Lundia corymbifera,-68.4,10.38
Lundia corymbifera,-69.72,-12.82
Lundia corymbifera,-53.36,2.81
Lundia corymbifera,-39.7222,-14.1672
Lundia corymbifera,-75.5,9.75
Lundia corymbifera,-68.5,10.22
Lundia corymbifera,-59.4294,2.82333
Lundia corymbifera,-59.65,3.3
Lundia corymbifera,-61.33,3.37
Lundia corymbifera,-68.74071,-11.160655
Lundia corymbifera,-42.771944,-22.023611
Lundia corymbifera,-42.51612,-19.704371
Lundia corymbifera,-46.636065,-23.547267
Lundia corymbifera,-42.967486,-21.459562
Lundia corymbifera,-77.45,-1.483333
Lundia corymbifera,-77.453278,-0.636612
Lundia corymbifera,-40.527595,-20.09754
Lundia corymbifera,-40.443715,-18.776775
Lundia corymbifera,-67.690278,-15.686944
Lundia corymbifera,-66.798694,-9.992889
Lundia corymbifera,-40.4006004333496,-18.710599899292
Lundia corymbifera,-57.8106002807617,-9.8497200012207
Lundia corymbifera,-61.128101348877,1.81611001491547
Lundia corymbifera,-47.9199981689453,-24.3799991607666
Lundia corymbifera,-45.0699996948242,-23.4300003051758
Lundia corymbifera,-49.110833,-24.048056
Lundia corymbifera,-40.792778,-14.880278
Lundia corymbifera,-39.7827987670898,-16.5839004516602
Lundia corymbifera,-57.752799987793,-6.22221994400024
Lundia corymbifera,-44.9852981567383,-21.7222003936768
Lundia corymbifera,-53.0797004699707,-13.2421998977661
Lundia corymbifera,-42.9674987792969,-21.4596996307373
Lundia corymbifera,-53.0797004699707,-13.2421998977661
Lundia corymbifera,-47.92,-24.38
Lundia corymbifera,-42.9674987792969,-21.4596996307373
Lundia corymbifera,-42.9674987792969,-21.4596996307373
Lundia corymbifera,-42.9674987792969,-21.4596996307373
Lundia corymbifera,-43.793098449707,-21.8425006866455
Lundia corymbifera,-43.0106010437012,-21.5400009155273
Lundia corymbifera,-41.852056,-20.416944
Lundia corymbifera,-43.859167,-15.210278
Lundia corymbifera,-42.1391983032227,-19.7896995544434
Lundia corymbifera,-42.1391983032227,-19.7896995544434
Lundia corymbifera,-42.9674987792969,-21.4596996307373
Lundia corymbifera,-43.793098449707,-21.8425006866455
