SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Mandevilla atroviolacea,-49.6356010437012,-25.5839004516602
Mandevilla atroviolacea,-49.4514007568359,-25.3686008453369
Mandevilla atroviolacea,-49.0633010864258,-25.4416999816895
Mandevilla atroviolacea,-49.2064018249512,-25.5347003936768
Mandevilla atroviolacea,-49.666667,-25.5
Mandevilla atroviolacea,-49.0553016662598,-25.3055992126465
Mandevilla atroviolacea,-49.4514007568359,-25.3686008453369
Mandevilla atroviolacea,-49.0633010864258,-25.4416999816895
Mandevilla atroviolacea,-49.0769004821777,-25.3656005859375
Mandevilla atroviolacea,-50.815601348877,-29.3656005859375
Mandevilla atroviolacea,-50.8739013671875,-29.3785991668701
Mandevilla atroviolacea,-50.5835990905762,-29.4480991363525
Mandevilla atroviolacea,-49.4858016967773,-28.934700012207
Mandevilla atroviolacea,-50.326099395752,-27.8160991668701
Mandevilla atroviolacea,-50.326099395752,-27.8160991668701
Mandevilla atroviolacea,-49.6167,-25.6
Mandevilla atroviolacea,-49.6167,-25.6
Mandevilla atroviolacea,-46.331389,-22.892778
Mandevilla atroviolacea,-46.307522,-22.880917
Mandevilla atroviolacea,-49,-24
Mandevilla atroviolacea,-46.366667,-22.9
Mandevilla atroviolacea,-46.366667,-22.9
Mandevilla atroviolacea,-46.511111,-22.8375
Mandevilla atroviolacea,-46.932778,-23.236667
Mandevilla atroviolacea,-42.5208015441895,-20.6667003631592
Mandevilla atroviolacea,-42.5208015441895,-20.6667003631592
Mandevilla atroviolacea,-42.5208015441895,-20.6667003631592
Mandevilla atroviolacea,-44.6425018310547,-21.4874992370605
Mandevilla atroviolacea,-44.6425018310547,-21.4874992370605
Mandevilla atroviolacea,-44.6425018310547,-21.4874992370605
Mandevilla atroviolacea,-44.6425018310547,-21.4874992370605
Mandevilla atroviolacea,-46.3182983398438,-22.854700088501
Mandevilla atroviolacea,-44.6039009094238,-21.6819000244141
Mandevilla atroviolacea,-44.6039009094238,-21.6819000244141
Mandevilla atroviolacea,-44.6039009094238,-21.6819000244141
Mandevilla atroviolacea,-43.4152984619141,-19.959400177002
