SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Mandevilla fistulosa,-40.7402992248535,-18.9831008911133
Mandevilla fistulosa,-40.7402992248535,-18.9831008911133
Mandevilla fistulosa,-40.7402992248535,-18.9831008911133
Mandevilla fistulosa,-40.4006004333496,-18.710599899292
Mandevilla fistulosa,-39.5311012268066,-17.0391998291016
Mandevilla fistulosa,-40.369701385498,-19.8318996429443
Mandevilla fistulosa,-40.4006004333496,-18.710599899292
Mandevilla fistulosa,-40.4006004333496,-18.710599899292
Mandevilla fistulosa,-40.6002998352051,-19.9356002807617
Mandevilla fistulosa,-40.6002998352051,-19.9356002807617
Mandevilla fistulosa,-40.6002998352051,-19.9356002807617
Mandevilla fistulosa,-40.456944,-18.766389
Mandevilla fistulosa,-40.793333,-19.187222
Mandevilla fistulosa,-40.369701385498,-19.8318996429443
Mandevilla fistulosa,-40.4006004333496,-18.710599899292
Mandevilla fistulosa,-40.4006004333496,-18.710599899292
Mandevilla fistulosa,-40.3377990722656,-20.3194007873535
Mandevilla fistulosa,-40.7575,-19.770833
Mandevilla fistulosa,-40.756111,-19.766944
Mandevilla fistulosa,-40.876389,-19.230833
Mandevilla fistulosa,-40.578889,-18.643611
Mandevilla fistulosa,-40.783333,-19.188611
Mandevilla fistulosa,-39.5311012268066,-17.0391998291016
Mandevilla fistulosa,-40.6305999755859,-19.539400100708
Mandevilla fistulosa,-40.776111,-18.9875
Mandevilla fistulosa,-40.824722,-19.888889
Mandevilla fistulosa,-40.678056,-19.814167
Mandevilla fistulosa,-40.681389,-19.805556
Mandevilla fistulosa,-40.739444,-19.760833
Mandevilla fistulosa,-40.6875,-19.757222
Mandevilla fistulosa,-40.739444,-19.760833
Mandevilla fistulosa,-40.739444,-19.760833
Mandevilla fistulosa,-40.648,-19.022833
Mandevilla fistulosa,-40.800278,-18.945
Mandevilla fistulosa,-40.463333,-19.275833
Mandevilla fistulosa,-40.558611,-19.343611
Mandevilla fistulosa,-40.826111,-19.874444
Mandevilla fistulosa,-40.697778,-18.989444
Mandevilla fistulosa,-40.457778,-18.766944
Mandevilla fistulosa,-40.481944,-20.3025
Mandevilla fistulosa,-40.75425,-19.772056
Mandevilla fistulosa,-41.124556,-18.496833
Mandevilla fistulosa,-39.796111,-16.61
Mandevilla fistulosa,-40.4475,-18.77
Mandevilla fistulosa,-40.368889,-18.448056
Mandevilla fistulosa,-40.470911,-20.271814
Mandevilla fistulosa,-40.127778,-16.278611
Mandevilla fistulosa,-40.774889,-19.191472
Mandevilla fistulosa,-40.756111,-19.770833
Mandevilla fistulosa,-40.876389,-19.230833
Mandevilla fistulosa,-40.808611,-19.851944
Mandevilla fistulosa,-40.728889,-19.835
Mandevilla fistulosa,-41.088056,-18.898889
Mandevilla fistulosa,-40.011389,-16.605833
Mandevilla fistulosa,-39.793611,-16.612222
Mandevilla fistulosa,-40.838889,-19.491389
Mandevilla fistulosa,-40.876667,-19.231111
Mandevilla fistulosa,-40.376944,-19.889444
Mandevilla fistulosa,-40.826111,-19.874444
Mandevilla fistulosa,-40.525278,-19.310833
Mandevilla fistulosa,-41.218889,-20.092778
Mandevilla fistulosa,-52.8731,-10.8339
Mandevilla fistulosa,-40.4006004333496,-18.710599899292
