SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Mandevilla grazielae,-40.7402992248535,-18.9831008911133
Mandevilla grazielae,-40.611400604248,-18.6149997711182
Mandevilla grazielae,-40.7402992248535,-18.9831008911133
Mandevilla grazielae,-40.7402992248535,-18.9831008911133
Mandevilla grazielae,-41.202239,-19.459414
Mandevilla grazielae,-40.995833,-17.8275
Mandevilla grazielae,-40.8908004760742,-18.7549991607666
Mandevilla grazielae,-40.793333,-19.187222
Mandevilla grazielae,-40.6305999755859,-19.539400100708
Mandevilla grazielae,-41.505298614502,-17.8575000762939
Mandevilla grazielae,-40.8513984680176,-19.2250003814697
Mandevilla grazielae,-40.8513984680176,-19.2250003814697
Mandevilla grazielae,-41.5053,-17.8578
Mandevilla grazielae,-40.9803009033203,-18.7817001342773
Mandevilla grazielae,-40.582778,-18.643889
Mandevilla grazielae,-40.6305999755859,-19.539400100708
Mandevilla grazielae,-40.7575,-19.770833
Mandevilla grazielae,-40.7575,-19.770833
Mandevilla grazielae,-40.691667,-19.821944
Mandevilla grazielae,-40.681389,-19.404167
Mandevilla grazielae,-40.783333,-19.188611
Mandevilla grazielae,-40.578889,-18.643611
Mandevilla grazielae,-40.582778,-18.643889
Mandevilla grazielae,-40.876667,-19.231111
Mandevilla grazielae,-41.260944,-17.855972
Mandevilla grazielae,-41.260944,-17.855972
Mandevilla grazielae,-40.582778,-18.643889
Mandevilla grazielae,-40.995,-17.863333
Mandevilla grazielae,-40.463611,-18.785
Mandevilla grazielae,-40.3539009094238,-17.8391990661621
Mandevilla grazielae,-40.824722,-19.888889
Mandevilla grazielae,-40.793333,-19.833889
Mandevilla grazielae,-40.793333,-19.833889
Mandevilla grazielae,-40.678056,-19.814167
Mandevilla grazielae,-40.678056,-19.814167
Mandevilla grazielae,-40.806944,-19.910833
Mandevilla grazielae,-40.6,-19.936111
Mandevilla grazielae,-40.681389,-19.805556
Mandevilla grazielae,-40.739444,-19.760833
Mandevilla grazielae,-40.739444,-19.760833
Mandevilla grazielae,-40.6875,-19.757222
Mandevilla grazielae,-40.739444,-19.760833
Mandevilla grazielae,-40.775278,-19.796944
Mandevilla grazielae,-40.604167,-19.780556
Mandevilla grazielae,-40.775278,-19.796944
Mandevilla grazielae,-40.601944,-19.906111
Mandevilla grazielae,-40.601944,-19.906111
Mandevilla grazielae,-40.648056,-19.022778
Mandevilla grazielae,-40.800278,-18.945
Mandevilla grazielae,-40.550833,-19.348056
Mandevilla grazielae,-40.798611,-18.944167
Mandevilla grazielae,-40.604167,-19.780556
Mandevilla grazielae,-40.681389,-19.805556
Mandevilla grazielae,-40.558611,-19.343611
Mandevilla grazielae,-40.664444,-18.973889
Mandevilla grazielae,-40.696111,-18.994167
Mandevilla grazielae,-40.741944,-19.828056
Mandevilla grazielae,-40.802778,-18.945833
Mandevilla grazielae,-40.739444,-19.760833
Mandevilla grazielae,-40.769444,-18.975556
Mandevilla grazielae,-40.558611,-19.343611
Mandevilla grazielae,-40.664694,-18.977639
Mandevilla grazielae,-40.826111,-19.874444
Mandevilla grazielae,-40.7575,-19.770833
Mandevilla grazielae,-40.75425,-19.772056
Mandevilla grazielae,-40.624778,-20.134944
Mandevilla grazielae,-40.993097,-18.575017
Mandevilla grazielae,-40.463611,-18.785
Mandevilla grazielae,-40.368889,-18.448056
Mandevilla grazielae,-40.676111,-18.183889
Mandevilla grazielae,-40.774889,-19.191472
Mandevilla grazielae,-40.691667,-19.821944
Mandevilla grazielae,-40.739722,-19.826944
Mandevilla grazielae,-40.473889,-19.907944
Mandevilla grazielae,-40.7725,-19.803333
Mandevilla grazielae,-40.648361,-19.270139
Mandevilla grazielae,-40.808611,-19.851944
Mandevilla grazielae,-41.088611,-18.899444
Mandevilla grazielae,-40.457611,-18.767
Mandevilla grazielae,-40.728889,-19.835
Mandevilla grazielae,-41.088056,-18.898889
Mandevilla grazielae,-40.691111,-19.823056
Mandevilla grazielae,-40.970556,-19.494167
Mandevilla grazielae,-40.463889,-19.277778
Mandevilla grazielae,-40.85,-19.65
Mandevilla grazielae,-40.6,-19.936111
Mandevilla grazielae,-40.824722,-19.888889
Mandevilla grazielae,-40.8908004760742,-18.7549991607666
Mandevilla grazielae,-41.0638999938965,-19.4958000183105
Mandevilla grazielae,-41.432778,-18.7825
Mandevilla grazielae,-41.147778,-18.548889
