SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Manihot pohlii,-40.0722007751465,-19.3910999298096
Manihot pohlii,-47.060001373291,-22.8999996185303
Manihot pohlii,-40.2924995422363,-20.3297004699707
Manihot pohlii,-40.0722007751465,-19.3910999298096
Manihot pohlii,-51.13333,-10.16667
Manihot pohlii,-47.61667,-4.03333
Manihot pohlii,-47.7,-4.21667
Manihot pohlii,-50.63333,-9.65
Manihot pohlii,-48.33333,-7.53333
Manihot pohlii,-48.13333,-7.08333
Manihot pohlii,-48.11667,-7.05
Manihot pohlii,-47.71667,-4.33333
Manihot pohlii,-48.38333,-7.7
Manihot pohlii,-47.61667,-4.0333333
Manihot pohlii,-47.5,-3.0666666
Manihot pohlii,-47.441666,-6.5808333
Manihot pohlii,-47.566666,-6.6333333
Manihot pohlii,-47.83333,-6.73333
Manihot pohlii,-51.16667,-10.2
Manihot pohlii,-50.41667,-9.25
Manihot pohlii,-40.7575,-19.770833
Manihot pohlii,-48,-15.83333
Manihot pohlii,-67.38333,-9.2
Manihot pohlii,-40.7402992248535,-18.9831008911133
Manihot pohlii,-40.6002998352051,-19.9356002807617
Manihot aff. pohlii,-40.2924995422363,-20.3297004699707
Manihot pohlii,-43.0242004394531,-6.75639009475708
Manihot pohlii,-47.9296989440918,-15.7797002792358
Manihot pohlii,-39.0492,-14.7892
Manihot pohlii,-41.187406,-19.627544
Manihot pohlii,-40.292222,-20.329722
Manihot pohlii,-40.2924995422363,-20.3297004699707
Manihot pohlii,-39.0494003295898,-14.7889003753662
Manihot pohlii,-40.0722007751465,-19.3910999298096
Manihot pohlii,-39.583333,-16.983333
Manihot pohlii,-41.433333,-12.55
Manihot pohlii,-41.3314018249512,-12.8072004318237
Manihot pohlii,-40.7402992248535,-18.9831008911133
Manihot pohlii,-40.8339004516602,-21.011100769043
Manihot pohlii,-40.0722007751465,-19.3910999298096
Manihot pohlii,-40.6002998352051,-19.9356002807617
Manihot pohlii,-40.2924995422363,-20.3297004699707
Manihot pohlii,-40.0722007751465,-19.3910999298096
Manihot pohlii,-41.0638999938965,-19.4958000183105
Manihot pohlii,-42.1391983032227,-19.7896995544434
Manihot pohlii,-39.0494003295898,-14.7889003753662
Manihot pohlii,-40.0722007751465,-19.3910999298096
Manihot pohlii,-40.2924995422363,-20.3297004699707
Manihot pohlii,-42.687222,-15.374722
Manihot pohlii,-39.05,-14.983333
Manihot pohlii,-39.5311012268066,-17.0391998291016
Manihot pohlii,-40.7402992248535,-18.9831008911133
Manihot pohlii,-40.0722007751465,-19.3910999298096
Manihot pohlii,-40.2924995422363,-20.3297004699707
Manihot pohlii,-40.2924995422363,-20.3297004699707
Manihot pohlii,-40.7575,-19.770833
Manihot pohlii,-40.691667,-19.821944
Manihot pohlii,-40.7402992248535,-18.9831008911133
Manihot pohlii,-40.2924995422363,-20.3297004699707
Manihot pohlii,-41.6907997131348,-21.4207992553711
Manihot pohlii,-42.687333,-15.37475
Manihot pohlii,-40.7402992248535,-18.9831008911133
Manihot pohlii,-40.6002998352051,-19.9356002807617
Manihot aff. pohlii,-40.2924995422363,-20.3297004699707
Manihot pohlii,-52.8731,-10.8339
