SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Melananthus fasciculatus,-40.611400604248,-18.6149997711182
Melananthus fasciculatus,-41.4844017028809,-17.0741996765137
Melananthus fasciculatus,-42.0297012329102,-20.8083000183105
Melananthus fasciculatus,-43.2075004577637,-22.9027996063232
Melananthus fasciculatus,-42.6549987792969,-14.7714004516602
Melananthus fasciculatus,-41.4768981933594,-16.2224998474121
Melananthus fasciculatus,-43.2075004577637,-22.9027996063232
Melananthus fasciculatus,-43.2075004577637,-22.9027996063232
Melananthus fasciculatus,-43.2075004577637,-22.9027996063232
Melananthus fasciculatus,-43.2075004577637,-22.9027996063232
Melananthus fasciculatus,-43.2075004577637,-22.9027996063232
Melananthus fasciculatus,-43.28413,-22.997622
Melananthus fasciculatus,-43.284653,-22.997401
Melananthus fasciculatus,-43.28413,-22.997622
Melananthus fasciculatus,-43.250118,-22.98261
Melananthus fasciculatus,-41.483611,-20.299167
Melananthus fasciculatus,-41.9133,-21.8669
Melananthus fasciculatus,-40.664444,-18.9775
Melananthus fasciculatus,-40.603056,-20.089167
Melananthus fasciculatus,-43.282778,-22.998889
Melananthus fasciculatus,-40.6002998352051,-19.9356002807617
Melananthus fasciculatus,-40.6002998352051,-19.9356002807617
Melananthus fasciculatus,-40.6568984985352,-19.738899230957
Melananthus fasciculatus,-42.0297012329102,-20.8083000183105
Melananthus fasciculatus,-41.4844017028809,-17.0741996765137
Melananthus fasciculatus,-43.2075004577637,-22.9027996063232
Melananthus fasciculatus,-40.814722,-19.897778
Melananthus fasciculatus,-40.826111,-19.874444
Melananthus fasciculatus,-40.614444,-20.173056
Melananthus fasciculatus,-40.775278,-19.796944
Melananthus fasciculatus,-40.604167,-19.780556
Melananthus fasciculatus,-40.548333,-19.847222
Melananthus fasciculatus,-40.739444,-19.760833
Melananthus fasciculatus,-40.664694,-18.977639
Melananthus fasciculatus,-40.603111,-20.089444
Melananthus fasciculatus,-40.993097,-18.575017
Melananthus fasciculatus,-41.674722,-17.412222
Melananthus fasciculatus,-41.147778,-18.548889
