SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Melinis minutiflora,-50.5536003112793,-23.5510997772217
Melinis minutiflora,-42.266667,-13.718333
Melinis minutiflora,-57.4858016967773,-14.6194000244141
Melinis minutiflora,-48.2771987915039,-18.9186000823975
Melinis minutiflora,-49.261100769043,-24.823600769043
Melinis minutiflora,-49.2731018066406,-25.4277992248535
Melinis minutiflora,-49.2731018066406,-25.4277992248535
Melinis minutiflora,-67.233333,-16.75
Melinis minutiflora,-51.866667,-12.9
Melinis minutiflora,-51.766667,-12.816667
Melinis minutiflora,-75.05,7.216667
Melinis minutiflora,-39.0449981689453,-4.41833019256592
Melinis minutiflora,-39.0449981689453,-4.41833019256592
Melinis minutiflora,-47.9296989440918,-15.7797002792358
Melinis minutiflora,-51.9063987731934,-27.4617004394531
Melinis minutiflora,-51.2299995422363,-30.0331001281738
Melinis minutiflora,-51.2299995422363,-30.0331001281738
Melinis minutiflora,-51.2299995422363,-30.0331001281738
Melinis minutiflora,-51.2299995422363,-30.0331001281738
Melinis minutiflora,-51.1472015380859,-29.7602996826172
Melinis minutiflora,-51.1472015380859,-29.7602996826172
Melinis minutiflora,-48.5491981506348,-27.596700668335
Melinis minutiflora,-48.6618995666504,-26.9078006744385
Melinis minutiflora,-49.3664016723633,-26.9228000640869
Melinis minutiflora,-40.0722007751465,-19.3910999298096
Melinis minutiflora,-67.609312,10.413115
Melinis minutiflora,-51.866667,-12.9
Melinis minutiflora,-51.866667,-12.9
Melinis minutiflora,-47.1,-22.8
Melinis minutiflora,-47.805556,-24.895
Melinis minutiflora,-51.064444,-24.686111
Melinis minutiflora,-48.233333,-23.333333
Melinis minutiflora,-48.233333,-23.333333
Melinis minutiflora,-48.333333,-25.283333
Melinis minutiflora,-47.9296989440918,-15.7797002792358
Melinis minutiflora,-47.9296989440918,-15.7797002792358
Melinis minutiflora,-47.9296989440918,-15.7797002792358
Melinis minutiflora,-43.7144012451172,-19.1688995361328
Melinis minutiflora,-53.4552993774414,-24.9557991027832
Melinis minutiflora,-51.1627998352051,-23.3103008270264
Melinis minutiflora,-48.5092010498047,-25.5200004577637
Melinis minutiflora,-50.7411003112793,-23.7275009155273
Melinis minutiflora,-50.7411003112793,-23.7275009155273
Melinis minutiflora,-46.5499992370605,-23.1100006103516
Melinis minutiflora,-47.060001373291,-22.8999996185303
Melinis minutiflora,-36.388889,-8.240833
Melinis minutiflora,-35.691389,-6.963333
Melinis minutiflora,-39.1018981933594,-12.6700000762939
Melinis minutiflora,-38.1016998291016,-7.83805990219116
Melinis minutiflora,-34.8810997009277,-8.05389022827148
Melinis minutiflora,-35.1585998535156,-8.66361045837402
Melinis minutiflora,-35.9761009216309,-8.28332996368408
Melinis minutiflora,-36.3711013793945,-8.14583015441895
Melinis minutiflora,-44.5699996948242,-22.6399993896484
Melinis minutiflora,-44.5699996948242,-22.6399993896484
Melinis minutiflora,-44.5699996948242,-22.6399993896484
Melinis minutiflora,-48.574444,-25.685556
Melinis minutiflora,-51.064444,-24.686111
Melinis minutiflora,-48.661,-17.792972
Melinis minutiflora,-43.425278,-20.265556
Melinis minutiflora,-43.467778,-20.234722
Melinis minutiflora,-52.56,-23.94
Melinis minutiflora,-39.4282989501953,-12.7656002044678
Melinis minutiflora,-39.5233001708984,-12.771900177002
Melinis minutiflora,-46.3182983398438,-13.3983001708984
Melinis minutiflora,-42.8897018432617,-16.5594005584717
Melinis minutiflora,-46.5614013671875,-21.7877998352051
Melinis minutiflora,-48.7118988037109,-25.4286003112793
Melinis minutiflora,-48.7118988037109,-25.4286003112793
Melinis minutiflora,-52.3830986022949,-24.0456008911133
Melinis minutiflora,-54.2557983398438,-24.0799999237061
Melinis minutiflora,-49.7158012390137,-25.7696990966797
Melinis minutiflora,-48.5428009033203,-25.8174991607666
Melinis minutiflora,-48.5428009033203,-25.8174991607666
Melinis minutiflora,-48.5428009033203,-25.8174991607666
Melinis minutiflora,-48.834400177002,-25.476900100708
Melinis minutiflora,-48.834400177002,-25.476900100708
Melinis minutiflora,-48.834400177002,-25.476900100708
Melinis minutiflora,-48.834400177002,-25.476900100708
Melinis minutiflora,-48.834400177002,-25.476900100708
Melinis minutiflora,-48.5092010498047,-25.5200004577637
Melinis minutiflora,-49.948600769043,-24.5261001586914
Melinis minutiflora,-50.1618995666504,-25.0949993133545
Melinis minutiflora,-42.9655990600586,-22.4122009277344
Melinis minutiflora,-48.6618995666504,-26.9078006744385
Melinis minutiflora,-45.840833,-15.866667
Melinis minutiflora,-47.947222,-15.847222
Melinis minutiflora,-47.85,-15.866667
Melinis minutiflora,-47.85,-15.866667
Melinis minutiflora,-47.9296989440918,-15.7797002792358
Melinis minutiflora,-48.333333,-25.283333
Melinis minutiflora,-48.6335983276367,-27.2413997650146
Melinis minutiflora,-48.834400177002,-25.476900100708
Melinis minutiflora,-48.3288993835449,-25.3066997528076
Melinis minutiflora,-50.1618995666504,-25.0949993133545
Melinis minutiflora,-49.6356010437012,-25.5839004516602
Melinis minutiflora,-49.4103012084961,-25.5930995941162
Melinis minutiflora,-48.3288993835449,-25.3066997528076
Melinis minutiflora,-50.0064010620117,-25.4293994903564
Melinis minutiflora,-48.834400177002,-25.476900100708
Melinis minutiflora,-43.8616981506348,-16.7350006103516
Melinis minutiflora,-46.933333,-23.216667
Melinis minutiflora,-45.0699996948242,-23.4300003051758
Melinis minutiflora,-43.432222,-20.197222
Melinis minutiflora,-43.937801361084,-19.9207992553711
Melinis minutiflora,-43.937801361084,-19.9207992553711
Melinis minutiflora,-43.719722,-19.018889
Melinis minutiflora,-44.0527992248535,-20.3330993652344
Melinis minutiflora,-43.5080986022949,-20.2875003814697
Melinis minutiflora,-43.918611,-19.710278
Melinis Cf. minutiflora,-43.937801361084,-19.9207992553711
Melinis minutiflora,-48.48333,-15.86667
Melinis minutiflora,-42.486666,-15.387777
Melinis minutiflora,-47.70833,-15.59167
Melinis minutiflora,-47.71667,-15.51667
Melinis minutiflora,-48.01667,-15.91667
Melinis minutiflora,-47.968055,-15.661111
Melinis minutiflora,-47.645555,-15.758888
Melinis minutiflora,-47.585277,-15.748333
Melinis minutiflora,-56.347222,-1.5613888
Melinis minutiflora,-40.4550018310547,-3.54167008399963
Melinis minutiflora,-47.9296989440918,-15.7797002792358
Melinis minutiflora,-48.4597015380859,-14.4738998413086
Melinis minutiflora,-46.3182983398438,-13.3983001708984
Melinis minutiflora,-57.6533012390137,-19.0091991424561
Melinis minutiflora,-53.7592010498047,-20.4430999755859
Melinis minutiflora,-56.0766983032227,-15.8655996322632
Melinis minutiflora,-48.3199996948242,-21.25
Melinis minutiflora,-48.8456001281738,-26.3043994903564
Melinis minutiflora,-48.8456001281738,-26.3043994903564
Melinis minutiflora,-48.6380996704102,-26.2432994842529
Melinis minutiflora,-46.668492,-22.694886
Melinis minutiflora,-47.0608,-22.9056
Melinis minutiflora,-47.0608,-22.9056
Melinis minutiflora,-47.0608,-22.9056
Melinis minutiflora,-47.709028,-19.209417
Melinis minutiflora,-47.0608,-22.9056
Melinis minutiflora,-44.499297,-21.230303
Melinis minutiflora,-44.507036,-21.257264
Melinis minutiflora,-40.441056,-20.293444
Melinis minutiflora,-53.2710990905762,-22.2952995300293
Melinis minutiflora,-43.833333,-18.833333
Melinis minutiflora,-47.875278,-15.941944
Melinis minutiflora,-47.816667,-15.85
Melinis minutiflora,-47.816667,-15.85
Melinis minutiflora,-47.916667,-15.766667
Melinis minutiflora,-47.926667,-15.731111
Melinis minutiflora,-47.926667,-15.731111
Melinis minutiflora,-50.038056,-17.4925
Melinis minutiflora,-47.968056,-15.661111
Melinis minutiflora,-47.593056,-14.163333
Melinis minutiflora,-47.645556,-15.758889
Melinis minutiflora,-47.801167,-13.666833
Melinis minutiflora,-42.266667,-13.718333
Melinis minutiflora,-48.0304,-15.70316
Melinis minutiflora,-48.0115,-15.714
Melinis minutiflora,-47.922449,-15.790601
Melinis minutiflora,-47.953611,-15.668333
Melinis minutiflora,-35.037222,-6.61025
Melinis minutiflora,-48.785833,-15.798889
Melinis minutiflora,-50.100833,-17.663056
Melinis minutiflora,-50.0556,-17.4045
Melinis minutiflora,-50.0922,-17.7097
Melinis minutiflora,-50.0504,-17.4118
Melinis minutiflora,-51.866667,-12.9
Melinis minutiflora,-52.333333,-14.733333
Melinis minutiflora,-50.1403,-15.9344
Melinis minutiflora,-48.8086,-15.9236
Melinis minutiflora,-48.9592,-15.8525
Melinis minutiflora,-51.766667,-12.816667
Melinis minutiflora,-47.916667,-15.95
Melinis minutiflora,-47.811028,-14.177639
Melinis minutiflora,-47.95,-15.95
Melinis minutiflora,-47.916667,-15.95
Melinis minutiflora,-47.916667,-15.95
Melinis minutiflora,-47.933333,-15.85
Melinis minutiflora,-47.947222,-15.847222
Melinis minutiflora,-47.947222,-15.847222
Melinis minutiflora,-48.036417,-15.739778
Melinis minutiflora,-48.416667,-22.75
Melinis minutiflora,-47.801667,-15.826944
Melinis minutiflora,-48.416667,-22.75
Melinis minutiflora,-47.763806,-14.135556
Melinis minutiflora,-39.466667,-13.85
Melinis minutiflora,-48.416667,-22.75
Melinis minutiflora,-48.142389,-19.088306
Melinis minutiflora,-47.693056,-16.741111
Melinis minutiflora,-42.9,-16.583333
Melinis minutiflora,-48.416667,-22.75
Melinis minutiflora,-47.976694,-15.778139
Melinis minutiflora,-48.416667,-22.75
Melinis minutiflora,-48.883333,-15.616667
Melinis minutiflora,-48.838333,-15.793056
Melinis minutiflora,-48.416667,-22.75
Melinis minutiflora,-47.970444,-15.7255
Melinis minutiflora,-48.020833,-15.641111
Melinis minutiflora,-45.8800010681152,-23.1700000762939
Melinis minutiflora,-45.8800010681152,-23.1700000762939
Melinis minutiflora,-47.9296989440918,-15.7797002792358
Melinis minutiflora,-47.9296989440918,-15.7797002792358
Melinis minutiflora,-47.2928009033203,-19.3528003692627
Melinis minutiflora,-47.2928009033203,-19.3528003692627
Melinis minutiflora,-55.7872009277344,-20.4710998535156
Melinis minutiflora,-47.9296989440918,-15.7797002792358
Melinis minutiflora,-47.9296989440918,-15.7797002792358
Melinis minutiflora,-47.9296989440918,-15.7797002792358
Melinis minutiflora,-48.611400604248,-27.0902996063232
Melinis minutiflora,-47.9296989440918,-15.7797002792358
Melinis minutiflora,-47.9296989440918,-15.7797002792358
Melinis minutiflora,-50.5536003112793,-23.5510997772217
Melinis minutiflora,-51.1627998352051,-23.3103008270264
Melinis minutiflora,-50.7411003112793,-23.7275009155273
Melinis minutiflora,-50.7411003112793,-23.7275009155273
Melinis minutiflora,-50.7411003112793,-23.7275009155273
Melinis minutiflora,-50.7411003112793,-23.7275009155273
Melinis minutiflora,-48.9700012207031,-21.1299991607666
Melinis minutiflora,-49.939998626709,-22.2099990844727
Melinis minutiflora,-47.646422,-14.116311
Melinis minutiflora,-48.6380996704102,-26.2432994842529
Melinis minutiflora,-49.07,-24.062222
Melinis minutiflora,-49.059444,-24.079444
Melinis minutiflora,-48.8699989318848,-23.9799995422363
Melinis minutiflora,-46.5800018310547,-23.3099994659424
Melinis minutiflora,-47.4700012207031,-20.25
Melinis minutiflora,-45.0699996948242,-23.4300003051758
Melinis minutiflora,-47.88,-15.58
Melinis minutiflora,-47.98,-15.95
Melinis minutiflora,-51.77,-17.32
Melinis minutiflora,-48.8186,-15.7989
Melinis minutiflora,-45.88,-23.1703
Melinis minutiflora,-43.2075,-22.9031
Melinis minutiflora,-42.868031,-20.7613428
