SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Merianthera burlemarxii,-40.7402992248535,-18.9831008911133
Merianthera burlemarxii,-40.7402992248535,-18.9831008911133
Merianthera burlemarxii,-40.611400604248,-18.6149997711182
Merianthera burlemarxii,-40.7402992248535,-18.9831008911133
Merianthera burlemarxii,-41.202239,-19.459414
Merianthera burlemarxii,-40.777778,-19.006111
Merianthera burlemarxii,-40.445556,-18.786944
Merianthera burlemarxii,-40.6,-19.936111
Merianthera burlemarxii,-40.6002998352051,-19.9356002807617
Merianthera burlemarxii,-43.2075,-22.9028
Merianthera burle-marxii,-40.4006004333496,-18.710599899292
Merianthera burlemarxii,-40.648,-19.022833
Merianthera burlemarxii,-40.665556,-18.977778
Merianthera burlemarxii,-40.648056,-19.022778
Merianthera burlemarxii,-40.445556,-18.786944
Merianthera burlemarxii,-40.805,-19.239444
Merianthera burlemarxii,-40.6,-19.936111
