SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Miconia cf. paniculata,-41.77,-20.491
Miconia cf. splendens,-63.575,0.851944
Miconia cf. pyrifolia,-63.785556,-8.156111
Miconia cf. ibaguensis,-43.8466987609863,-19.9855995178223
Miconia cf. latecrenata,-43.432222,-20.197222
Miconia cf. ligustroides,-43.8466987609863,-19.9855995178223
Miconia cf. sellowiana,-43.8466987609863,-19.9855995178223
Miconia cf. theizans,-43.8466987609863,-19.9855995178223
Miconia cf. fallax,-35.12278,-6.6975
Miconia cf. ligustroides,-42.15,-15.263055
Miconia cf. albicans,0,-17.819722
Miconia cf. ampla,-65.3575,-9.5977777
Miconia cf. argyrophylla,-65.451944,-9.6344444
Miconia cf. ciliata,-41.716666,-3.8530555
Miconia cf. cinerascens,-51.252222,-27.853888
Miconia cf. ibaguensis,-47.500555,-15.934722
Miconia cf. elegans,-35.07083,-6.98889
Miconia cf. ligustroides,-41.908333,-16.129444
Miconia cf. ligustroides,-42.813888,-15.223611
Miconia cf. ligustroides,-48.813888,-28.444444
Miconia cf. ligustroides,-43.949722,-20.295
Miconia cf. matthaei,-48.016666,-15.866666
Miconia cf. minutiflora,-35.13639,-6.725
Miconia cf. minutiflora,-49.134722,-17.73
Miconia cf. minutiflora,-49.134722,-17.730277
Miconia cf. minutiflora,-47.643611,-15.761111
Miconia cf. nervosa,-54.561111,-20.451388
Miconia cf. nervosa,-48.080833,-15.728888
Miconia cf. stenostachya,-48.45,-14.46667
Miconia cf. cinnamomifolia,-39.0647010803223,-16.4496994018555
Miconia cf. leucocarpa,-47.9296989440918,-15.7797002792358
Miconia cf. minutiflora,-37.3106002807617,-10.9981002807617
Miconia cf. albicans,-52.2566986083984,-15.8900003433228
Miconia cf. crassinovia,-53.344444444,-13.202777778
Miconia cf. elaeagnoides,-53.383333333,-13.1
Miconia cf. elaeagnoides,-53.344444444,-13.202777778
Miconia cf. poeppigii,-53.344444444,-13.202777778
Miconia cf. poeppigii,-53.344444444,-13.202777778
Miconia cf. pyrifolia,-53.344444444,-13.202777778
Miconia cf. pyrifolia,-53.344444444,-13.202777778
Miconia cf. pyrifolia,-51.8,-12.833333333
Miconia cf. pyrifolia,-53.344444444,-13.202777778
Miconia cf. tetrasperma,-53.34,-13.2
Miconia cf. tetrasperma,-53.45,-13.166666667
Miconia cf. tetrasperma,-53.45,-13.166666667
Miconia cf. tetrasperma,-53.0797004699707,-13.2421998977661
Miconia cf. tetrasperma,-55.25,-13.166666667
Miconia cf. matthaei,-57.752799987793,-6.22221994400024
Miconia cf. cinnamomifolia,-39.0647010803223,-16.4496994018555
Miconia cf. lurida,-39.0647010803223,-16.4496994018555
Miconia cf. cinnamomifolia,-40.0722007751465,-19.3910999298096
Miconia cf. cinnamomifolia,-40.0722007751465,-19.3910999298096
Miconia cf. cinnamomifolia,-40.0722007751465,-19.3910999298096
Miconia cf. cinnamomifolia,-40.0722007751465,-19.3910999298096
Miconia cf. cinnamomifolia,-40.0722007751465,-19.3910999298096
Miconia cf. cinnamomifolia,-40.0722007751465,-19.3910999298096
Miconia cf. cinnamomifolia,-40.0722007751465,-19.3910999298096
Miconia cf.,-51.642403,-26.005306
Miconia cf. cuspidata,-58.256006,-9.863881
Miconia cf. cuspidata,-55.507783,-11.35934
Miconia cf. affinis,-52.652828,-9.781772
Miconia cf. holosericea,-54.442419,-13.100658
Miconia cf. affinis,-55.287667,-11.581667
Miconia cf. ferruginata,-55.725253,-12.528508
Miconia cf. affinis,-55.828864,-9.465914
Miconia cf. affinis,-52.445544,-9.804533
Miconia cf. gratissima,-55.165853,-9.495478
Miconia cf. pusilliflora,-49.278611,-26.919444
Miconia cf. ampla,-54.442419,-13.100658
Miconia cf. biglandulosa,-58.218842,-9.864969
Miconia cf. holosericea,-54.443994,-13.109097
Miconia cf. petropolitana,-49.322222,-28.17
Miconia cf. affinis,-55.8054,-9.461297
Miconia cf. cuspidata,-55.593479,-11.353749
Miconia cf. affinis,-55.501667,-11.836667
Miconia cf. nervosa,-55.8054,-9.461297
Miconia cf. nervosa,-55.828864,-9.465914
Miconia cf. stenostachya,-55.6668,-11.851328
Miconia cf. prasina,-55.617628,-11.989972
Miconia cf. affinis,-58.258722,-9.81975
Miconia cf. stenostachya,-55.641836,-11.582206
Miconia cf. affinis,-58.258722,-9.81975
Miconia cf. cuspidata,-55.661546,-11.490736
Miconia cf. gratissima,-54.326261,-12.859111
Miconia cf. cuspidata,-55.343882,-11.296204
Miconia cf. holosericea,-55.45635,-11.360358
Miconia cf. argyrophylla,-55.81605,-9.462639
Miconia cf. cuspidata,-55.287667,-11.581667
Miconia cf. nervosa,-55.421389,-11.049444
Miconia cf. ciliata,-52.509947,-9.898467
Miconia cf. nervosa,-55.965,-11.315083
Miconia cf. alata,-55.965,-11.315083
Miconia cf. cuspidata,-54.336272,-12.746836
Miconia cf. nervosa,-55.8054,-9.461297
Miconia cf. pubipetala,-56.8138999938965,-11.2278003692627
Miconia cf. affinis,-55.048333,-11.873056
Miconia cf. affinis,-55.688333,-10.921667
Miconia cf. hyemalis,-51.3856695,-29.885741
Miconia cf. cinerascens,-52.2738990783691,-27.6341991424561
Miconia cf. hyemalis,-51.2299995422363,-30.0331001281738
Miconia cf. cinerascens,-50.5196990966797,-29.8174991607666
Miconia cf. cinerascens,-50.5835990905762,-29.4480991363525
Miconia cf.,-50.0657997131348,-28.7483005523682
Miconia cf. ferruginata,-43.3793983459473,-18.604700088501
Miconia cf. ligustroides,-44.198299407959,-19.9678001403809
Miconia cf. albicans,-46.7200012207031,-23.3199996948242
Miconia cf. cinnamomifolia,-46.7200012207031,-23.3199996948242
Miconia cf. latecrenata,-48.9794006347656,-28.1646995544434
Miconia cf. ligustroides,-46.7200012207031,-23.3199996948242
Miconia cf jucunda,-43.2075004577637,-22.9027996063232
Miconia cf jucunda,-43.2075004577637,-22.9027996063232
Miconia cf. ciliata,-60.988028,-1.41075
Miconia cf. ibagensis,-43.361944,-19.826111
Miconia cf. ibagensis,-43.361944,-19.826111
Miconia cf. albicans,-49.065056,-15.337361
Miconia cf. chamissois,-49.065056,-15.337361
Miconia cf. fallax,-47.728333,-14.148333
Miconia cf. stenostachya,-49.065056,-15.337361
Miconia cf. caudigera,-41.557222,-19.338056
Miconia cf. cinnamomifolia,-41.081083,-20.398222
Miconia cf. prasina,-40.530278,-19.971389
Miconia cf. latecrenata,-41.8452987670898,-20.6888999938965
Miconia cf. latecrenata,-48.958333,-28.168333
Miconia cf. latecrenata,-39.711667,-13.578889
Miconia cf. cubatanensis,-39.5046997070312,-13.2285995483398
Miconia cf. abbreviata,-71.7475,-8.775278
Miconia cf centrodesma,-72.8958,-7.61417
Miconia cf centrodesma,-72.8958,-7.61417
Miconia cf dispar,-72.8958,-7.61417
Miconia cf. juruensis,-72.8958,-7.61417
Miconia cf. longicoma,-67.736,-10.151
Miconia cuspidata (cf. myriantha),-72.67,-7.63111
Miconia cf. albicans,-55.745,-15.326944
Miconia cf. cinerascens,-54.85,-14.883333
Miconia cf. cinerascens,-55.016667,-14.933333
Miconia cf. cinerascens,-55.633333,-14.683333
Miconia cf. cinerascens,-55.166667,-14.716667
Miconia cf. cineraserus,-59.754444,-14.630833
Miconia cf. cinnamomifolia,-48.0499992370605,-23.5900001525879
Miconia cf. holosericea,-53.256389,-13.170278
Miconia cf. hyemalis,-43.4152984619141,-19.959400177002
Miconia cf. valthieri,-47.876944,-24.675833
Miconia cf. grandiflora,-55.614167,-12.401667
Miconia cf. minutiflora,-38.510799407959,-12.9710998535156
Miconia cf. ligustroides,-49.8497009277344,-29.3694000244141
Miconia cf. sellowiana,-50.9919013977051,-29.9444007873535
Miconia cf. hyemalis,-51.0233001708984,-30.0811004638672
Miconia cf. cubatanensis,-48.6161003112793,-26.1168994903564
Miconia cf. mirabilis,-46.9900016784668,-24.3199996948242
Miconia cf. albicans,-39.323055,-7.361888
