SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Miconia polyandra,-40.543611,-19.956667
Miconia polyandra,-40.543611,-19.956667
Miconia polyandra,-41.206567,-20.246142
Miconia polyandra,-43.3502998352051,-21.7642002105713
Miconia polyandra,-40.054444,-16.403611
Miconia polyandra,-40.054444,-16.406389
Miconia polyandra,-40.054444,-16.406389
Miconia polyandra,-41.736111,-20.394444
Miconia polyandra,-41.1847,-20.6036
Miconia polyandra,-40.772,-20.319
Miconia polyandra,-40.9583,-20.2854
Miconia polyandra,-40.865974,-20.327542
Miconia polyandra,-40.4524,-20.293
Miconia polyandra,-42.416111,-22.405278
Miconia polyandra,-42.525833,-22.438056
Miconia polyandra,-41.5083,-20.97
Miconia polyandra,-40.6591987609863,-20.3633003234863
Miconia polyandra,-40.6591987609863,-20.3633003234863
Miconia polyandra,-41.184700012207,-20.6035995483398
Miconia polyandra,-46.5299987792969,-23.6599998474121
Miconia polyandra,-40.6002998352051,-19.9356002807617
Miconia polyandra,-40.6568984985352,-19.738899230957
Miconia polyandra,-40.6002998352051,-19.9356002807617
Miconia polyandra,-42.2789001464844,-20.7255992889404
Miconia polyandra,-41.8452987670898,-20.6888999938965
Miconia polyandra,-41.9071998596191,-20.6502990722656
Miconia polyandra,-41.3664016723633,-21.0641994476318
Miconia polyandra,-40.6002998352051,-19.9356002807617
Miconia polyandra,-40.6002998352051,-19.9356002807617
Miconia polyandra,-41.6671981811523,-20.5414009094238
Miconia polyandra,-42.0080986022949,-21.9552993774414
Miconia polyandra,-44.9597,-45.012952
Miconia polyandra,-44.9597,-45.012952
Miconia polyandra,-45.866667,-23.633333
Miconia polyandra,-43.1783,-22.505
Miconia polyandra,-42.868031,-20.7613428
Miconia polyandra,-40.0544,-16.4036
Miconia polyandra,-40.0544,-16.4064
Miconia polyandra,-40.53495,-19.97022
Miconia polyandra,-39.08,-15.15
Miconia polyandra,-40.7719,-19.8028
Miconia polyandra,-43.1783,-22.505
Miconia polyandra,-39.5815229,-17.0363517
Miconia polyandra,-46.4097,-23.71
Miconia polyandra,-41.746389,-20.491389
Miconia polyandra,-40.676944,-20.216389
Miconia polyandra,-41.184700012207,-20.6035995483398
Miconia polyandra,-41.184700012207,-20.6035995483398
Miconia polyandra,-41.184700012207,-20.6035995483398
Miconia polyandra,-40.6591987609863,-20.3633003234863
Miconia polyandra,-40.6591987609863,-20.3633003234863
Miconia polyandra,-40.6591987609863,-20.3633003234863
Miconia polyandra,-41.8452987670898,-20.6888999938965
Miconia polyandra,-41.6671981811523,-20.5414009094238
Miconia polyandra,-41.3664016723633,-21.0641994476318
Miconia polyandra,-40.6002998352051,-19.9356002807617
Miconia polyandra,-40.6002998352051,-19.9356002807617
Miconia polyandra,-42.5311012268066,-22.2819004058838
Miconia polyandra,-42.5311012268066,-22.2819004058838
Miconia polyandra,-42.5311012268066,-22.2819004058838
Miconia polyandra,-43.1786003112793,-22.5049991607666
Miconia polyandra,-43.1786003112793,-22.5049991607666
Miconia polyandra,-43.1786003112793,-22.5049991607666
