SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Microgramma squamulosa,-49.310001373291,-25.3246994018555
Microgramma squamulosa,-49.4103012084961,-25.5930995941162
Microgramma squamulosa,-49.4103012084961,-25.5930995941162
Microgramma squamulosa,-49.5283012390137,-25.4585990905762
Microgramma squamulosa,-49.5283012390137,-25.4585990905762
Microgramma squamulosa,-49.2731018066406,-25.4277992248535
Microgramma squamulosa,-49.2731018066406,-25.4277992248535
Microgramma squamulosa,-49.2731018066406,-25.4277992248535
Microgramma squamulosa,-49.2731018066406,-25.4277992248535
Microgramma squamulosa,-49.2731018066406,-25.4277992248535
Microgramma squamulosa,-49.2731018066406,-25.4277992248535
Microgramma squamulosa,-49.2731018066406,-25.4277992248535
Microgramma squamulosa,-49.2731018066406,-25.4277992248535
Microgramma squamulosa,-49.2731018066406,-25.4277992248535
Microgramma squamulosa,-49.2731018066406,-25.4277992248535
Microgramma squamulosa,-49.2731018066406,-25.4277992248535
Microgramma squamulosa,-49.2731018066406,-25.4277992248535
Microgramma squamulosa,-49.2731018066406,-25.4277992248535
Microgramma squamulosa,-49.2731018066406,-25.4277992248535
Microgramma squamulosa,-49.2731018066406,-25.4277992248535
Microgramma squamulosa,-49.2731018066406,-25.4277992248535
Microgramma squamulosa,-49.2731018066406,-25.4277992248535
Microgramma squamulosa,-49.2731018066406,-25.4277992248535
Microgramma squamulosa,-49.3081016540527,-25.6574993133545
Microgramma squamulosa,-49.7158012390137,-25.7696990966797
Microgramma squamulosa,-51.6596984863281,-25.6956005096436
Microgramma squamulosa,-49.0769004821777,-25.3656005859375
Microgramma squamulosa,-49.2064018249512,-25.5347003936768
Microgramma squamulosa,-49.1988983154297,-25.9281005859375
Microgramma squamulosa,-49.1988983154297,-25.9281005859375
Microgramma squamulosa,-49.1988983154297,-25.9281005859375
Microgramma squamulosa,-49.1988983154297,-25.9281005859375
Microgramma squamulosa,-48.8456001281738,-26.3043994903564
Microgramma squamulosa,-48.5531005859375,-27.1578006744385
Microgramma squamulosa,-64.416667,-22.083333
Microgramma squamulosa,-47.566667,-24.683333
Microgramma squamulosa,-50.55,-29.433333
Microgramma squamulosa,-50.5,-29.333333
Microgramma squamulosa,-45.065,-23.539389
Microgramma squamulosa,-50.25,-29.666667
Microgramma squamulosa,-50.5,-28.833333
Microgramma squamulosa,-50.55,-29.433333
Microgramma squamulosa,-51.109339,-29.682211
Microgramma squamulosa,-50.833333,-29.266667
Microgramma squamulosa,-51.002333,-29.797472
Microgramma squamulosa,-51.173306,-29.651417
Microgramma squamulosa,-50.975444,-29.780944
Microgramma squamulosa,-50.974481,-29.503944
Microgramma squamulosa,-50.817194,-29.321694
Microgramma squamulosa,-50.018056,-29.678889
Microgramma squamulosa,-49.914192,-29.416453
Microgramma squamulosa,-50.366889,-29.728361
Microgramma squamulosa,-50.365278,-29.730833
Microgramma squamulosa,-51.083333,-29.533333
Microgramma squamulosa,-50.433333,-29.55
Microgramma squamulosa,-51.059722,-29.681667
Microgramma squamulosa,-51.133,-29.760833
Microgramma squamulosa,-50.765833,-29.679667
Microgramma squamulosa,-50.291056,-29.706944
Microgramma squamulosa,-51.015736,-29.673158
Microgramma squamulosa,-50.118572,-29.134469
Microgramma squamulosa,-50.104969,-29.132972
Microgramma squamulosa,-50.115147,-29.119564
Microgramma squamulosa,-51.284833,-29.638072
Microgramma squamulosa,-50.583333,-29.45
Microgramma squamulosa,-50.1475,-29.783889
Microgramma squamulosa,-50.75,-29.333333
Microgramma squamulosa,-42.666667,-22.166667
Microgramma squamulosa,-51.564389,-28.930833
Microgramma squamulosa,-52.333333,-31.766667
Microgramma squamulosa,-53.8,-29.683333
Microgramma squamulosa,-54.016194,-28.553583
Microgramma squamulosa,-50.558458,-29.45625
Microgramma squamulosa,-52.699,-30.513056
Microgramma squamulosa,-51.666667,-29.633333
Microgramma squamulosa,-51.883333,-30.683333
Microgramma squamulosa,-50.8,-29.316667
Microgramma squamulosa,-42.0293998718262,-20.7331008911133
Microgramma squamulosa,-54.5881004333496,-25.5478000640869
Microgramma squamulosa,-48.511100769043,-25.6735992431641
Microgramma squamulosa,-50.3828010559082,-25.8742008209229
Microgramma squamulosa,-55.7919006347656,-29.7831001281738
Microgramma squamulosa,-51.9449996948242,-29.4011001586914
Microgramma squamulosa,-51.9449996948242,-29.4011001586914
Microgramma squamulosa,-49.8889007568359,-29.551399230957
Microgramma squamulosa,-53.9921989440918,-28.5168991088867
Microgramma squamulosa,-53.9921989440918,-28.5168991088867
Microgramma squamulosa,-54.1068992614746,-31.3313999176025
Microgramma squamulosa,-54.1068992614746,-31.3313999176025
Microgramma squamulosa,-57.5546989440918,-30.2071990966797
Microgramma squamulosa,-50.4166984558105,-28.6678009033203
Microgramma squamulosa,-50.1446990966797,-29.0478000640869
Microgramma squamulosa,-50.1446990966797,-29.0478000640869
Microgramma squamulosa,-50.1446990966797,-29.0478000640869
Microgramma squamulosa,-50.1446990966797,-29.0478000640869
Microgramma squamulosa,-50.815601348877,-29.3656005859375
Microgramma squamulosa,-50.815601348877,-29.3656005859375
Microgramma squamulosa,-50.815601348877,-29.3656005859375
Microgramma squamulosa,-50.815601348877,-29.3656005859375
Microgramma squamulosa,-50.815601348877,-29.3656005859375
Microgramma squamulosa,-50.815601348877,-29.3656005859375
Microgramma squamulosa,-50.815601348877,-29.3656005859375
Microgramma squamulosa,-50.815601348877,-29.3656005859375
Microgramma squamulosa,-50.815601348877,-29.3656005859375
Microgramma squamulosa,-51.1836013793945,-29.9178009033203
Microgramma squamulosa,-53.8608016967773,-27.2646999359131
Microgramma squamulosa,-53.8608016967773,-27.2646999359131
Microgramma squamulosa,-51.0853004455566,-29.5802993774414
Microgramma squamulosa,-51.0853004455566,-29.5802993774414
Microgramma squamulosa,-54.6730995178223,-30.9827995300293
Microgramma squamulosa,-51.869701385498,-29.2360992431641
Microgramma squamulosa,-53.5041999816895,-27.5492000579834
Microgramma squamulosa,-51.173900604248,-29.6483001708984
Microgramma squamulosa,-51.9664001464844,-29.5018997192383
Microgramma squamulosa,-50.7831001281738,-29.8805999755859
Microgramma squamulosa,-50.8739013671875,-29.3785991668701
Microgramma squamulosa,-50.9919013977051,-29.9444007873535
Microgramma squamulosa,-50.9919013977051,-29.9444007873535
Microgramma squamulosa,-50.3577995300293,-28.8847007751465
Microgramma squamulosa,-51.4611015319824,-29.6886005401611
Microgramma squamulosa,-49.934700012207,-29.3649997711182
Microgramma squamulosa,-51.0807991027832,-29.5380992889404
Microgramma squamulosa,-51.0807991027832,-29.5380992889404
Microgramma squamulosa,-51.0807991027832,-29.5380992889404
Microgramma squamulosa,-51.0807991027832,-29.5380992889404
Microgramma squamulosa,-51.4081001281738,-28.9902992248535
Microgramma squamulosa,-51.1305999755859,-29.6783008575439
Microgramma squamulosa,-51.1305999755859,-29.6783008575439
Microgramma squamulosa,-51.1305999755859,-29.6783008575439
Microgramma squamulosa,-51.1305999755859,-29.6783008575439
Microgramma squamulosa,-51.1305999755859,-29.6783008575439
Microgramma squamulosa,-50.2696990966797,-29.8866996765137
Microgramma squamulosa,-52.4067001342773,-28.2628002166748
Microgramma squamulosa,-52.4067001342773,-28.2628002166748
Microgramma squamulosa,-51.7303009033203,-29.551700592041
Microgramma squamulosa,-51.2299995422363,-30.0331001281738
Microgramma squamulosa,-51.2299995422363,-30.0331001281738
