SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Mollinedia glabra,-41.184700012207,-20.6035995483398
Mollinedia glabra,-39.7322006225586,-18.5932998657227
Mollinedia glabra,-39.7322006225586,-18.5932998657227
Mollinedia glabra,-40.2132987976074,-18.3703002929688
Mollinedia glabra,-39.7322006225586,-18.5932998657227
Mollinedia glabra,-39.7322006225586,-18.5932998657227
Mollinedia glabra,-45.183333,-23.4
Mollinedia glabra,-45.183333,-23.4
Mollinedia glabra,-42.21,-22.32
Mollinedia glabra,-40.2733001708984,-19.8202991485596
Mollinedia glabra,-39.7322006225586,-18.5932998657227
Mollinedia glabra,-40.6002998352051,-19.9356002807617
Mollinedia glabra,-43.8278007507324,-22.0891990661621
Mollinedia glabra,-41.7868995666504,-22.3708000183105
Mollinedia glabra,-44.040599822998,-22.9596996307373
Mollinedia glabra,-44.040599822998,-22.9596996307373
Mollinedia glabra,-41.9449996948242,-22.5268993377686
Mollinedia glabra,-43.7075004577637,-22.7439002990723
Mollinedia glabra,-42.3917007446289,-22.6508007049561
Mollinedia glabra,-42.3664016723633,-21.1305999755859
Mollinedia glabra,-42.5102996826172,-22.9200000762939
Mollinedia glabra,-42.3917007446289,-22.6508007049561
Mollinedia glabra,-42.3917007446289,-22.6508007049561
Mollinedia glabra,-43.4160995483398,-20.377799987793
Mollinedia glabra,-42.9818992614746,-22.5372009277344
Mollinedia glabra,-43.2,-22.88
Mollinedia glabra,-40.11886111,-13.9573333
Mollinedia glabra,-42.8375,-22.541667
Mollinedia glabra,-42.905556,-22.493333
Mollinedia glabra,-42.8819007873535,-20.7539005279541
Mollinedia glabra,-42.8819007873535,-20.7539005279541
Mollinedia glabra,-40.304167,-20.176111
Mollinedia glabra,-40.304167,-20.176111
Mollinedia glabra,-40.2733001708984,-19.8202991485596
Mollinedia glabra,-40.2733001708984,-19.8202991485596
Mollinedia glabra,-40.2733001708984,-19.8202991485596
Mollinedia glabra,-40.5110015869141,-20.6580009460449
Mollinedia glabra,-40.5110015869141,-20.6580009460449
Mollinedia glabra,-40.5110015869141,-20.6580009460449
Mollinedia glabra,-40.0722007751465,-19.3910999298096
Mollinedia glabra,-43.2075004577637,-22.9027996063232
Mollinedia glabra,-43.2075004577637,-22.9027996063232
Mollinedia glabra,-40.0722007751465,-19.3910999298096
Mollinedia glabra,-40.0722007751465,-19.3910999298096
Mollinedia glabra,-40.0722007751465,-19.3910999298096
Mollinedia glabra,-42.3664016723633,-21.1305999755859
Mollinedia glabra,-43.883333,-22
Mollinedia glabra,-44.7131004333496,-23.2178001403809
Mollinedia glabra,-42.3917007446289,-22.6508007049561
Mollinedia glabra,-42.3917007446289,-22.6508007049561
Mollinedia glabra,-43.793098449707,-21.8425006866455
Mollinedia glabra,-43.8278007507324,-22.0891990661621
Mollinedia glabra,-43.8278007507324,-22.0891990661621
Mollinedia glabra,-43.8278007507324,-22.0891990661621
Mollinedia glabra,-42.427094,-19.724594
Mollinedia glabra,-42.6657981872559,-20.4557991027832
Mollinedia glabra,-40.1188889,-13.9572222
Mollinedia glabra,-40.118889,-13.957222
Mollinedia glabra,-39.913611,-16.598611
Mollinedia glabra,-39.913611,-16.598611
Mollinedia glabra,0,-13.619444
Mollinedia glabra,-39.0494003295898,-14.7889003753662
Mollinedia glabra,-42.3917007446289,-22.6508007049561
Mollinedia glabra,-42.3917007446289,-22.6508007049561
Mollinedia glabra,-43.883333,-22
Mollinedia glabra,-40.2733001708984,-19.8202991485596
Mollinedia glabra,-42.3917007446289,-22.6508007049561
Mollinedia glabra,-42.3917007446289,-22.6508007049561
Mollinedia glabra,-43.125301361084,-21.4575004577637
Mollinedia glabra,-43.125301361084,-21.4575004577637
Mollinedia glabra,-43.5080986022949,-20.2875003814697
Mollinedia glabra,-43.5080986022949,-20.2875003814697
Mollinedia glabra,-40.793333,-19.833889
Mollinedia glabra,-40.795833,-19.887222
Mollinedia glabra,-40.824722,-19.888889
Mollinedia glabra,-40.583333,-19.984167
Mollinedia glabra,-41.100556,-20.519167
Mollinedia glabra,-40.470639,-20.058611
Mollinedia glabra,-40.437778,-20.097222
Mollinedia glabra,-40.558611,-19.339167
Mollinedia glabra,-40.437778,-20.097222
Mollinedia glabra,-40.647778,-19.022778
Mollinedia glabra,-40.558611,-19.343611
Mollinedia glabra,-40.480972,-20.086944
Mollinedia glabra,-40.478333,-20.278889
Mollinedia glabra,-40.592339,-20.044581
Mollinedia glabra,-39.25,-16.5
Mollinedia glabra,-40.441111,-20.300833
Mollinedia glabra,-40.326389,-19.82
Mollinedia glabra,-40.326389,-19.82
Mollinedia glabra,-41.209722,-21.340278
Mollinedia glabra,-40.2733001708984,-19.8202991485596
Mollinedia glabra,-40.2733001708984,-19.8202991485596
Mollinedia glabra,-44.3180999755859,-23.0067005157471
Mollinedia glabra,-52.8731,-10.8339
Mollinedia glabra,-52.8731,-10.8339
Mollinedia glabra,-52.8731,-10.8339
Mollinedia glabra,-41.7868995666504,-22.3708000183105
