SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Myrsine umbellata,-51.0897,-23.9677
Myrsine umbellata,-51.089722,-23.96778
Myrsine umbellata,-51.627498626709,-24.8689002990723
Myrsine umbellata,-49.2731018066406,-25.4277992248535
Myrsine umbellata,-49.2731018066406,-25.4277992248535
Myrsine umbellata,-49.2731018066406,-25.4277992248535
Myrsine umbellata,-51.1627998352051,-23.3103008270264
Myrsine umbellata,-48.511100769043,-25.6735992431641
Myrsine umbellata,-49.0769004821777,-25.3656005859375
Myrsine umbellata,-50.6156005859375,-24.3239002227783
Myrsine umbellata,-67.833333,-16.2
Myrsine umbellata,-67.833333,-16.2
Myrsine umbellata,-63.825,-17.416667
Myrsine umbellata,-63.516667,-17.45
Myrsine umbellata,-63.516667,-17.45
Myrsine umbellata,-63.483333,5.966667
Myrsine umbellata,-41.2,-11.583333
Myrsine umbellata,-48.716667,-25.45
Myrsine umbellata,-38.3241996765137,-12.6975002288818
Myrsine umbellata,-50.55,-29.433333
Myrsine umbellata,-51.15,-29.666667
Myrsine umbellata,-50.975556,-23.540833
Myrsine umbellata,-49.231406,-27.181397
Myrsine umbellata,-49.14,-27.81
Myrsine umbellata,-49.77,-26.821667
Myrsine umbellata,-50.545578,-29.448672
Myrsine umbellata,-51.155353,-29.795919
Myrsine umbellata,-51.08435,-29.734417
Myrsine umbellata,-50.9965,-29.611333
Myrsine umbellata,-49.0633010864258,-25.4416999816895
Myrsine umbellata,-52.3003005981445,-27.3941993713379
Myrsine umbellata,-52.3003005981445,-27.3941993713379
Myrsine umbellata,-51.0532989501953,-29.6788997650146
Myrsine umbellata,-50.815601348877,-29.3656005859375
Myrsine umbellata,-51.3478012084961,-29.2250003814697
Myrsine umbellata,-51.3478012084961,-29.2250003814697
Myrsine umbellata,-51.3478012084961,-29.2250003814697
Myrsine umbellata,-51.4611015319824,-29.6886005401611
Myrsine umbellata,-51.4611015319824,-29.6886005401611
Myrsine umbellata,-51.0807991027832,-29.5380992889404
Myrsine umbellata,-51.0807991027832,-29.5380992889404
Myrsine umbellata,-51.0807991027832,-29.5380992889404
Myrsine umbellata,-51.0807991027832,-29.5380992889404
Myrsine umbellata,-51.1305999755859,-29.6783008575439
Myrsine umbellata,-52.3424987792969,-31.771900177002
Myrsine umbellata,-51.2299995422363,-30.0331001281738
Myrsine umbellata,-51.2299995422363,-30.0331001281738
Myrsine umbellata,-51.2299995422363,-30.0331001281738
Myrsine umbellata,-51.5113983154297,-29.4382991790771
Myrsine umbellata,-53.8069000244141,-29.6842002868652
Myrsine umbellata,-50.5835990905762,-29.4480991363525
Myrsine umbellata,-50.5835990905762,-29.4480991363525
Myrsine umbellata,-51.1472015380859,-29.7602996826172
Myrsine umbellata,-51.1472015380859,-29.7602996826172
Myrsine umbellata,-51.1472015380859,-29.7602996826172
Myrsine umbellata,-51.1472015380859,-29.7602996826172
Myrsine umbellata,-51.1472015380859,-29.7602996826172
Myrsine umbellata,-51.1472015380859,-29.7602996826172
Myrsine umbellata,-51.0069007873535,-29.6380996704102
Myrsine umbellata,-51.0069007873535,-29.6380996704102
Myrsine umbellata,-51.0069007873535,-29.6380996704102
Myrsine umbellata,-53.8358001708984,-29.0806007385254
Myrsine umbellata,-49.4858016967773,-28.934700012207
Myrsine umbellata,-48.6556015014648,-27.4941997528076
Myrsine umbellata,-48.9174995422363,-27.0981006622314
Myrsine umbellata,-48.9174995422363,-27.0981006622314
Myrsine umbellata,-49.2999992370605,-28.7133007049561
Myrsine umbellata,-52.3231010437012,-27.290599822998
Myrsine umbellata,-48.6618995666504,-26.9078006744385
Myrsine umbellata,-48.8456001281738,-26.3043994903564
Myrsine umbellata,-49.3558006286621,-27.3918991088867
Myrsine umbellata,-39.7322006225586,-18.5932998657227
Myrsine umbellata,-39.7322006225586,-18.5932998657227
Myrsine umbellata,-39.7322006225586,-18.5932998657227
Myrsine umbellata,-41.184700012207,-20.6035995483398
Myrsine umbellata,-39.7322006225586,-18.5932998657227
Myrsine umbellata,-39.7322006225586,-18.5932998657227
Myrsine umbellata,-51.518511,-29.173899
Myrsine umbellata,-48.5667,-25.9
Myrsine umbellata,-50.580093,-29.44673
Myrsine umbellata,-54.2,-26.9
Myrsine umbellata,-41.383333,-12.566667
Myrsine umbellata,-51.152833,-29.1622
Myrsine umbellata,-50.580093,-29.44673
Myrsine umbellata,-46.564722,-21.838889
Myrsine umbellata,-47.4,-23.65
Myrsine umbellata,-42.5,-22.55
Myrsine umbellata,-46.25,-23.25
Myrsine umbellata,-46.564722,-21.838889
Myrsine umbellata,-47.85,-22.2
Myrsine umbellata,-47.85,-22.2
Myrsine umbellata,-48.05,-22.2
Myrsine umbellata,-45.9375,-23.075
Myrsine umbellata,-46.733333,-23.983333
Myrsine umbellata,-46.733333,-23.983333
Myrsine umbellata,-47.993333,-24.056111
Myrsine umbellata,-48.042222,-22.265
Myrsine umbellata,-48.042222,-22.265
Myrsine umbellata,-46.45,-22.716667
Myrsine umbellata,-41.919722,-13.264444
Myrsine umbellata,-47.993333,-24.056111
Myrsine umbellata,-46.312639,-22.886333
Myrsine umbellata,-48.45,-25.716667
