SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Nephrolepis exaltata,-49.5346984863281,-25.6756000518799
Nephrolepis exaltata,-49.2731018066406,-25.4277992248535
Nephrolepis exaltata,-49.2731018066406,-25.4277992248535
Nephrolepis exaltata,-49.2731018066406,-25.4277992248535
Nephrolepis exaltata,-49.2731018066406,-25.4277992248535
Nephrolepis exaltata,-49.2731018066406,-25.4277992248535
Nephrolepis exaltata,-49.2731018066406,-25.4277992248535
Nephrolepis exaltata,-48.834400177002,-25.476900100708
Nephrolepis exaltata,-42.4599990844727,-5.03806018829346
Nephrolepis exaltata,-42.8546981811523,-6.24110984802246
Nephrolepis exaltata,-45.4749984741211,-9.92527961730957
Nephrolepis exaltata,-41.5525016784668,-5.32221984863281
Nephrolepis exaltata,-41.5525016784668,-5.32221984863281
Nephrolepis exaltata,-41.5525016784668,-5.32221984863281
Nephrolepis exaltata,-42.864200592041,-4.5858302116394
Nephrolepis exaltata var. bostoniensis,-36.0318984985352,-9.16277980804443
Nephrolepis exaltata,-49.2731018066406,-25.4277992248535
Nephrolepis exaltata,-49.2731018066406,-25.4277992248535
Nephrolepis exaltata,-49.2731018066406,-25.4277992248535
Nephrolepis exaltata,-48.834400177002,-25.476900100708
Nephrolepis exaltata,-51.1305999755859,-29.6783008575439
Nephrolepis exaltata,-52.3424987792969,-31.771900177002
Nephrolepis exaltata,-52.3424987792969,-31.771900177002
Nephrolepis exaltata,-52.3424987792969,-31.771900177002
Nephrolepis exaltata,-35.080278,-6.803333
Nephrolepis exaltata,-34.863056,-7.115
Nephrolepis exaltata,-35.142056,-6.741861
Nephrolepis exaltata,-35.125833,-6.838889
Nephrolepis exaltata,-47.9296989440918,-15.7797002792358
Nephrolepis exaltata,-47.9296989440918,-15.7797002792358
Nephrolepis exaltata,-35.6916999816895,-6.96332979202271
Nephrolepis exaltata,-34.8630981445312,-7.11499977111816
Nephrolepis exaltata,-34.8630981445312,-7.11499977111816
Nephrolepis exaltata,-35.1260986328125,-6.83861017227173
Nephrolepis exaltata,-35.1260986328125,-6.83861017227173
Nephrolepis exaltata,-35.1260986328125,-6.83861017227173
Nephrolepis exaltata,-35.1260986328125,-6.83861017227173
Nephrolepis exaltata,-35.0806007385254,-6.80306005477905
Nephrolepis exaltata,-35.0806007385254,-6.80306005477905
Nephrolepis exaltata,-35.4524993896484,-8.38306045532227
Nephrolepis exaltata,-35.4524993896484,-8.38306045532227
Nephrolepis exaltata,-35.002498626709,-7.56056022644043
Nephrolepis exaltata,-34.8810997009277,-8.05389022827148
Nephrolepis exaltata,-34.8810997009277,-8.05389022827148
Nephrolepis exaltata,-34.8810997009277,-8.05389022827148
Nephrolepis exaltata,-34.8810997009277,-8.05389022827148
Nephrolepis exaltata,-34.8810997009277,-8.05389022827148
Nephrolepis exaltata,-36.0116996765137,-8.82777976989746
Nephrolepis exaltata,-36.0318984985352,-9.16277980804443
Nephrolepis exaltata,-34.8630981445312,-7.11499977111816
Nephrolepis exaltata,-34.8630981445312,-7.11499977111816
Nephrolepis exaltata,-34.8630981445312,-7.11499977111816
Nephrolepis exaltata,-42.9674987792969,-21.4596996307373
Nephrolepis exaltata,-48.7118988037109,-25.4286003112793
Nephrolepis exaltata,-49.2731018066406,-25.4277992248535
Nephrolepis exaltata,-49.2731018066406,-25.4277992248535
Nephrolepis exaltata,-49.2731018066406,-25.4277992248535
Nephrolepis exaltata,-48.3288993835449,-25.3066997528076
Nephrolepis exaltata,-48.5746994018555,-25.8827991485596
Nephrolepis exaltata,-48.834400177002,-25.476900100708
Nephrolepis exaltata,-48.834400177002,-25.476900100708
Nephrolepis exaltata,-48.834400177002,-25.476900100708
Nephrolepis exaltata,-48.683333,-25.3
Nephrolepis exaltata,-57.566667,-19.183333
Nephrolepis exaltata,-39.341667,-15.173611
Nephrolepis exaltata,-46.7006,-22.6122
Nephrolepis exaltata,-47.2225,-23.6564
Nephrolepis exaltata,-47.0608,-22.9056
Nephrolepis exaltata,-43.3560981750488,-4.85889005661011
Nephrolepis exaltata,-43.3560981750488,-4.85889005661011
Nephrolepis exaltata,-72.52,-13.1528
Nephrolepis exaltata,-62.8,1.53
Nephrolepis exaltata,-48.375,-22.875
Nephrolepis exaltata,-43.2075004577637,-22.9027996063232
Nephrolepis exaltata,-54.937198638916,-2.63638997077942
Nephrolepis exaltata,-40.4006004333496,-18.710599899292
Nephrolepis exaltata,-41.3664016723633,-21.0641994476318
Nephrolepis exaltata,-42.4692001342773,-21.5249996185303
Nephrolepis exaltata,-42.4692001342773,-21.5249996185303
Nephrolepis exaltata,-42.4692001342773,-21.5249996185303
Nephrolepis exaltata,-42.4692001342773,-21.5249996185303
Nephrolepis exaltata,-40.4006004333496,-18.710599899292
Nephrolepis exaltata,-40.4006004333496,-18.710599899292
Nephrolepis exaltata,-40.4006004333496,-18.710599899292
Nephrolepis exaltata,-38.9331016540527,-4.26332998275757
Nephrolepis exaltata,-38.6203002929688,-3.98416996002197
Nephrolepis exaltata,-48.7221984863281,-26.3700008392334
Nephrolepis exaltata,-48.5043983459473,-1.4558299779892
Nephrolepis exaltata,-48.8456001281738,-26.3043994903564
Nephrolepis exaltata,-48.8456001281738,-26.3043994903564
Nephrolepis exaltata,-48.8456001281738,-26.3043994903564
Nephrolepis exaltata,-42.5311012268066,-22.2819004058838
Nephrolepis exaltata,-43.5080986022949,-20.2875003814697
Nephrolepis exaltata,-43.5080986022949,-20.2875003814697
Nephrolepis exaltata,-43.2075004577637,-22.9027996063232
Nephrolepis exaltata,-43.2075004577637,-22.9027996063232
Nephrolepis exaltata,-43.2075004577637,-22.9027996063232
Nephrolepis exaltata,-43.2075004577637,-22.9027996063232
Nephrolepis exaltata,-37.3442,-5.1875
Nephrolepis exaltata,-38.6856,-3.89083
Nephrolepis exaltata,-37.3442,-5.1875
Nephrolepis exaltata,-73,8
Nephrolepis exaltata,-76.5,3.75
Nephrolepis exaltata,-75,-4
Nephrolepis exaltata,-75,-4
Nephrolepis exaltata,-75,-4
Nephrolepis exaltata,-76.6333,-12
Nephrolepis exaltata,-75,-4
Nephrolepis exaltata,-75,-4
Nephrolepis exaltata,-64.435,-16.7261
Nephrolepis exaltata,-62.8,1.53
Nephrolepis exaltata,-63.575,2.742
Nephrolepis exaltata,-39.2803001403809,-14.7855997085571
Nephrolepis exaltata,-52.2738990783691,-27.6341991424561
Nephrolepis exaltata,-52.1472015380859,-27.3539009094238
Nephrolepis exaltata,-52.1472015380859,-27.3539009094238
Nephrolepis exaltata,-52.1472015380859,-27.3539009094238
Nephrolepis exaltata,-52.1472015380859,-27.3539009094238
Nephrolepis exaltata,-52.1472015380859,-27.3539009094238
Nephrolepis exaltata,-51.7606010437012,-27.710599899292
Nephrolepis exaltata,-57.581389,-19.1875
Nephrolepis exaltata,-57.6533012390137,-19.0091991424561
Nephrolepis exaltata,-57.6533012390137,-19.0091991424561
Nephrolepis exaltata,-57.6533012390137,-19.0091991424561
Nephrolepis exaltata,-57.6016998291016,-19.0046997070312
Nephrolepis exaltata,-47.6399993896484,-22.7199993133545
Nephrolepis exaltata,-47.6399993896484,-22.7199993133545
Nephrolepis exaltata,-47.6399993896484,-22.7199993133545
Nephrolepis exaltata,-42.9674987792969,-21.4596996307373
Nephrolepis exaltata,-47.6399993896484,-22.7199993133545
Nephrolepis exaltata,-47.6399993896484,-22.7199993133545
Nephrolepis exaltata,-47.64,-22.72
Nephrolepis exaltata,-42.9674987792969,-21.4596996307373
Nephrolepis exaltata,-43.3502998352051,-21.7642002105713
Nephrolepis exaltata,-34.8810997009277,-8.05389022827148
Nephrolepis exaltata,-34.8810997009277,-8.05389022827148
Nephrolepis exaltata,-46.6300010681152,-23.5400009155273
Nephrolepis exaltata,-54.708056,-2.443333
Nephrolepis exaltata,-72.51666,-13.15
Nephrolepis exaltata,-79.95333,-2.01944
Nephrolepis exaltata,-39.533333,-12.75
Nephrolepis exaltata,-38.8847007751465,-4.32860994338989
Nephrolepis exaltata,-38.9331016540527,-4.26332998275757
Nephrolepis exaltata,-38.6856002807617,-3.89083003997803
Nephrolepis exaltata,-34.8630981445312,-7.11499977111816
Nephrolepis exaltata,-48.5092010498047,-25.5200004577637
Nephrolepis exaltata,-35.0349998474121,-8.28666973114014
Nephrolepis exaltata,-35.9761009216309,-8.28332996368408
Nephrolepis exaltata,-34.8810997009277,-8.05389022827148
Nephrolepis exaltata,-34.8810997009277,-8.05389022827148
Nephrolepis exaltata,-34.8810997009277,-8.05389022827148
Nephrolepis exaltata,-34.8810997009277,-8.05389022827148
Nephrolepis exaltata,-34.8810997009277,-8.05389022827148
Nephrolepis exaltata,-34.8810997009277,-8.05389022827148
Nephrolepis exaltata,-34.8810997009277,-8.05389022827148
Nephrolepis exaltata,-34.8810997009277,-8.05389022827148
Nephrolepis exaltata,-34.8810997009277,-8.05389022827148
Nephrolepis exaltata,-34.8810997009277,-8.05389022827148
Nephrolepis exaltata,-34.8810997009277,-8.05389022827148
Nephrolepis exaltata,-35.1585998535156,-8.66361045837402
Nephrolepis exaltata,-35.1585998535156,-8.66361045837402
Nephrolepis exaltata,-39.659722,-13.121667
Nephrolepis exaltata,-43.666667,-19.816667
Nephrolepis exaltata,-43.937801361084,-19.9207992553711
Nephrolepis exaltata,-42.9674987792969,-21.4596996307373
Nephrolepis exaltata,-43.3502998352051,-21.7642002105713
Nephrolepis exaltata,-36.0318984985352,-9.16277980804443
Nephrolepis exaltata,-34.8553009033203,-8.00889015197754
Nephrolepis exaltata bostoniensis,-35.0182991027832,-8.00222015380859
Nephrolepis exaltata,-35.0182991027832,-8.00222015380859
Nephrolepis exaltata,-35.0182991027832,-8.00222015380859
Nephrolepis exaltata bostoniensis,-35.0182991027832,-8.00222015380859
Nephrolepis exaltata,-35.0182991027832,-8.00222015380859
Nephrolepis exaltata,-35.0182991027832,-8.00222015380859
Nephrolepis exaltata bostoniensis,-35.0182991027832,-8.00222015380859
Nephrolepis exaltata bostoniensis,-35.0182991027832,-8.00222015380859
Nephrolepis exaltata,-35.0182991027832,-8.00222015380859
Nephrolepis exaltata,-43.2075004577637,-22.9027996063232
Nephrolepis exaltata,-49.0177778,-5.36
Nephrolepis exaltata,-49.1141667,-26.9197223
Nephrolepis exaltata,-52.331111,-24.103694
Nephrolepis exaltata,-52.3830986022949,-24.0456008911133
Nephrolepis exaltata,-52.119701385498,-24.1011009216309
Nephrolepis exaltata biserrata,-42.5311012268066,-22.2819004058838
Nephrolepis exaltata,-42.5311012268066,-22.2819004058838
Nephrolepis exaltata,-40.4475,-18.770278
Nephrolepis exaltata,-40.609514,-19.990989
Nephrolepis exaltata,-38.6856002807617,-3.89083003997803
Nephrolepis exaltata,-38.6856002807617,-3.89083003997803
Nephrolepis exaltata,-34.978099822998,-7.11389017105103
Nephrolepis exaltata,-48.453769,-1.398325
Nephrolepis exaltata,-48.453769,-1.398325
