SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Niedenzuella acutifolia,-46.82169444,-1.02483333
Niedenzuella acutifolia,-39.2658004760742,-17.7318992614746
Niedenzuella acutifolia,-39.7322006225586,-18.5932998657227
Niedenzuella acutifolia,-40.4006004333496,-18.710599899292
Niedenzuella acutifolia,-39.8588981628418,-18.716100692749
Niedenzuella acutifolia,-39.8588981628418,-18.716100692749
Niedenzuella acutifolia,-40.0722007751465,-19.3910999298096
Niedenzuella acutifolia,-45.333333,-23.466667
Niedenzuella acutifolia,-48.964694,-23.185194
Niedenzuella acutifolia,-42.780583,-5.045361
Niedenzuella acutifolia,-47.9,-24.608333
Niedenzuella acutifolia,-43.4152984619141,-19.959400177002
Niedenzuella acutifolia,-44.040599822998,-22.9596996307373
Niedenzuella acutifolia,-44.040599822998,-22.9596996307373
Niedenzuella acutifolia,-43.1035995483398,-22.88330078125
Niedenzuella acutifolia,-44.7131004333496,-23.2178001403809
Niedenzuella acutifolia,-43.2075004577637,-22.9027996063232
Niedenzuella acutifolia,-46.4199981689453,-23.8899993896484
Niedenzuella acutifolia,-47.5499992370605,-24.7000007629395
Niedenzuella acutifolia,-47.2900009155273,-23.2600002288818
Niedenzuella acutifolia,-46.8800010681152,-23.1800003051758
Niedenzuella acutifolia,-47.8800010681152,-24.7099990844727
Niedenzuella acutifolia,-45.0699996948242,-23.4300003051758
Niedenzuella acutifolia,-46.9900016784668,-22.9699993133545
Niedenzuella acutifolia,-39.682778,-18.105556
Niedenzuella acutifolia,-35.5499992370605,-7.64138984680176
Niedenzuella acutifolia,-40.109417,-13.944722
Niedenzuella acutifolia,-45.5,-23.833333
Niedenzuella acutifolia,-43.703056,-22.591389
Niedenzuella acutifolia,-44.040599822998,-22.9596996307373
Niedenzuella acutifolia,-44.040599822998,-22.9596996307373
Niedenzuella acutifolia,-44.040599822998,-22.9596996307373
Niedenzuella acutifolia,-44.040599822998,-22.9596996307373
Niedenzuella acutifolia,-44.040599822998,-22.9596996307373
Niedenzuela acutifolia,-43.83,-22.86
Niedenzuella acutifolia,-40.519444,-20.291389
Niedenzuella acutifolia,-40.457778,-18.766944
Niedenzuella acutifolia,-40.443889,-18.776944
Niedenzuella acutifolia,-43.250278,-20.304444
Niedenzuella acutifolia,-44.5633010864258,-22.4960994720459
Niedenzuella acutifolia,-41.54972,-12.56639
Niedenzuella acutifolia,-47.885,-24.608333
Niedenzuella acutifolia,-47.876944,-24.675833
Niedenzuella acutifolia,-45.1925,-22.8164
Niedenzuella acutifolia,-48.333333,-21.833333
Niedenzuella acutifolia,-44.100003,-9.18
Niedenzuella acutifolia,-49.1150016784668,-25.2061004638672
Niedenzuella acutifolia,-60.0250015258789,-3.10193991661072
Niedenzuella acutifolia,-48.5092010498047,-25.5200004577637
Niedenzuella acutifolia,-49.158333,-24.058333
Niedenzuella acutifolia,-48.773333,-23.009722
Niedenzuella acutifolia,-48.755278,-23.538333
Niedenzuella acutifolia,-49.053611,-24.068889
Niedenzuella acutifolia,-35.6916999816895,-6.96332979202271
Niedenzuella acutifolia,-47.5499992370605,-24.7000007629395
Niedenzuella acutifolia,-47.5499992370605,-24.7000007629395
Niedenzuella acutifolia,-47.5499992370605,-24.7000007629395
Niedenzuella acutifolia,-47.4700012207031,-20.25
Niedenzuella acutifolia,-46.6300010681152,-23.5400009155273
Niedenzuella acutifolia,-52.1599998474121,-22.5300006866455
Niedenzuella acutifolia,-52.1599998474121,-22.5300006866455
Niedenzuella acutifolia,-52.1599998474121,-22.5300006866455
Niedenzuella acutifolia,-46.9900016784668,-22.9699993133545
Niedenzuella acutifolia,-46.9900016784668,-22.9699993133545
Niedenzuella acutifolia,-46.9700012207031,-23.0300006866455
Niedenzuella acutifolia,-39.6033,-14.7058
Niedenzuella acutifolia,-56.63,-9.93
Niedenzuella acutifolia,-59.25,2.08
Niedenzuella acutifolia,-46.502069,-24.003914
Niedenzuella acutifolia,-39.1236,-14.5861
Niedenzuella acutifolia,-42.283,-22.525
Niedenzuella acutifolia,-48.3289,-25.3069
Niedenzuella acutifolia,-42.8819,-20.7539
Niedenzuella acutifolia,-42.8817,-20.7542
Niedenzuella acutifolia,-43.257166,-22.971675
Niedenzuella acutifolia,-42.860644,-20.766686
Niedenzuella acutifolia,-42.868031,-20.7613428
Niedenzuella acutifolia,-39.2028,-14.7703
Niedenzuella acutifolia,-51.4131,0.7133
Niedenzuella acutifolia,-43.2075,-22.9028
Niedenzuella acutifolia,-44.5633,-22.4961
Niedenzuella acutifolia,-40.0722,-19.3911
Niedenzuella acutifolia,-49.17,-24.83
Niedenzuella acutifolia,-39.0617,-14.4231
Niedenzuella acutifolia,-43.2075,-22.9031
Niedenzuella acutifolia,-47.84,-24.48
Niedenzuella acutifolia,-43.2075,-22.9031
Niedenzuella acutifolia,-44.58,-22.63
Niedenzuella acutifolia,-46.08,-3.75
Niedenzuella acutifolia,-48.3289,-25.3069
