SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Octomeria crassifolia,-48.834400177002,-25.476900100708
Octomeria crassifolia,-48.5092010498047,-25.5200004577637
Octomeria crassifolia,-48.511100769043,-25.6735992431641
Octomeria crassifolia,-48.511100769043,-25.6735992431641
Octomeria crassifolia,-50.291056,-29.706944
Octomeria crassifolia,-50.212778,-29.973611
Octomeria crassifolia,-50.2696990966797,-29.8866996765137
Octomeria crassifolia,-51.2299995422363,-30.0331001281738
Octomeria crassifolia,-51.2299995422363,-30.0331001281738
Octomeria crassifolia,-51.2299995422363,-30.0331001281738
Octomeria crassifolia,-51.1472015380859,-29.7602996826172
Octomeria crassifolia,-51.0233001708984,-30.0811004638672
Octomeria crassifolia,-49.4858016967773,-28.934700012207
Octomeria crassifolia,-48.6618995666504,-26.9078006744385
Octomeria crassifolia,-41.184700012207,-20.6035995483398
Octomeria crassifolia,-45.133333,-23.316667
Octomeria crassifolia,-48.5900001525879,-24.5799999237061
Octomeria crassifolia,-48.954967,-25.865953
Octomeria crassifolia,-48.530556,-25.410556
Octomeria crassifolia,-48.921944,-25.451389
Octomeria crassifolia,-48.918611,-25.579444
Octomeria crassifolia,-49.0553016662598,-25.3055992126465
Octomeria crassifolia,-49.2731018066406,-25.4277992248535
Octomeria crassifolia,-48.5092010498047,-25.5200004577637
Octomeria crassifolia,-49.0633010864258,-25.4416999816895
Octomeria crassifolia,-49.0769004821777,-25.3656005859375
Octomeria crassifolia,-49.7268981933594,-29.3353004455566
Octomeria crassifolia,-48.8456001281738,-26.3043994903564
Octomeria aff. crassifolia,-49.078,-27.059
Octomeria crassifolia,-48.869444,-25.597778
Octomeria crassifolia,-49.497778,-26.909722
Octomeria crassifolia,-49.078244,-27.059083
Octomeria crassifolia,-48.9308,-26.799808
Octomeria crassifolia,-48.933889,-26.803333
Octomeria crassifolia,-48.930556,-26.799722
Octomeria crassifolia,-48.930556,-26.799722
Octomeria crassifolia,-50.815601348877,-29.3656005859375
Octomeria crassifolia,-49.934700012207,-29.3649997711182
Octomeria crassifolia,-50.2696990966797,-29.8866996765137
Octomeria crassifolia,-50.0643997192383,-29.5368995666504
Octomeria crassifolia,-49.0553016662598,-25.3055992126465
Octomeria crassifolia,-49.0633010864258,-25.4416999816895
Octomeria crassifolia,-48.5092010498047,-25.5200004577637
