SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Oeceoclades maculata,-41.742306,-3.359028
Oeceoclades maculata,-40.6974983215332,-3.98805999755859
Oeceoclades maculata,-39.083333,-16.433333
Oeceoclades maculata,-41.710833,-4.100833
Oeceoclades maculata,-34.9075012207031,-7.25971984863281
Oeceoclades maculata,-40.7402992248535,-18.9831008911133
Oeceoclades maculata,-39.7322006225586,-18.5932998657227
Oeceoclades maculata,-39.7322006225586,-18.5932998657227
Oeceoclades maculata,-39.7322006225586,-18.5932998657227
Oeceoclades maculata,-39.8588981628418,-18.716100692749
Oeceoclades maculata,-41.711194,-4.100611
Oeceoclades maculata,-41.711111,-4.100556
Oeceoclades maculata,-50.807611,-22.246806
Oeceoclades maculata,-48.590222,-23.711336
Oeceoclades maculata,-46.916667,-22.833333
Oeceoclades maculata,-48.107861,-23.545125
Oeceoclades maculata,-47.875,-22.966667
Oeceoclades maculata,-35.219444,-5.733889
Oeceoclades maculata,-47.333333,-21.866667
Oeceoclades maculata,-40.0722007751465,-19.3910999298096
Oeceoclades maculata,-40.0722007751465,-19.3910999298096
Oeceoclades maculata,-55.7872009277344,-20.4710998535156
Oeceoclades maculata,-44.6425018310547,-21.4874992370605
Oeceoclades maculata,-47.5800018310547,-20.8899993896484
Oeceoclades maculata,-48.1199989318848,-22.2800006866455
Oeceoclades maculata,-47.2999992370605,-21.2700004577637
Oeceoclades maculata,-47.060001373291,-22.8999996185303
Oeceoclades maculata,-47.060001373291,-22.8999996185303
Oeceoclades maculata,-47.060001373291,-22.8999996185303
Oeceoclades maculata,-47.060001373291,-22.8999996185303
Oeceoclades maculata,-47.060001373291,-22.8999996185303
Oeceoclades maculata,-47.060001373291,-22.8999996185303
Oeceoclades maculata,-46.7799987792969,-24.1800003051758
Oeceoclades maculata,-46.8800010681152,-23.1800003051758
Oeceoclades maculata,-46.8800010681152,-23.1800003051758
Oeceoclades maculata,-46.8800010681152,-23.1800003051758
Oeceoclades maculata,-47.7000007629395,-21.5499992370605
Oeceoclades maculata,-47.4700012207031,-21.7099990844727
Oeceoclades maculata,-47.2599983215332,-22.8199996948242
Oeceoclades maculata,-34.863056,-7.115
Oeceoclades maculata,-34.9075,-7.26
Oeceoclades maculata,-34.863056,-7.115
Oeceoclades maculata,-35.141944,-6.741944
Oeceoclades maculata,-35.741667,-6.558333
Oeceoclades maculata,-34.863056,-7.115
Oeceoclades maculata,-34.860993,-7.14694
Oeceoclades maculata,-34.863056,-7.115
Oeceoclades maculata,-35.691389,-6.963333
Oeceoclades maculata,-34.820556,-7.606111
Oeceoclades maculata,-35.084422,-6.8047
Oeceoclades maculata,-36.430556,-9.254444
Oeceoclades maculata,-35.142056,-6.741861
Oeceoclades maculata,-35.166389,-6.893611
Oeceoclades maculata,-40.159056,-14.217806
Oeceoclades maculata,-52.994444,-19.552778
Oeceoclades maculata,-34.923056,-6.801389
Oeceoclades maculata,-34.833889,-6.981111
Oeceoclades maculata,-34,-7
Oeceoclades maculata,-34.980833,-6.495833
Oeceoclades maculata,-35.084422,-6.8047
Oeceoclades maculata,-34.860993,-7.14694
Oeceoclades maculata,-35.585278,-6.892222
Oeceoclades maculata,-34.860993,-7.14694
Oeceoclades maculata,-35.558611,-6.778611
Oeceoclades maculata,-34.961944,-7.4175
Oeceoclades maculata,-34.833889,-6.981111
Oeceoclades maculata,-34.833889,-6.981111
Oeceoclades maculata,-35.919971,-6.84
Oeceoclades maculata,-35.023558,-6.374122
Oeceoclades maculata,-34.833889,-6.981111
Oeceoclades maculata,-35.741667,-6.558333
Oeceoclades maculata,-36.419233,-9.257976
Oeceoclades maculata,-36.430556,-9.254167
Oeceoclades maculata,-34.860993,-7.14694
Oeceoclades maculata,-34.978611,-6.493611
Oeceoclades maculata,-35.083056,-6.941306
Oeceoclades maculata,-34.860993,-7.14694
Oeceoclades maculata,-37.124722,-7.841944
Oeceoclades maculata,-34.833889,-6.981111
Oeceoclades maculata,-34.8630981445312,-7.11499977111816
Oeceoclades maculata,-34.8630981445312,-7.11499977111816
Oeceoclades maculata,-34.8630981445312,-7.11499977111816
Oeceoclades maculata,-35.2327995300293,-7.09638977050781
Oeceoclades maculata,-35.2327995300293,-7.09638977050781
Oeceoclades maculata,-35.2327995300293,-7.09638977050781
Oeceoclades maculata,-35.2327995300293,-7.09638977050781
Oeceoclades maculata,-35.7933006286621,-8.72667026519775
Oeceoclades maculata,-43.148611,-22.9625
Oeceoclades maculata,-43.148611,-22.9625
Oeceoclades maculata,-44.040599822998,-22.9596996307373
Oeceoclades maculata,-43.451099395752,-22.7591991424561
Oeceoclades maculata,-43.409444,-20.263056
Oeceoclades maculata,-40.002778,-19.148889
Oeceoclades maculata,-40.415667,-17.960917
Oeceoclades maculata,-39.0647010803223,-16.4496994018555
Oeceoclades maculata,-48.9528007507324,-16.3267002105713
Oeceoclades maculata,-48.1596984863281,-17.7219009399414
Oeceoclades maculata,-55.2257995605469,-23.1042003631592
