SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Orthophytum foliosum,-40.4006004333496,-18.710599899292
Orthophytum foliosum,-40.4006004333496,-18.710599899292
Orthophytum foliosum,-40.4006004333496,-18.710599899292
Orthophytum foliosum,-40.6002998352051,-19.9356002807617
Orthophytum foliosum,-40.6002998352051,-19.9356002807617
Orthophytum foliosum,-40.3694,-19.8319
Orthophytum foliosum,-40.3694,-19.8319
Orthophytum foliosum,-40.0833,-13.8578
Orthophytum foliosum,-41.505298614502,-17.8575000762939
Orthophytum foliosum,-41.505298614502,-17.8575000762939
Orthophytum foliosum,-40.6305999755859,-19.539400100708
Orthophytum foliosum,-40.4006004333496,-18.710599899292
Orthophytum foliosum,-40.4006004333496,-18.710599899292
Orthophytum foliosum,-40.4006004333496,-18.710599899292
Orthophytum foliosum,-40.4006004333496,-18.710599899292
Orthophytum foliosum,-40.4006004333496,-18.710599899292
Orthophytum foliosum,-40.611400604248,-18.6149997711182
Orthophytum foliosum,-40.6305999755859,-19.539400100708
Orthophytum foliosum,-40.3669,-19.5274
Orthophytum foliosum,-40.560278,-18.631667
Orthophytum foliosum,-40.560278,-18.631667
Orthophytum foliosum,-40.604167,-18.615
Orthophytum foliosum,-40.6002998352051,-19.9356002807617
Orthophytum foliosum,-40.608333,-19.725
Orthophytum foliosum,-40.648,-19.022833
Orthophytum foliosum,-40.665556,-18.977778
Orthophytum foliosum,-40.647778,-19.023056
Orthophytum foliosum,-40.647778,-19.022778
Orthophytum foliosum,-40.665556,-18.977778
Orthophytum foliosum,-40.739444,-19.760833
Orthophytum foliosum,-40.665556,-18.978056
Orthophytum foliosum,-40.432778,-18.7825
Orthophytum foliosum,-40.816111,-19.596667
Orthophytum foliosum,-40.816111,-19.596667
Orthophytum foliosum,-40.648361,-19.270139
Orthophytum foliosum,-40.816389,-19.596667
Orthophytum foliosum,-40.615,-19.861111
Orthophytum foliosum,-40.3078002929688,-20.1285991668701
Orthophytum foliosum,-40.3078002929688,-20.1285991668701
Orthophytum foliosum,-52.8731,-10.8339
