SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Paliavana prasinata,-40.7402992248535,-18.9831008911133
Paliavana prasinata,-41.184700012207,-20.6035995483398
Paliavana prasinata,-40.602778,-19.955556
Paliavana prasinata,-40.6002998352051,-19.9356002807617
Paliavana prasinata,-40.6002998352051,-19.9356002807617
Paliavana prasinata,-40.3377990722656,-20.3194007873535
Paliavana prasinata,-40.971944,-19.501667
Paliavana prasinata,-41.321944,-20.621389
Paliavana prasinata,-41.184700012207,-20.6035995483398
Paliavana prasinata,-40.6591987609863,-20.3633003234863
Paliavana prasinata,-40.6002998352051,-19.9356002807617
Paliavana prasinata,-41.1347007751465,-20.3397006988525
Paliavana prasinata,-42.3664016723633,-21.1305999755859
Paliavana prasinata,-40.4006004333496,-18.710599899292
Paliavana prasinata,-42.9674987792969,-21.4596996307373
Paliavana prasinata,-41.505298614502,-17.8575000762939
Paliavana prasinata,-43.1036,-22.8833
Paliavana prasinata,-43.1783,-22.505
Paliavana prasinata,-41.1344,-20.3397
Paliavana prasinata,-43.212076,-22.951842
Paliavana prasinata,-43.2075004577637,-22.9027996063232
Paliavana prasinata,-42.284167,-22.39
Paliavana prasinata,-43.2075004577637,-22.9027996063232
Paliavana prasinata,-43.2075004577637,-22.9027996063232
Paliavana prasinata,-42.0228004455566,-20.9046993255615
Paliavana prasinata,-40.6002998352051,-19.9356002807617
Paliavana prasinata,-40.6002998352051,-19.9356002807617
Paliavana prasinata,-41.5331001281738,-20.763599395752
Paliavana prasinata,-43.7144012451172,-19.1688995361328
Paliavana prasinata,-41.4775,-20.376111
Paliavana prasinata,-40.306389,-20.275833
Paliavana prasinata,-40.6591987609863,-20.3633003234863
Paliavana prasinata,-40.6591987609863,-20.3633003234863
Paliavana prasinata,-40.369701385498,-19.8318996429443
Paliavana prasinata,-41.6671981811523,-20.5414009094238
Paliavana prasinata,-40.855598449707,-19.8019008636475
Paliavana prasinata,-41.5358009338379,-20.3458003997803
Paliavana prasinata,-41.5358009338379,-20.3458003997803
Paliavana prasinata,-41.3664016723633,-21.0641994476318
Paliavana prasinata,-41.3664016723633,-21.0641994476318
Paliavana prasinata,-41.3664016723633,-21.0641994476318
Paliavana prasinata,-41.3664016723633,-21.0641994476318
Paliavana prasinata,-40.4006004333496,-18.710599899292
Paliavana prasinata,-40.4006004333496,-18.710599899292
Paliavana prasinata,-40.4006004333496,-18.710599899292
Paliavana prasinata,-40.7461013793945,-20.040599822998
Paliavana prasinata,-40.6002998352051,-19.9356002807617
Paliavana prasinata,-40.6002998352051,-19.9356002807617
Paliavana prasinata,-40.2924995422363,-20.3297004699707
Paliavana prasinata,-40.2924995422363,-20.3297004699707
Paliavana prasinata,-40.2924995422363,-20.3297004699707
Paliavana prasinata,-40.2924995422363,-20.3297004699707
Paliavana prasinata,-40.2924995422363,-20.3297004699707
Paliavana prasinata,-40.3377990722656,-20.3194007873535
Paliavana prasinata,-40.3377990722656,-20.3194007873535
Paliavana prasinata,-40.3377990722656,-20.3194007873535
Paliavana prasinata,-40.3377990722656,-20.3194007873535
Paliavana prasinata,-40.3377990722656,-20.3194007873535
Paliavana prasinata,-40.3377990722656,-20.3194007873535
Paliavana prasinata,-40.3377990722656,-20.3194007873535
Paliavana prasinata,-40.3377990722656,-20.3194007873535
Paliavana prasinata,-40.3377990722656,-20.3194007873535
Paliavana prasinata,-40.3377990722656,-20.3194007873535
Paliavana prasinata,-40.3539009094238,-17.8391990661621
Paliavana prasinata,-41.746898651123,-21.6460990905762
Paliavana prasinata,-43.2075004577637,-22.9027996063232
Paliavana prasinata,-43.2075004577637,-22.9027996063232
Paliavana prasinata,-40.3333015441895,-19.2649993896484
Paliavana prasinata,-40.6002998352051,-19.9356002807617
Paliavana prasinata,-42.02,-20.72
Paliavana prasinata,-42.169444,-22.000833
Paliavana prasinata,-41.4575,-21.788611
Paliavana prasinata,-41.3244018554688,-21.7541999816895
Paliavana prasinata,-42.055,-20.7425
Paliavana prasinata,-42.055278,-20.742778
Paliavana prasinata,-42.9674987792969,-21.4596996307373
Paliavana prasinata,-42.0080986022949,-21.9552993774414
Paliavana prasinata,-43.2075,-22.9028
Paliavana prasinata,-43.1786,-22.505
Paliavana prasinata,-40.5356,-19.0175
Paliavana prasinata,-41.184700012207,-20.6035995483398
Paliavana prasinata,-42.9674987792969,-21.4596996307373
Paliavana prasinata,-42.9674987792969,-21.4596996307373
Paliavana prasinata,-42.9674987792969,-21.4596996307373
Paliavana prasinata,-42.9674987792969,-21.4596996307373
Paliavana prasinata,-42.9674987792969,-21.4596996307373
Paliavana prasinata,-42.5311012268066,-22.2819004058838
Paliavana prasinata,-41.260944,-17.855972
Paliavana prasinata,-41.260944,-17.855972
Paliavana prasinata,-41.260944,-17.855972
Paliavana prasinata,-41.241833,-17.7915
Paliavana prasinata,-40.4199981689453,-20.2639007568359
Paliavana prasinata,-41.448056,-21.797222
Paliavana prasinata,-41.447778,-21.796944
Paliavana prasinata,-40.883333,0
Paliavana prasinata,-41.083611,-20.516111
Paliavana prasinata,-40.125278,-17.866389
Paliavana prasinata,-40.6002998352051,-19.9356002807617
Paliavana prasinata,-40.3539009094238,-17.8391990661621
Paliavana prasinata,-43.2075004577637,-22.9027996063232
Paliavana prasinata,-43.2075004577637,-22.9027996063232
Paliavana prasinata,-41.1128005981445,-20.8488998413086
Paliavana prasinata,-40.6591987609863,-20.3633003234863
Paliavana prasinata,-40.6591987609863,-20.3633003234863
Paliavana prasinata,-40.6591987609863,-20.3633003234863
Paliavana prasinata,-40.6002998352051,-19.9356002807617
Paliavana prasinata,-40.6002998352051,-19.9356002807617
Paliavana prasinata,-40.6002998352051,-19.9356002807617
Paliavana prasinata,-40.6002998352051,-19.9356002807617
Paliavana prasinata,-41.1347007751465,-20.3397006988525
Paliavana prasinata,-42.3664016723633,-21.1305999755859
Paliavana prasinata,-43.1035995483398,-22.88330078125
Paliavana prasinata,-43.2075004577637,-22.9027996063232
Paliavana prasinata,-41.1347007751465,-20.3397006988525
Paliavana prasinata,-40.537222,-19.966111
Paliavana prasinata,-41.1347007751465,-20.3397006988525
Paliavana prasinata,-42.3664016723633,-21.1305999755859
Paliavana prasinata,-40.530278,-19.971389
Paliavana prasinata,-40.530278,-19.971389
Paliavana prasinata,-40.472222,-19.914167
Paliavana prasinata,-40.681389,-19.805556
Paliavana prasinata,-40.506944,-19.936111
Paliavana prasinata,-40.553056,-19.9075
Paliavana prasinata,-40.553056,-19.9075
Paliavana prasinata,-40.553056,-19.9075
Paliavana prasinata,-40.553056,-19.9075
Paliavana prasinata,-40.553056,-19.9075
Paliavana prasinata,-40.6,-19.936111
Paliavana prasinata,-41.100556,-20.519167
Paliavana prasinata,-41.100556,-20.519167
Paliavana prasinata,-41.550556,-20.939444
Paliavana prasinata,-40.506944,-19.936111
Paliavana prasinata,-40.5625,-19.951667
Paliavana prasinata,-40.552778,-19.953333
Paliavana prasinata,-40.65,-19.915556
Paliavana prasinata,-40.601944,-19.906111
Paliavana prasinata,-40.583333,-19.948333
Paliavana prasinata,-40.530278,-19.971389
Paliavana prasinata,-40.681389,-19.805556
Paliavana prasinata,-40.601944,-19.906111
Paliavana prasinata,-41.100556,-20.519167
Paliavana prasinata,-40.558611,-19.339167
Paliavana prasinata,-40.431667,-20.093889
Paliavana prasinata,-40.455278,-19.247222
Paliavana prasinata,-40.665556,-18.977778
Paliavana prasinata,-40.448333,-20.103333
Paliavana prasinata,-40.490556,-20.200556
Paliavana prasinata,-40.741944,-19.828056
Paliavana prasinata,-40.525278,-19.310833
Paliavana prasinata,-40.662778,-18.971944
Paliavana prasinata,-40.470556,-20.059167
Paliavana prasinata,-40.739444,-19.760833
Paliavana prasinata,-40.548333,-19.847222
Paliavana prasinata,-41.100556,-20.519167
Paliavana prasinata,-40.416111,-19.248611
Paliavana prasinata,-40.470639,-20.058611
Paliavana prasinata,-40.43,-20.095556
Paliavana prasinata,-40.616111,-20.101944
Paliavana prasinata,-40.558611,-19.343611
Paliavana prasinata,-40.934722,-19.751111
Paliavana prasinata,-40.574722,-20.082778
Paliavana prasinata,-40.806944,-19.910833
Paliavana prasinata,-40.540556,-20.278333
Paliavana prasinata,-41.083611,-20.516111
Paliavana prasinata,-41.131444,-21.001361
Paliavana prasinata,-40.624778,-20.149444
Paliavana prasinata,-40.443889,-18.776944
Paliavana prasinata,-41.263889,-20.277778
Paliavana prasinata,-41.218889,-20.976111
Paliavana prasinata,-40.816944,-18.539167
Paliavana prasinata,-40.677222,-18.184722
Paliavana prasinata,-40.473889,-19.907944
Paliavana prasinata,-41.083611,-20.516111
Paliavana prasinata,-41.147778,-18.548889
Paliavana prasinata,-41.238611,-18.543611
Paliavana prasinata,-41.238611,-18.543611
Paliavana prasinata,-40.637806,-19.233972
Paliavana prasinata,-40.350278,-19.911667
Paliavana prasinata,-40.539806,-20.092222
Paliavana prasinata,-41.106389,-18.883611
Paliavana prasinata,-40.4695,-20.273778
Paliavana prasinata,-40.739722,-19.826944
Paliavana prasinata,-40.718556,-19.401917
Paliavana prasinata,-40.737167,-19.831667
Paliavana prasinata,-40.945353,-20.684372
Paliavana prasinata,-40.945353,-20.684372
Paliavana prasinata,-40.528056,-19.974722
Paliavana prasinata,-40.533333,-19.95
Paliavana prasinata,-40.533333,-19.95
Paliavana prasinata,-41.386389,-20.643889
Paliavana prasinata,-40.596667,-20.054722
Paliavana prasinata,-40.563278,-20.027389
Paliavana prasinata,-41.733806,-21.104444
Paliavana prasinata,-40.537222,-19.966111
Paliavana prasinata,-40.5372,-19.966333
Paliavana prasinata,-40.876667,-19.231111
Paliavana prasinata,-40.376944,-19.889444
Paliavana prasinata,-40.6,-19.936111
Paliavana prasinata,-40.294167,-20.302222
Paliavana prasinata,-40.615,-19.861111
Paliavana prasinata,-40.683611,-19.931111
Paliavana prasinata,-40.716667,-18.616667
Paliavana prasinata,-40.2733001708984,-19.8202991485596
Paliavana prasinata,-40.2733001708984,-19.8202991485596
Paliavana prasinata,-41.1128005981445,-20.8488998413086
Paliavana prasinata,-41.184700012207,-20.6035995483398
Paliavana prasinata,-41.2439002990723,-20.3682994842529
Paliavana prasinata,-40.875301361084,-19.8738994598389
Paliavana prasinata,-40.875301361084,-19.8738994598389
Paliavana prasinata,-41.3664016723633,-21.0641994476318
Paliavana prasinata,-41.3664016723633,-21.0641994476318
Paliavana prasinata,-41.3664016723633,-21.0641994476318
Paliavana prasinata,-41.3664016723633,-21.0641994476318
Paliavana prasinata,-40.5297012329102,-20.1005992889404
Paliavana prasinata,-42.0080986022949,-21.9552993774414
Paliavana prasinata,-41.1100006103516,-18.0436000823975
Paliavana prasinata,-44.3180999755859,-23.0067005157471
Paliavana prasinata,-52.8731,-10.8339
Paliavana prasinata,-40.2924995422363,-20.3297004699707
