SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Peperomia galioides,-41.483333,-12.6
Peperomia galioides,-41.45,-12.45
Peperomia galioides,-72.083333,7.966667
Peperomia galioides,-67.75,-16.627778
Peperomia galioides,-67.833333,-16.2
Peperomia galioides,-67.683333,-16.616667
Peperomia galioides,-75.685833,5.538889
Peperomia galioides,-68.133333,-16.166667
Peperomia galioides,-77.833333,-6.833333
Peperomia galioides,-62.116667,5.9
Peperomia galioides,-68.016667,-16.666667
Peperomia galioides,-48.9592018127441,-15.852499961853
Peperomia galioides,-49.166667,-24.416667
Peperomia galioides,-44.816944,-22.374167
Peperomia galioides,-46.331389,-22.892778
Peperomia galioides,-44.88,-22.456389
Peperomia galioides,-44.88,-22.456389
Peperomia galioides,-45.042472,-23.257083
Peperomia galioides,-48.9592018127441,-15.852499961853
Peperomia galioides,-46.1446990966797,-22.7553005218506
Peperomia galioides,-46.1446990966797,-22.7553005218506
Peperomia galioides,-46.1446990966797,-22.7553005218506
Peperomia galioides,-46.1446990966797,-22.7553005218506
Peperomia galioides,-46.1446990966797,-22.7553005218506
Peperomia galioides,-43.801399230957,-20.2532997131348
Peperomia galioides,-46.5499992370605,-23.1100006103516
Peperomia galioides,-43.014167,-22.450278
Peperomia galioides,-40.0722007751465,-19.3910999298096
Peperomia galioides,-41.833333,-13.283333
Peperomia galioides,-50.142222,-24.716111
Peperomia galioides,-86.416667,13.1
Peperomia galioides,-41.6636009216309,-13.2496995925903
Peperomia galioides,-41.3899993896484,-12.563099861145
Peperomia galioides,-41.5588989257812,-12.5289001464844
Peperomia galioides,-48.9592018127441,-15.852499961853
Peperomia galioides,-41.8683013916016,-20.4333000183105
Peperomia galioides,-43.6697006225586,-19.8799991607666
Peperomia galioides,-41.9043998718262,-20.523099899292
Peperomia galioides,-43.801399230957,-20.2532997131348
Peperomia galioides,-49.261100769043,-24.823600769043
Peperomia galioides,-49.1150016784668,-25.2061004638672
