SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Peperomia incana,-40.4006004333496,-18.710599899292
Peperomia incana,-40.7402992248535,-18.9831008911133
Peperomia incana,-43.2075004577637,-22.9027996063232
Peperomia incana,-41.4768981933594,-16.2224998474121
Peperomia incana,-41.4768981933594,-16.2224998474121
Peperomia incana,-43.024167,-22.966389
Peperomia incana,-43.1035995483398,-22.88330078125
Peperomia incana,-46.6300010681152,-23.5400009155273
Peperomia incana,-43.197333,-22.970143
Peperomia incana,-41.4767,-16.2225
Peperomia incana,-43.184813,-22.973744
Peperomia incana,-43.184813,-22.973744
Peperomia incana,-46.6300010681152,-23.5400009155273
Peperomia incana,-38.5108,-12.9711
Peperomia incana,-40.926389,-19.092778
Peperomia incana,-43.2075004577637,-22.9027996063232
Peperomia incana,-23.3469,-23.0036
Peperomia incana,-41.260944,-17.855972
Peperomia incana,-41.260944,-17.855972
Peperomia incana,-43.2075004577637,-22.9027996063232
Peperomia incana,-40.662778,-18.971944
Peperomia incana,-40.681389,-19.805556
Peperomia incana,-40.774889,-19.191472
