SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Peperomia rotundifolia,-49.2242012023926,-25.2917003631592
Peperomia rotundifolia,-48.5092010498047,-25.5200004577637
Peperomia rotundifolia,-52.9,4.45
Peperomia rotundifolia,-58.616667,5.016667
Peperomia rotundifolia,-56.183333,4.683333
Peperomia rotundifolia,-59.25,2.166667
Peperomia rotundifolia,-59.5,7.75
Peperomia rotundifolia,-58.533333,3.133333
Peperomia rotundifolia,-58.583333,2.983333
Peperomia rotundifolia,-54.583333,2.966667
Peperomia rotundifolia,-53.283333,3.6
Peperomia rotundifolia,-61.1,5.8
Peperomia rotundifolia,-55.074167,5.171667
Peperomia rotundifolia,-55.0675,5.139167
Peperomia rotundifolia,-65.8,10.15
Peperomia rotundifolia,-61.833333,8.083333
Peperomia rotundifolia,-75.916667,4.783333
Peperomia rotundifolia,-58.85,1.416667
Peperomia rotundifolia,-61.05,5.833333
Peperomia rotundifolia,-59.9,5.033333
Peperomia rotundifolia,-54.083333,3.25
Peperomia rotundifolia,-63.391667,3.216667
Peperomia rotundifolia,-60.116667,6.083333
Peperomia rotundifolia,-58.766667,1.35
Peperomia rotundifolia,-53.283333,3.616667
Peperomia rotundifolia,-59.9,5.033333
Peperomia rotundifolia,-58.6,6.616667
Peperomia rotundifolia,-58.733333,1.816667
Peperomia rotundifolia,-58.85,1.416667
Peperomia rotundifolia,-60.25,6.15
Peperomia rotundifolia,-53.2,3.533333
Peperomia rotundifolia,-55.159049,5.846517
Peperomia rotundifolia,-53.266667,3.6
Peperomia rotundifolia,-60.583333,5.45
Peperomia rotundifolia,-60.25,5.766667
Peperomia rotundifolia,-53.233333,3.6
Peperomia rotundifolia,-60.633333,5.866667
Peperomia rotundifolia,-60.033333,5.083333
Peperomia rotundifolia,-52.2,3.616667
Peperomia rotundifolia rotundifolia,-66.166667,0.833333
Peperomia rotundifolia rotundifolia,-63.575,2.741667
Peperomia rotundifolia rotundifolia,-64.416667,4.1
Peperomia rotundifolia,-50.291056,-29.706944
Peperomia rotundifolia,-53.2505989074707,-27.1935997009277
Peperomia rotundifolia,-48.5491981506348,-27.596700668335
Peperomia rotundifolia,-40.4006004333496,-18.710599899292
Peperomia rotundifolia,-54.08333,-27.13333
Peperomia rotundifolia,-45.708056,-23.711944
Peperomia rotundifolia,-47.968889,-24.0675
Peperomia rotundifolia,-48.35,-24.283333
Peperomia rotundifolia,-47.916667,-24.166667
Peperomia rotundifolia,-49.5,-22.25
