SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Peperomia warmingii,-40.6591987609863,-20.3633003234863
Peperomia warmingii,-49.261100769043,-24.823600769043
Peperomia warmingii,-43.4075012207031,-20.0746994018555
Peperomia warmingii,-44.0814018249512,-19.5578002929688
Peperomia warmingii,-43.4075012207031,-20.0746994018555
Peperomia warmingii,-43.5080986022949,-20.2875003814697
Peperomia warmingii,-43.5081,-20.2878
Peperomia warmingii,-40.975816,-20.404052
Peperomia warmingii,-49.115,-25.2061
Peperomia warmingii,-40.6591987609863,-20.3633003234863
Peperomia warmingii,-44.0814018249512,-19.5578002929688
Peperomia warmingii,-47.9296989440918,-15.7797002792358
Peperomia cf. warmingii,-43.6697006225586,-19.8799991607666
Peperomia warmingii,-43.4075012207031,-20.0746994018555
Peperomia warmingii,-52.8731,-10.8339
Peperomia warmingii,-45.44222222,-18.78777778
