SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Pereskia aculeata,-48.440278,-22.880556
Pereskia aculeata,-41.5574989318848,-3.47194004058838
Pereskia aculeata,-49.2731018066406,-25.4277992248535
Pereskia aculeata,-50.6156005859375,-24.3239002227783
Pereskia aculeata,-40.033333,-19.116667
Pereskia aculeata,-42.876638,-20.756822
Pereskia aculeata,-42.876638,-20.756822
Pereskia aculeata,-43.0224990844727,-6.76694011688232
Pereskia aculeata,-51.1305999755859,-29.6783008575439
Pereskia aculeata,-51.1305999755859,-29.6783008575439
Pereskia aculeata,-53.1725006103516,-26.760799407959
Pereskia aculeata,-53.1725006103516,-26.760799407959
Pereskia aculeata mill.,-40.4006004333496,-18.710599899292
Pereskia aculeata,-40.2132987976074,-18.3703002929688
Pereskia aculeata,-39.8588981628418,-18.716100692749
Pereskia aculeata,-39.8588981628418,-18.716100692749
Pereskia aculeata,-39.8588981628418,-18.716100692749
Pereskia aculeata,-39.8588981628418,-18.716100692749
Pereskia aculeata mill.,-52.3231010437012,-27.290599822998
Pereskia aculeata,-39.7322006225586,-18.5932998657227
Pereskia aculeata,-40.0722007751465,-19.3910999298096
Pereskia aculeata,-40.0722007751465,-19.3910999298096
Pereskia aculeata,-39.8588981628418,-18.716100692749
Pereskia aculeata,-39.8588981628418,-18.716100692749
Pereskia aculeata,-39.8588981628418,-18.716100692749
Pereskia aculeata,-39.8588981628418,-18.716100692749
Pereskia aculeata,-56.234314,-25.717323
Pereskia aculeata,-56.25,-25.91667
Pereskia aculeata,-56.25,-25.91667
Pereskia aculeata,-56.25,-25.91667
Pereskia aculeata,-56.25,-25.91667
Pereskia aculeata,-56.25,-25.91667
Pereskia aculeata,-47.805556,-24.895
Pereskia aculeata,-47.109167,-22.829167
Pereskia aculeata,-47.55,-23.392222
Pereskia aculeata,-47.89,-24.956944
Pereskia aculeata,-49.5,-22.25
Pereskia aculeata,-46.916667,-22.833333
Pereskia aculeata,-46.916667,-22.833333
Pereskia aculeata,-40.114361,-19.272056
Pereskia aculeata,-53.286111,-26.996667
Pereskia aculeata,-52.416667,-27.216667
Pereskia aculeata,-47.190497,-23.389894
Pereskia aculeata,-47.25,-21.916667
Pereskia aculeata,-49.5,-22.25
Pereskia aculeata,-49.5,-22.25
Pereskia aculeata,-49.5,-22.25
Pereskia aculeata,-48.558056,-21.620833
Pereskia aculeata,-47.876944,-24.608333
Pereskia aculeata,-39.9085998535156,-11.8125
Pereskia aculeata,-41.5032997131348,-16.5617008209229
Pereskia aculeata,-51.0480995178223,-23.2691993713379
Pereskia aculeata,-48.5092010498047,-25.5200004577637
Pereskia aculeata,-47.060001373291,-22.8999996185303
Pereskia aculeata,-47.060001373291,-22.8999996185303
Pereskia aculeata,-47.060001373291,-22.8999996185303
Pereskia aculeata,-47.060001373291,-22.8999996185303
Pereskia aculeata,-47.060001373291,-22.8999996185303
Pereskia aculeata,-47.060001373291,-22.8999996185303
Pereskia aculeata,-47.060001373291,-22.8999996185303
Pereskia aculeata,-47.060001373291,-22.8999996185303
Pereskia aculeata,-46.7799987792969,-24.1800003051758
Pereskia aculeata,-46.7799987792969,-24.1800003051758
Pereskia aculeata,-47.6399993896484,-22.7199993133545
Pereskia aculeata,-50.5699996948242,-22.7399997711182
Pereskia aculeata,-47.7099990844727,-23.1000003814697
Pereskia aculeata,-34.950278,-8.012778
Pereskia aculeata,-36.7050018310547,-8.1863899230957
Pereskia aculeata,-40.939722,-21.211944
Pereskia aculeata,-44.102222,-22.99
Pereskia aculeata,-44.753889,-23.224722
Pereskia aculeata,-44.5633010864258,-22.4960994720459
Pereskia aculeata,-44.040599822998,-22.9596996307373
Pereskia aculeata,-44.040599822998,-22.9596996307373
Pereskia aculeata,-44.040599822998,-22.9596996307373
Pereskia aculeata,-43.1035995483398,-22.88330078125
Pereskia aculeata,-43.1035995483398,-22.88330078125
Pereskia aculeata,-50.706944,-24.100556
Pereskia aculeata,-52.900833,-25.807222
Pereskia aculeata,-39.371898651123,-17.8918991088867
Pereskia aculeata,-39.2844009399414,-14.5930995941162
Pereskia aculeata,-41.184700012207,-20.6035995483398
Pereskia aculeata,-39.7322006225586,-18.5932998657227
Pereskia aculeata,-40.5110015869141,-20.6580009460449
Pereskia aculeata,-40.0722007751465,-19.3910999298096
Pereskia aculeata,-44.043098449707,-19.0060997009277
Pereskia aculeata,-51.1977996826172,-3.47221994400024
Pereskia aculeata,-51.1977996826172,-3.47221994400024
Pereskia aculeata,-52.0099983215332,-2.88000011444092
Pereskia aculeata,-52.0099983215332,-2.88000011444092
Pereskia aculeata,-51.2310981750488,-22.7803001403809
Pereskia aculeata,-50.3675003051758,-23.1100006103516
Pereskia aculeata,-50.3675003051758,-23.1100006103516
Pereskia aculeata,-50.3675003051758,-23.1100006103516
Pereskia aculeata,-49.0553016662598,-25.3055992126465
Pereskia aculeata,-53.614200592041,-25.4792003631592
Pereskia aculeata,-52.6049995422363,-23.6632995605469
Pereskia aculeata,-50.6467018127441,-23.1811008453369
Pereskia aculeata,-49.2731018066406,-25.4277992248535
Pereskia aculeata,-49.2731018066406,-25.4277992248535
Pereskia aculeata,-49.2731018066406,-25.4277992248535
Pereskia aculeata,-51.9791984558105,-23.9160995483398
Pereskia aculeata,-51.9791984558105,-23.9160995483398
Pereskia aculeata,-51.0480995178223,-23.2691993713379
Pereskia aculeata,-51.1627998352051,-23.3103008270264
Pereskia aculeata,-53.9963989257812,-25.2408008575439
Pereskia aculeata,-48.5092010498047,-25.5200004577637
Pereskia aculeata,-48.5092010498047,-25.5200004577637
Pereskia aculeata,-48.5092010498047,-25.5200004577637
Pereskia aculeata,-48.5092010498047,-25.5200004577637
Pereskia aculeata,-49.1925010681152,-25.4447002410889
Pereskia aculeata,-54.3328018188477,-24.8603000640869
Pereskia aculeata,-50.6156005859375,-24.3239002227783
Pereskia aculeata,-53.3250007629395,-23.7663993835449
Pereskia aculeata,-53.3250007629395,-23.7663993835449
Pereskia aculeata,-42.2042007446289,-22.4806003570557
Pereskia aculeata,-41.9449996948242,-22.5268993377686
Pereskia aculeata,-43.2075004577637,-22.9027996063232
Pereskia aculeata,-43.2075004577637,-22.9027996063232
Pereskia aculeata,-48.5491981506348,-27.596700668335
Pereskia aculeata,-47.060001373291,-22.8999996185303
Pereskia aculeata,-52.1599998474121,-22.5300006866455
Pereskia aculeata,-47.85,-15.866667
Pereskia aculeata,-43.958333,-19.559444
Pereskia aculeata,-56.833333,-26.5
Pereskia aculeata,-40.432778,-18.7825
Pereskia aculeata,-50.6156005859375,-24.3239002227783
Pereskia aculeata,-49.2731018066406,-25.4277992248535
Pereskia aculeata,-53.614200592041,-25.4792003631592
Pereskia aculeata,-51.9791984558105,-23.9160995483398
Pereskia aculeata,-51.9791984558105,-23.9160995483398
Pereskia aculeata,-51.9791984558105,-23.9160995483398
Pereskia aculeata,-48.7599983215332,-24.2199993133545
Pereskia aculeata,-40.716667,-18.616667
Pereskia aculeata,0,-22.355194
Pereskia aculeata,-48.558056,-21.620833
Pereskia aculeata,-47.876944,-24.608333
Pereskia aculeata,-47.566667,-21.683333
Pereskia aculeata,-49.377806,-23.390889
Pereskia aculeata,-47.416667,-21.816667
Pereskia aculeata,-48.544892,-22.751194
Pereskia aculeata,-47.6599998474121,-22.1200008392334
Pereskia aculeata,-42.0278015136719,-22.966100692749
Pereskia aculeata,-51.9791984558105,-23.9160995483398
Pereskia aculeata,-49.5499992370605,-22.2900009155273
Pereskia aculeata,-41.5374984741211,-18.9993991851807
Pereskia aculeata,-42.2178001403809,-19.4367008209229
Pereskia aculeata,-46.8800010681152,-23.1800003051758
Pereskia aculeata,-47.560001373291,-22.4099998474121
Pereskia aculeata,-47.560001373291,-22.4099998474121
Pereskia aculeata,-47.560001373291,-22.4099998474121
Pereskia aculeata,-47.560001373291,-22.4099998474121
Pereskia aculeata,-47.560001373291,-22.4099998474121
Pereskia aculeata,-47.560001373291,-22.4099998474121
Pereskia aculeata,-47.560001373291,-22.4099998474121
Pereskia aculeata,-47.560001373291,-22.4099998474121
Pereskia aculeata,-40.6002998352051,-19.9356002807617
Pereskia aculeata,-40.6002998352051,-19.9356002807617
Pereskia aculeata,-46.9900016784668,-22.9699993133545
Pereskia aculeata,-46.9900016784668,-22.9699993133545
Pereskia aculeata,-40.2924995422363,-20.3297004699707
Pereskia aculeata,-43.937801361084,-19.9207992553711
Pereskia aculeata,-42.2289009094238,-22.8391990661621
Pereskia aculeata,-42.2289009094238,-22.8391990661621
Pereskia aculeata,-43.1035995483398,-22.88330078125
Pereskia aculeata,-47.9296989440918,-15.7797002792358
Pereskia aculeata,-47.9296989440918,-15.7797002792358
Pereskia aculeata,-47.9296989440918,-15.7797002792358
Pereskia aculeata,-50.9281005859375,-17.7980995178223
Pereskia aculeata,-43.8616981506348,-16.7350006103516
Pereskia aculeata,-52.651389,-26.909167
Pereskia aculeata,-53.279167,-26.685556
Pereskia aculeata,-51.9791984558105,-23.9160995483398
Pereskia aculeata,-48.6380996704102,-26.2432994842529
Pereskia aculeata,-47.0608,-22.9056
Pereskia aculeata,-47.876944,-24.608333
Pereskia aculeata,-49.8194,-22.2197
Pereskia aculeata,-47.0608,-22.9056
Pereskia aculeata,-47.0608,-22.9056
Pereskia aculeata,-47.0608,-22.9056
Pereskia aculeata,-47.0608,-22.9056
Pereskia aculeata,-47.077171,-22.870251
Pereskia aculeata,-47.077171,-22.87025
Pereskia aculeata,-47.169767,-22.922308
Pereskia aculeata,-47.0608,-22.9056
Pereskia aculeata,-47.077171,-22.870251
Pereskia aculeata,-52.900333,-22.607389
Pereskia aculeata,-53.258056,-22.765556
Pereskia aculeata,-51.941111,-23.391389
Pereskia aculeata,-51.868742,-23.347758
Pereskia aculeata,-51.859525,-23.339858
Pereskia aculeata,-51.944986,-23.390906
Pereskia aculeata,-53.2575,-22.769167
Pereskia aculeata,-41.034167,-20.699722
Pereskia aculeata,-51.94005,-23.434062
Pereskia aculeata,-51.452778,-22.115556
Pereskia aculeata,-51.941472,-23.434889
Pereskia aculeata,-52.939708,-23.384914
Pereskia aculeata,-54.3025016784668,-22.4818992614746
Pereskia aculeata,-53.3513984680176,-22.4878005981445
Pereskia aculeata,-51.2783012390137,-23.2758007049561
Pereskia aculeata,-52.6049995422363,-23.6632995605469
Pereskia aculeata,-52.8596992492676,-22.656400680542
Pereskia aculeata,-51.0480995178223,-23.2691993713379
Pereskia aculeata,-51.9385986328125,-23.4253005981445
Pereskia aculeata,-51.9385986328125,-23.4253005981445
Pereskia aculeata,-51.9385986328125,-23.4253005981445
Pereskia aculeata,-51.9385986328125,-23.4253005981445
Pereskia aculeata,-51.9385986328125,-23.4253005981445
Pereskia aculeata,-51.9385986328125,-23.4253005981445
Pereskia aculeata,-51.9385986328125,-23.4253005981445
Pereskia aculeata,-51.9385986328125,-23.4253005981445
Pereskia aculeata,-51.9385986328125,-23.4253005981445
Pereskia aculeata,-52.4653015136719,-23.0730991363525
Pereskia aculeata,-52.4653015136719,-23.0730991363525
Pereskia aculeata,-53.2668991088867,-22.7721996307373
Pereskia aculeata,-53.2668991088867,-22.7721996307373
Pereskia aculeata,-53.2200012207031,-22.8239002227783
Pereskia aculeata,-41.233333,-16.05
Pereskia aculeata,-47.9296989440918,-15.7797002792358
Pereskia aculeata,-50.975556,-23.540833
Pereskia aculeata,-50.975556,-23.540833
Pereskia aculeata,-50.975556,-23.540833
