SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Philodendron edmundoi,-40.7402992248535,-18.9831008911133
Philodendron edmundoi,-40.4006004333496,-18.710599899292
Philodendron edmundoi,-40.7402992248535,-18.9831008911133
Philodendron edmundoi,-41.184700012207,-20.6035995483398
Philodendron edmundoi,-40.4006004333496,-18.710599899292
Philodendron edmundoi,-40.611400604248,-18.6149997711182
Philodendron edmundoi,-41.8683013916016,-20.4333000183105
Philodendron edmundoi,-43.162222,-22.250556
Philodendron edmundoi,-43.173889,-22.252222
Philodendron edmundoi,-43.173889,-22.252222
Philodendron edmundoi,-42.291667,-22.384444
Philodendron edmundoi,-40.919722,-20.178333
Philodendron edmundoi,-41.1128005981445,-20.8488998413086
Philodendron edmundoi,-41.5358009338379,-20.3458003997803
Philodendron edmundoi,-41.5358009338379,-20.3458003997803
Philodendron edmundoi,-41.5358009338379,-20.3458003997803
Philodendron edmundoi,-41.0567016601562,-19.8988990783691
Philodendron edmundoi,-41.3664016723633,-21.0641994476318
Philodendron edmundoi,-41.4131011962891,-20.4641990661621
Philodendron edmundoi,-40.4006004333496,-18.710599899292
Philodendron edmundoi,-40.4006004333496,-18.710599899292
Philodendron edmundoi,-40.7461013793945,-20.040599822998
Philodendron edmundoi,-40.7461013793945,-20.040599822998
Philodendron edmundoi,-40.3078002929688,-20.1285991668701
Philodendron edmundoi,-40.3078002929688,-20.1285991668701
Philodendron edmundoi,-42.481111,-20.719444
Philodendron edmundoi,-41.755556,-20.395556
Philodendron edmundoi,-41.775,-20.399444
Philodendron edmundoi,-41.5331001281738,-20.763599395752
Philodendron edmundoi,-40.4006004333496,-18.710599899292
Philodendron edmundoi,-41.260944,-17.855972
Philodendron edmundoi,-41.260944,-17.855972
Philodendron edmundoi,-40.6305999755859,-19.539400100708
Philodendron edmundoi,-42.5311012268066,-22.2819004058838
Philodendron edmundoi,-41.221667,-21.331667
Philodendron edmundoi,-39.202778,-14.770278
Philodendron edmundoi,-39.343611,-15.161944
Philodendron edmundoi,-39.565278,-15.391667
Philodendron edmundoi,-39.603333,-14.701667
Philodendron edmundoi,-39.4143981933594,-15.2632999420166
Philodendron edmundoi,-41.184700012207,-20.6035995483398
Philodendron edmundoi,-40.4006004333496,-18.710599899292
Philodendron edmundoi,-41.9043998718262,-20.523099899292
Philodendron cf. edmundoi,-40.697222,-20.043333
Philodendron edmundoi,-40.530278,-19.971389
Philodendron edmundoi,-40.530278,-19.971389
Philodendron edmundoi,-40.635556,-19.925556
Philodendron edmundoi,-40.576944,-19.963056
Philodendron edmundoi,-40.530278,-19.971389
Philodendron edmundoi,-41.100556,-20.519167
Philodendron edmundoi,-40.553056,-19.9075
Philodendron edmundoi,-40.553056,-19.9075
Philodendron edmundoi,-40.981111,-19.741389
Philodendron edmundoi,-41.100556,-20.519167
Philodendron edmundoi,-41.100556,-20.519167
Philodendron edmundoi,-40.553056,-19.820556
Philodendron edmundoi,-41.100556,-20.519167
Philodendron edmundoi,-40.479444,-19.919722
Philodendron edmundoi,-40.798611,-18.944167
Philodendron edmundoi,-40.814722,-19.897778
Philodendron edmundoi,-40.476389,-20.088056
Philodendron edmundoi,-40.555694,-20.128611
Philodendron edmundoi,-40.664167,-18.974806
Philodendron edmundoi,-40.826111,-19.874444
Philodendron edmundoi,-40.775278,-19.796944
Philodendron edmundoi,-41.083611,-20.516111
Philodendron edmundoi,-40.697778,-18.989444
Philodendron edmundoi,-40.446389,-18.782778
Philodendron edmundoi,-41.083611,-20.516111
Philodendron edmundoi,-41.047222,-20.938056
Philodendron edmundoi,-40.793333,-19.835556
Philodendron edmundoi,-40.457611,-18.767
Philodendron edmundoi,-40.465139,-20.280444
Philodendron edmundoi,-40.444444,-18.781111
Philodendron edmundoi,-40.4725,-18.773889
Philodendron edmundoi,-40.308611,-20.1675
Philodendron edmundoi,-41.3664016723633,-21.0641994476318
Philodendron edmundoi,-40.6002998352051,-19.9356002807617
