SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Pilosocereus brasiliensis,-39.8588981628418,-18.716100692749
Pilosocereus brasiliensis,-40.611400604248,-18.6149997711182
Pilosocereus brasiliensis,-40.4006004333496,-18.710599899292
Pilosocereus brasiliensis,-41.902778,-22.476667
Pilosocereus brasiliensis ruschianus,-40.812222,-19.926111
Pilosocereus brasiliensis ruschianus,-41.505298614502,-17.8575000762939
Pilosocereus brasiliensis,-41.4721984863281,-19.1721992492676
Pilosocereus brasiliensis,-41.5374984741211,-18.9993991851807
Pilosocereus brasiliensis,-40.2924995422363,-20.3297004699707
Pilosocereus brasiliensis,-42.032149,-22.874703
Pilosocereus brasiliensis,-39.701944,-18.403333
Pilosocereus brasiliensis,-40.315,-20.151667
Pilosocereus brasiliensis,-40.308889,-20.159444
Pilosocereus brasiliensis,-40.855598449707,-19.8019008636475
Pilosocereus brasiliensis,-40.0722007751465,-19.3910999298096
Pilosocereus brasiliensis,-40.4006004333496,-18.710599899292
Pilosocereus brasiliensis,-40.4006004333496,-18.710599899292
Pilosocereus brasiliensis,-40.4006004333496,-18.710599899292
Pilosocereus brasiliensis,-40.2924995422363,-20.3297004699707
Pilosocereus brasiliensis,-40.2924995422363,-20.3297004699707
Pilosocereus brasiliensis,-40.3377990722656,-20.3194007873535
Pilosocereus brasiliensis,-40.3377990722656,-20.3194007873535
Pilosocereus brasiliensis,-40.3377990722656,-20.3194007873535
Pilosocereus brasiliensis,-40.3377990722656,-20.3194007873535
Pilosocereus brasiliensis,-40.3377990722656,-20.3194007873535
Pilosocereus brasiliensis ruschianus,-40.6,-19.883333
Pilosocereus brasiliensis,-40.607778,-19.89
Pilosocereus brasiliensis,-40.681389,-19.404167
Pilosocereus brasiliensis,-42.133333,-22.816667
Pilosocereus brasiliensis,-43.341111,-18.115
Pilosocereus brasiliensis ruschianus,-41.260944,-17.855972
Pilosocereus brasiliensis ruschianus,-41.260944,-17.855972
Pilosocereus brasiliensis,-41.0638999938965,-19.4958000183105
Pilosocereus brasiliensis,-41.4721984863281,-19.1721992492676
Pilosocereus brasiliensis,-41.4721984863281,-19.1721992492676
Pilosocereus brasiliensis,-41.4721984863281,-19.1721992492676
Pilosocereus brasiliensis,-41.4721984863281,-19.1721992492676
Pilosocereus brasiliensis,-41.455,-21.7925
Pilosocereus brasiliensis,-42.133333,-22.816667
Pilosocereus brasiliensis ruschianus,-40.8394012451172,-14.8661003112793
Pilosocereus brasiliensis ruschianus,-39.7243995666504,-15.1424999237061
Pilosocereus brasiliensis,-41.9449996948242,-22.5268993377686
Pilosocereus brasiliensis,-41.166667,-12.683333
Pilosocereus brasiliensis,-40.304444,-20.276667
Pilosocereus brasiliensis,-40.648361,-19.270139
Pilosocereus brasiliensis,-40.676111,-18.183889
Pilosocereus brasiliensis subsp. ruschianus,-40.806944,-19.910833
Pilosocereus brasiliensis subsp. ruschianus,-40.681389,-19.805556
Pilosocereus brasiliensis subsp. ruschianus,-40.739722,-19.826944
Pilosocereus brasiliensis,-41.238611,-18.543611
Pilosocereus brasiliensis,-40.2733001708984,-19.8202991485596
Pilosocereus brasiliensis,-40.6236000061035,-19.1436004638672
Pilosocereus brasiliensis,-41.981028,-22.807083
Pilosocereus brasiliensis,-40.616389,-20.659194
Pilosocereus brasiliensis,-41.981028,-22.807083
Pilosocereus brasiliensis,-41.436194,-21.799111
Pilosocereus brasiliensis,-40.433333,-19.65
Pilosocereus brasiliensis brasiliensis,-40.291,-20.182861
Pilosocereus brasiliensis ruschianus,-40.679111,-19.397472
Pilosocereus brasiliensis ruschianus,-40.612472,-19.87825
Pilosocereus brasiliensis ruschianus,-41.278278,-17.909139
Pilosocereus brasiliensis ruschianus,-40.121444,-17.862972
Pilosocereus brasiliensis brasiliensis,-42.011111,-22.721389
Pilosocereus brasiliensis ruschianus,-41.1855,-18.726333
