SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Pitcairnia decidua,-41.083611,-20.516111
Pitcairnia decidua,-40.6591987609863,-20.3633003234863
Pitcairnia decidua,-41.432222,-20.175
Pitcairnia decidua,-40.6592,-20.3633
Pitcairnia decidua,-40.6592,-20.3633
Pitcairnia decidua,-40.6002998352051,-19.9356002807617
Pitcairnia decidua,-42.5208015441895,-20.6667003631592
Pitcairnia decidua,-42.5208015441895,-20.6667003631592
Pitcairnia decidua,-42.5208015441895,-20.6667003631592
Pitcairnia decidua,-42.5208015441895,-20.6667003631592
Pitcairnia decidua,-42.5208015441895,-20.6667003631592
Pitcairnia decidua,-42.5208015441895,-20.6667003631592
Pitcairnia decidua,-42.5208015441895,-20.6667003631592
Pitcairnia decidua,-42.5208015441895,-20.6667003631592
Pitcairnia decidua,-42.6571998596191,-20.8400001525879
Pitcairnia decidua,-42.2789001464844,-20.7255992889404
Pitcairnia decidua,-42.8819007873535,-20.7539005279541
Pitcairnia decidua,-41.5331001281738,-20.763599395752
Pitcairnia decidua,-41.1128005981445,-20.8488998413086
Pitcairnia decidua,-41.1128005981445,-20.8488998413086
Pitcairnia decidua,-41.2439002990723,-20.3682994842529
Pitcairnia decidua,-40.6591987609863,-20.3633003234863
Pitcairnia decidua,-40.875301361084,-19.8738994598389
Pitcairnia decidua,-41.3664016723633,-21.0641994476318
Pitcairnia decidua,-46.6300010681152,-23.5400009155273
Pitcairnia decidua,-41.184700012207,-20.6035995483398
Pitcairnia decidua,-42.0228004455566,-20.9046993255615
Pitcairnia decidua,-41.9494018554688,-18.8511009216309
Pitcairnia decidua,-41.35,-20.783333
Pitcairnia decidua,-41.1128005981445,-20.8488998413086
Pitcairnia decidua,-41.833333,-20.466667
Pitcairnia decidua,-42.558894,-20.524747
Pitcairnia decidua,-42.0228004455566,-20.9046993255615
Pitcairnia decidua,-41.083611,-20.516111
Pitcairnia decidua,-41.083611,-20.516111
Pitcairnia decidua,-41.083611,-20.516111
Pitcairnia decidua,-41.849194,-20.412917
Pitcairnia aff. decidua,-41.009167,-20.205833
Pitcairnia aff. decidua,-41.989167,-20.573056
Pitcairnia cf. decidua,-41.263889,-20.2775
Pitcairnia decidua,-41.100556,-20.519167
Pitcairnia decidua,-41.100556,-20.519167
Pitcairnia decidua,-41.100556,-20.519167
Pitcairnia decidua,-40.775278,-19.796944
Pitcairnia decidua,-41.100556,-20.519167
Pitcairnia decidua,-40.775278,-19.796944
Pitcairnia decidua,-41.100556,-20.519167
Pitcairnia decidua,-41.100556,-20.519167
Pitcairnia decidua,-40.775278,-19.796944
Pitcairnia decidua,-41.100556,-20.519167
Pitcairnia decidua,-41.019167,-20.403889
Pitcairnia decidua,-40.463333,-19.275833
Pitcairnia decidua,-40.775278,-19.796944
Pitcairnia decidua,-40.775278,-19.796944
Pitcairnia decidua,-40.775278,-19.796944
Pitcairnia decidua,-40.775278,-19.796944
Pitcairnia decidua,-40.574722,-20.082778
Pitcairnia decidua,-41.550556,-20.939444
Pitcairnia decidua,-41.389444,-20.658056
Pitcairnia decidua,-40.6055,-20.128333
Pitcairnia decidua,-41.083611,-20.516111
Pitcairnia decidua,-41.083611,-20.516111
Pitcairnia decidua,-41.083611,-20.516111
Pitcairnia decidua,-41.083611,-20.516111
Pitcairnia decidua,-41.084706,-20.504278
Pitcairnia decidua,-40.601944,-19.906111
Pitcairnia decidua,-41.734722,-20.389444
Pitcairnia decidua,-41.019167,-20.403889
Pitcairnia decidua,-40.601944,-19.906111
Pitcairnia decidua,-41.512778,-20.419167
Pitcairnia aff. decidua,-41.5331001281738,-20.763599395752
Pitcairnia decidua,-41.0567016601562,-19.8988990783691
Pitcairnia decidua,-41.0567016601562,-19.8988990783691
Pitcairnia decidua,-41.3664016723633,-21.0641994476318
Pitcairnia decidua,-41.3664016723633,-21.0641994476318
Pitcairnia decidua,-41.3664016723633,-21.0641994476318
Pitcairnia decidua,-40.3078002929688,-20.1285991668701
Pitcairnia decidua,-40.3078002929688,-20.1285991668701
Pitcairnia decidua,-52.8731,-10.8339
Pitcairnia decidua,-52.8731,-10.8339
