SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Pitcairnia flammea,-49.0633010864258,-25.4416999816895
Pitcairnia flammea,-49.0633010864258,-25.4416999816895
Pitcairnia flammea,-49.0633010864258,-25.4416999816895
Pitcairnia flammea var. floccosa,-48.834400177002,-25.476900100708
Pitcairnia flammea var. floccosa,-48.5092010498047,-25.5200004577637
Pitcairnia flammea,-46.680278,-23.955556
Pitcairnia flammea,-41.883333,-20.433333
Pitcairnia flammea,-44.880833,-22.465833
Pitcairnia flammea,-46.1446990966797,-22.7553005218506
Pitcairnia flammea,-46.1446990966797,-22.7553005218506
Pitcairnia flammea floccosa,-49.0553016662598,-25.3055992126465
Pitcairnia flammea,-43.2075004577637,-22.9027996063232
Pitcairnia flammea,-43.2075004577637,-22.9027996063232
Pitcairnia flammea floccosa,-46.5499992370605,-23.1100006103516
Pitcairnia flammea glabrior,-45.0699996948242,-23.4300003051758
Pitcairnia flammea,-44.3180999755859,-23.0067005157471
Pitcairnia flammea,-44.3180999755859,-23.0067005157471
Pitcairnia flammea,-44.3180999755859,-23.0067005157471
Pitcairnia flammea,-44.3180999755859,-23.0067005157471
Pitcairnia flammea,-44.3180999755859,-23.0067005157471
Pitcairnia flammea,-44.3180999755859,-23.0067005157471
Pitcairnia flammea,-44.3180999755859,-23.0067005157471
Pitcairnia flammea,-44.3180999755859,-23.0067005157471
Pitcairnia flammea,-44.3180999755859,-23.0067005157471
Pitcairnia flammea,-44.3180999755859,-23.0067005157471
Pitcairnia flammea,-44.3180999755859,-23.0067005157471
Pitcairnia flammea,-44.3180999755859,-23.0067005157471
Pitcairnia flammea,-44.3180999755859,-23.0067005157471
Pitcairnia flammea,-43.8981018066406,-22.6291999816895
Pitcairnia flammea,-48.819722,-25.131667
Pitcairnia flammea,-48.933056,-25.443056
Pitcairnia flammea,-41.173611,-20.305833
Pitcairnia flammea glabrior,-40.749698638916,-20.6350002288818
Pitcairnia flammea floccosa,-40.6002998352051,-19.9356002807617
Pitcairnia flammea floccosa,-55.7872009277344,-20.4710998535156
Pitcairnia flammea floccosa,-43.6002998352051,-18.2493991851807
Pitcairnia flammea,-43.3502998352051,-21.7642002105713
Pitcairnia flammea,-43.3502998352051,-21.7642002105713
Pitcairnia flammea,-43.3502998352051,-21.7642002105713
Pitcairnia flammea,-43.0106010437012,-21.5400009155273
Pitcairnia flammea,-49.0553016662598,-25.3055992126465
Pitcairnia flammea floccosa,-49.0553016662598,-25.3055992126465
Pitcairnia flammea floccosa,-49.0553016662598,-25.3055992126465
Pitcairnia flammea floccosa,-49.0553016662598,-25.3055992126465
Pitcairnia flammea,-48.5746994018555,-25.8827991485596
Pitcairnia flammea floccosa,-48.5746994018555,-25.8827991485596
Pitcairnia flammea,-48.5746994018555,-25.8827991485596
Pitcairnia flammea,-48.5746994018555,-25.8827991485596
Pitcairnia flammea,-49.7057991027832,-24.2511005401611
Pitcairnia flammea floccosa,-48.834400177002,-25.476900100708
Pitcairnia flammea floccosa,-48.834400177002,-25.476900100708
Pitcairnia flammea floccosa,-48.834400177002,-25.476900100708
Pitcairnia flammea,-48.834400177002,-25.476900100708
Pitcairnia flammea floccosa,-48.834400177002,-25.476900100708
Pitcairnia flammea floccosa,-48.834400177002,-25.476900100708
Pitcairnia flammea floccosa,-48.834400177002,-25.476900100708
Pitcairnia flammea floccosa,-48.5092010498047,-25.5200004577637
Pitcairnia flammea floccosa,-49.0633010864258,-25.4416999816895
Pitcairnia flammea floccosa,-49.0633010864258,-25.4416999816895
Pitcairnia flammea floccosa,-49.0633010864258,-25.4416999816895
Pitcairnia flammea floccosa,-49.0769004821777,-25.3656005859375
Pitcairnia flammea,-49.0769004821777,-25.3656005859375
Pitcairnia flammea floccosa,-49.4636001586914,-24.1128005981445
Pitcairnia flammea,-42.4193992614746,-22.1518993377686
Pitcairnia flammea glabrior,-45.0699996948242,-23.4300003051758
Pitcairnia flammea,-48.978333,-25.950556
Pitcairnia flammea,-48.966667,-25.5
Pitcairnia flammea var. floccosa,-48.978611,-25.95
Pitcairnia flammea var. floccosa,-49.0633010864258,-25.4416999816895
Pitcairnia flammea,-49.0633010864258,-25.4416999816895
Pitcairnia flammea var. floccosa,-49.0769004821777,-25.3656005859375
Pitcairnia flammea,-49.7057991027832,-24.2511005401611
Pitcairnia flammea,-50.4136009216309,-24.5093994140625
Pitcairnia flammea,-50.4136009216309,-24.5093994140625
Pitcairnia flammea var. floccosa,-48.834400177002,-25.476900100708
Pitcairnia flammea var. floccosa,-48.834400177002,-25.476900100708
Pitcairnia flammea,-49.0633010864258,-25.4416999816895
Pitcairnia flammea var. flammea,-48.834400177002,-25.476900100708
Pitcairnia flammea,-48.5746994018555,-25.8827991485596
Pitcairnia flammea var. floccosa,-49.0553016662598,-25.3055992126465
Pitcairnia flammea,-49.0769004821777,-25.3656005859375
Pitcairnia flammea,-49.0553016662598,-25.3055992126465
Pitcairnia flammea,-42.983333,0
Pitcairnia flammea,-44.618333,-22.426972
Pitcairnia flammea,-44.619851,-22.430248
Pitcairnia flammea,-43.4075012207031,-20.0746994018555
Pitcairnia flammea,-48.8549995422363,-26.0266990661621
Pitcairnia flammea,-44.518361,-21.271969
Pitcairnia flammea,-44.494139,-21.23875
Pitcairnia flammea macropoda,-42.0228004455566,-20.9046993255615
Pitcairnia flammea floccosa,-48.834400177002,-25.476900100708
Pitcairnia flammea floccosa,-49.0769004821777,-25.3656005859375
Pitcairnia flammea,-50.4136009216309,-24.5093994140625
Pitcairnia flammea,-42.9655990600586,-22.4122009277344
Pitcairnia flammea,-49.5177993774414,-27.0569000244141
Pitcairnia flammea,-44.343611,-22.791944
Pitcairnia flammea,-47.9199981689453,-25.0100002288818
Pitcairnia flammea,-47.5499992370605,-24.7000007629395
