SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Pleopeltis lepidopteris,-48.6702995300293,-28.2399997711182
Pleopeltis lepidopteris,-48.6702995300293,-28.2399997711182
Pleopeltis lepidopteris,-48.6380996704102,-26.2432994842529
Pleopeltis lepidopteris,-48.6133003234863,-28.0233001708984
Pleopeltis lepidopteris,-48.6133003234863,-28.0233001708984
Pleopeltis lepidopteris,-49.2999992370605,-28.7133007049561
Pleopeltis lepidopteris,-44.1996994018555,-20.1432991027832
Pleopeltis lepidopteris,-43.6697006225586,-19.8799991607666
Pleopeltis lepidopteris,-50.1618995666504,-25.0949993133545
Pleopeltis lepidopteris,-52.4838981628418,-31.7632999420166
Pleopeltis lepidopteris,-50.2325,-30.084444
Pleopeltis lepidopteris,-48.5092010498047,-25.5200004577637
Pleopeltis lepidopteris,-50.1618995666504,-25.0949993133545
Pleopeltis lepidopteris,-50.1618995666504,-25.0949993133545
Pleopeltis lepidopteris,-50.1618995666504,-25.0949993133545
Pleopeltis lepidopteris,-48.511100769043,-25.6735992431641
Pleopeltis lepidopteris,-51.4081001281738,-28.9902992248535
Pleopeltis lepidopteris,-52.3424987792969,-31.771900177002
Pleopeltis lepidopteris,-50.0657997131348,-28.7483005523682
Pleopeltis lepidopteris,-51.1472015380859,-29.7602996826172
Pleopeltis lepidopteris,-48.5491981506348,-27.596700668335
Pleopeltis lepidopteris,-48.5491981506348,-27.596700668335
Pleopeltis lepidopteris,-48.5491981506348,-27.596700668335
Pleopeltis lepidopteris,-48.5491981506348,-27.596700668335
Pleopeltis lepidopteris,-48.5491981506348,-27.596700668335
Pleopeltis lepidopteris,-50,-25.233333
Pleopeltis lepidopteris,-50,-25.233333
Pleopeltis lepidopteris,-50,-25.233333
Pleopeltis lepidopteris,-48.539722,-27.172778
Pleopeltis lepidopteris,-49.133,-27.025
Pleopeltis lepidopteris,-53.501111,-30.835833
Pleopeltis lepidopteris,-48.6702995300293,-28.2399997711182
Pleopeltis lepidopteris,-48.6380996704102,-26.2432994842529
Pleopeltis lepidopteris,-49.6356010437012,-25.5839004516602
Pleopeltis lepidopteris,-48.55,-26.283333
Pleopeltis lepidopteris,-52.164722,-31.985
Pleopeltis lepidopteris,-52.164797,-31.984917
Pleopeltis lepidopteris,-48.6678009033203,-27.645299911499
Pleopeltis lepidopteris,-52.932778,-31.310278
Pleopeltis lepidopteris,-49.1325,-27.025
Pleopeltis lepidopteris,-48.5397,-27.1728
Pleopeltis lepidopteris,-52,-31
Pleopeltis lepidopteris,-50,-29
Pleopeltis lepidopteris,-42.8185997009277,-22.9193992614746
Pleopeltis lepidopteris,-51.3958015441895,-30.6732997894287
Pleopeltis lepidopteris,-52.2475,-32.020833
Pleopeltis lepidopteris,-40.5110015869141,-20.6580009460449
Pleopeltis lepidopteris,-40.5110015869141,-20.6580009460449
Pleopeltis lepidopteris,-40.5110015869141,-20.6580009460449
Pleopeltis lepidopteris,-40.5110015869141,-20.6580009460449
Pleopeltis lepidopteris,-40.5110015869141,-20.6580009460449
Pleopeltis lepidopteris,-40.5110015869141,-20.6580009460449
Pleopeltis lepidopteris,-50.2056007385254,-30.1811008453369
Pleopeltis lepidopteris,-50.5097007751465,-30.2577991485596
Pleopeltis lepidopteris,-48.7807998657227,-28.4825000762939
Pleopeltis lepidopteris,-50.053333,-29.634167
Pleopeltis lepidopteris,-48.5,-27.73
Pleopeltis lepidopteris,-48.63,-26.9
Pleopeltis lepidopteris,-43.3469,-23.0036
Pleopeltis lepidopteris,-50.03,-25.22
Pleopeltis lepidopteris,-48.5132,-26.2426
Pleopeltis lepidopteris,-48.4814,-27.6872
Pleopeltis lepidopteris,-48.641944,-28.128972
Pleopeltis lepidopteris,-53.08982,-10.773109
Pleopeltis lepidopteris,-50.96916,-30.407857
Pleopeltis lepidopteris,-51.016667,-30.366667
Pleopeltis lepidopteris,-51.016667,-30.366667
Pleopeltis lepidopteris,-49.736657,-29.359432
Pleopeltis lepidopteris,-49.2731018066406,-25.4277992248535
Pleopeltis lepidopteris,-50.1618995666504,-25.0949993133545
Pleopeltis lepidopteris,-50.1618995666504,-25.0949993133545
Pleopeltis lepidopteris,-53.1041984558105,-31.4480991363525
Pleopeltis lepidopteris,-52.191036,-31.720606
Pleopeltis lepidopteris,-48.513603,-27.613625
Pleopeltis lepidopteris,-50.194681,-29.838611
Pleopeltis lepidopteris,-49.7268981933594,-29.3353004455566
Pleopeltis lepidopteris,-48.485,-27.77
Pleopeltis lepidopteris,-48.449167,-27.626944
Pleopeltis lepidopteris,-49.0256004333496,-28.6149997711182
Pleopeltis lepidopteris,-50.508333,-29.930833
Pleopeltis lepidopteris,-50.508333,-29.930833
Pleopeltis lepidopteris,-41.191944,-11.583333
Pleopeltis lepidopteris,-49.1325,-27.025
Pleopeltis lepidopteris,-50.5083333,-29.9308334
Pleopeltis lepidopteris,-49.7268981933594,-29.3353004455566
Pleopeltis lepidopteris,-50.194722,-29.838611
Pleopeltis lepidopteris,-52.191111,-31.720556
Pleopeltis lepidopteris,-52.2475,-32.020833
Pleopeltis lepidopteris,-50.508333,-29.930833
Pleopeltis lepidopteris,-44.2325,0
Pleopeltis lepidopteris,-49.6356010437012,-25.5839004516602
Pleopeltis lepidopteris,-42.8185997009277,-22.9193992614746
Pleopeltis lepidopteris,-45.5900001525879,-22.7299995422363
Pleopeltis lepidopteris,-50.349167,-30.364722
Pleopeltis lepidopteris,-50.926111,-28.263333
Pleopeltis lepidopteris,-48.515556,-27.717778
Pleopeltis lepidopteris,-50.033333,-25.216667
Pleopeltis lepidopteris,-48.5491981506348,-27.596700668335
Pleopeltis lepidopteris,-48.5491981506348,-27.596700668335
Pleopeltis lepidopteris,-48.5491981506348,-27.596700668335
Pleopeltis lepidopteris,-48.5491981506348,-27.596700668335
Pleopeltis lepidopteris,-48.5491981506348,-27.596700668335
Pleopeltis lepidopteris,-48.5491981506348,-27.596700668335
Pleopeltis lepidopteris,-48.5491981506348,-27.596700668335
Pleopeltis lepidopteris,-48.5491981506348,-27.596700668335
Pleopeltis lepidopteris,-48.5491981506348,-27.596700668335
Pleopeltis lepidopteris,-48.5491981506348,-27.596700668335
Pleopeltis lepidopteris,-52.3424987792969,-31.771900177002
Pleopeltis lepidopteris,-52.3424987792969,-31.771900177002
Pleopeltis lepidopteris,-52.3424987792969,-31.771900177002
Pleopeltis lepidopteris,-50.9494018554688,-24.2082996368408
Pleopeltis lepidopteris,-48.592778,-27.0525
Pleopeltis lepidopteris,-49.486389,-28.935556
Pleopeltis lepidopteris,-49.486111,-28.935278
Pleopeltis lepidopteris,-41.1561012268066,-11.5500001907349
Pleopeltis lepidopteris,-50.2325,-30.084444
Pleopeltis lepidopteris,-48.646944,-28.149722
Pleopeltis lepidopteris,-50.349167,-30.364722
Pleopeltis lepidopteris,-52.247444,-32.020789
Pleopeltis lepidopteris,-52.164797,-31.984917
Pleopeltis lepidopteris,-51.417,-30.631806
Pleopeltis lepidopteris,-50.508317,-29.930886
Pleopeltis lepidopteris,-52.191036,-31.720606
