SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Pleopeltis minarum,-43.507778,-20.37
Pleopeltis minarum,-43.482778,-20.095833
Pleopeltis minarum,-42.513056,-14.896667
Pleopeltis minarum,-42.513056,-14.896667
Pleopeltis minarum,-43.8466987609863,-19.9855995178223
Pleopeltis minarum,-43.5080986022949,-20.2875003814697
Pleopeltis minarum,-42.737778,-15.615833
Pleopeltis minarum,-53.82175,-25.239833
Pleopeltis minarum,-43.58,-19.17
Pleopeltis minarum,-43.750051,-19.02325
Pleopeltis minarum,-43.7144012451172,-19.1688995361328
Pleopeltis minarum,-41.171111,-11.494167
Pleopeltis minarum,-42.537222,-14.358889
Pleopeltis minarum,-43.3067016601562,-18.465799331665
Pleopeltis minarum,-43.801399230957,-20.2532997131348
Pleopeltis minarum,-43.4160995483398,-20.377799987793
Pleopeltis minarum,-42.4333000183105,-14.8496999740601
Pleopeltis minarum,-43.806103,-19.792711
Pleopeltis minarum,-43.5136111,-18.4052778
Pleopeltis minarum,-43.8827778,-18.5808334
Pleopeltis minarum,-43.944306,-20.332917
Pleopeltis minarum,-43.666667,-20.666667
Pleopeltis minarum,-43.910278,-19.961667
Pleopeltis minarum,-42.735833,-15.615472
Pleopeltis minarum,-43.774361,-17.906556
Pleopeltis minarum,-43.401389,-19.000833
Pleopeltis minarum,-43.794194,-20.157694
Pleopeltis minarum,-43.287139,-18.196694
Pleopeltis minarum,-41.095,-20.516944
Pleopeltis minarum,-43.477444,-20.422833
Pleopeltis minarum,43.417222,20.134444
Pleopeltis minarum,-43.589667,-19.081417
Pleopeltis minarum,-44.362139,-21.202778
Pleopeltis minarum,-42.737778,-15.615833
Pleopeltis minarum,-16.533333,-42.916667
Pleopeltis minarum,-43.911944,-19.961389
Pleopeltis minarum,-43.691278,-20.544444
Pleopeltis minarum,-43.983889,-20.107778
Pleopeltis minarum,-43.475278,-20.093611
Pleopeltis minarum,-43.911944,-21.238889
Pleopeltis minarum,-42.737778,-15.615833
Pleopeltis minarum,-42.704444,-16.088889
Pleopeltis minarum,-43.890556,-20.522222
Pleopeltis minarum,-44.362139,-21.202778
Pleopeltis minarum,-42.76,-16.723889
Pleopeltis minarum,-44.199861,-17.689833
Pleopeltis minarum,-43.913056,-19.961944
Pleopeltis minarum,-43.386389,-19.889944
Pleopeltis minarum,-43.887694,-19.971083
Pleopeltis minarum,-43.458667,-20.108639
Pleopeltis minarum,-43.766667,-19.833333
Pleopeltis minarum,-43.978917,-20.408306
Pleopeltis minarum,-44.333333,-20.6
Pleopeltis minarum,-43.872222,-20.240556
Pleopeltis minarum,-43.422944,-19.413667
Pleopeltis minarum,-43.592861,-20.211944
Pleopeltis minarum,-43.938056,-20.319417
Pleopeltis minarum,-43.315556,-18.424222
Pleopeltis minarum,-43.309972,-18.207
Pleopeltis minarum,-0.872222,-0.136111
Pleopeltis minarum,43.417222,20.134444
Pleopeltis minarum,-42.741389,-15.648889
Pleopeltis minarum,-43.419167,-20.135
Pleopeltis minarum,-43.938083,-20.348444
Pleopeltis minarum,-44.234167,-20.735278
Pleopeltis minarum,-43.436667,-20.201944
Pleopeltis minarum,-44.340972,-21.188889
Pleopeltis minarum,-44.066667,-20.402778
Pleopeltis minarum,-43.703611,-18.421833
Pleopeltis minarum,-43.463111,-20.132833
Pleopeltis minarum,-43.581167,-20.238056
Pleopeltis minarum,-42.94875,-18.018114
Pleopeltis minarum,-43.405278,-21.3625
Pleopeltis minarum,-43.703611,-18.421833
Pleopeltis minarum,-44.333333,-20.6
Pleopeltis minarum,-43.459444,-20.109167
Pleopeltis minarum,-42.513056,-14.896667
Pleopeltis minarum,-44.066667,-20.402778
Pleopeltis minarum,-44.198299407959,-19.9678001403809
Pleopeltis minarum,-43.6697006225586,-19.8799991607666
Pleopeltis minarum,-43.6697006225586,-19.8799991607666
Pleopeltis minarum,-43.4075012207031,-20.0746994018555
Pleopeltis minarum,-43.4249992370605,-19.0372009277344
Pleopeltis minarum,-43.4160995483398,-20.377799987793
Pleopeltis minarum,-43.4160995483398,-20.377799987793
Pleopeltis minarum,-43.8466987609863,-19.9855995178223
Pleopeltis minarum,-43.8466987609863,-19.9855995178223
Pleopeltis minarum,-43.7893981933594,-20.0874996185303
Pleopeltis minarum,-43.7893981933594,-20.0874996185303
Pleopeltis minarum,-42.5396995544434,-15.6097002029419
Pleopeltis minarum,-42.5396995544434,-15.6097002029419
Pleopeltis minarum,-43.4152984619141,-19.959400177002
Pleopeltis minarum,-43.4152984619141,-19.959400177002
Pleopeltis minarum,-43.8513984680176,-19.7696990966797
Pleopeltis minarum,-42.221944,-14.689722
Pleopeltis minarum,-42.538333,-14.200556
Pleopeltis minarum,-43.2268981933594,-19.6191997528076
Pleopeltis minarum,-43.5080986022949,-20.2875003814697
Pleopeltis minarum,-43.5080986022949,-20.2875003814697
Pleopeltis minarum,-43.5080986022949,-20.2875003814697
Pleopeltis minarum,-43.5080986022949,-20.2875003814697
Pleopeltis minarum,-43.2268981933594,-19.6191997528076
Pleopeltis minarum,-43.937801361084,-19.9207992553711
Pleopeltis minarum,-43.6697006225586,-19.8799991607666
Pleopeltis minarum,-43.6697006225586,-19.8799991607666
Pleopeltis minarum,-43.6697006225586,-19.8799991607666
Pleopeltis minarum,-43.5080986022949,-20.2875003814697
Pleopeltis minarum,-43.5080986022949,-20.2875003814697
Pleopeltis minarum,-43.5080986022949,-20.2875003814697
Pleopeltis minarum,-43.5080986022949,-20.2875003814697
Pleopeltis minarum,-40.21,-10.36575
