SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Pleroma cucullatum,-40.4006004333496,-18.710599899292
Pleroma cucullatum,-40.7402992248535,-18.9831008911133
Pleroma cucullatum,-40.456944,-18.766389
Pleroma cucullatum,-40.468889,-18.803889
Pleroma cucullatum,-40.768611,-19.290833
Pleroma cucullatum,-40.458,-18.767
Pleroma cucullatum,-40.457778,-18.766944
Pleroma cucullatum,-40.456667,-18.769167
Pleroma cucullatum,-40.456667,-18.769167
Pleroma cucullatum,-40.468889,-18.803889
Pleroma cucullatum,-40.4006004333496,-18.710599899292
Pleroma cucullatum,-40.446389,-18.782778
Pleroma cucullatum,-40.457778,-18.766944
Pleroma cucullatum,-40.466667,-18.75
Pleroma cucullatum,-40.457778,-18.766944
Pleroma cucullatum,-40.432778,-18.7825
Pleroma cucullatum,-40.4475,-18.770278
Pleroma cucullatum,-40.446389,-18.782778
Pleroma cucullatum,-40.457611,-18.767
Pleroma cucullatum,-40.457778,-18.766944
Pleroma cucullatum,-40.444444,-18.781111
