SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Pleroma fissinervium,-41.852778,-13.475278
Pleroma fissinervium,-43.8278007507324,-22.0891990661621
Pleroma fissinervium,-43.256667,-22.965833
Pleroma fissinervium,-4.495833,-22.491667
Pleroma fissinervium,-39.0647010803223,-16.4496994018555
Pleroma fissinervium,-42.9655990600586,-22.4122009277344
Pleroma fissinervium,-42.6571998596191,-20.8400001525879
Pleroma fissinervium,-42.6571998596191,-20.8400001525879
Pleroma fissinervium,-42.6571998596191,-20.8400001525879
Pleroma fissinervium,-40.0865,-19.147778
Pleroma fissinervium,-39.0647010803223,-16.4496994018555
Pleroma fissinervium,-40.0722007751465,-19.3910999298096
Pleroma fissinervium,-40.0722007751465,-19.3910999298096
Pleroma fissinervium,-40.0722007751465,-19.3910999298096
Pleroma fissinervium,-40.0722007751465,-19.3910999298096
Pleroma fissinervium,-40.0722007751465,-19.3910999298096
Pleroma fissinervium,-40.0722007751465,-19.3910999298096
Pleroma fissinervium,-44.1996994018555,-20.1432991027832
Pleroma fissinervium,-44.1996994018555,-20.1432991027832
Pleroma fissinervium,-41.282222,-12.287222
Pleroma fissinervium,-41.467778,-12.434444
Pleroma fissinervium,-39.4,-15.55
Pleroma fissinervium,-41.333889,-13.559722
Pleroma fissinervium,-40.478056,-11.183056
Pleroma fissinervium,-41.391389,-12.393889
Pleroma fissinervium,-41.487778,-12.443611
Pleroma fissinervium,-41.472222,-12.456111
Pleroma fissinervium,-40.448611,-10.900556
Pleroma fissinervium,-39.016667,-16.266667
Pleroma fissinervium,-41.283333,-13.4
Pleroma fissinervium,-41.366667,-13
Pleroma fissinervium,-41.483333,-12.633333
Pleroma fissinervium,-38.504444,-13.0575
Pleroma fissinervium,-39.05,-16.433333
Pleroma fissinervium,-41.283333,-13.4
Pleroma fissinervium,-41.332778,-12.096111
Pleroma fissinervium,-41.313889,-12.131944
Pleroma fissinervium,-41.274444,-12.945
Pleroma fissinervium,-41.316667,-12.8
Pleroma fissinervium,-41.346111,-12.806389
Pleroma fissinervium,-41.340833,-12.988333
Pleroma fissinervium,-41.766667,-13.15
Pleroma fissinervium,-41.383333,-12.583333
Pleroma fissinervium,-40.497222,-11.162778
Pleroma fissinervium,-39.466667,-12.85
Pleroma fissinervium,-41.383333,-12.583333
Pleroma fissinervium,-41.8114013671875,-13.5789003372192
Pleroma fissinervium,-41.8683013916016,-20.4333000183105
Pleroma fissinervium,-41.8683013916016,-20.4333000183105
Pleroma fissinervium,-39.4958000183105,-15.4191999435425
Pleroma fissinervium,-39.5233001708984,-12.771900177002
Pleroma fissinervium,-41.3899993896484,-12.563099861145
Pleroma fissinervium,-40.5182991027832,-11.1806001663208
Pleroma fissinervium,-40.5182991027832,-11.1806001663208
Pleroma fissinervium,-40.5182991027832,-11.1806001663208
Pleroma fissinervium,-41.5588989257812,-12.5289001464844
Pleroma fissinervium,-40.1893997192383,-10.4614000320435
Pleroma fissinervium,-40.8513984680176,-19.2250003814697
Pleroma fissinervium,-40.8513984680176,-19.2250003814697
Pleroma fissinervium,-40.6002998352051,-19.9356002807617
Pleroma fissinervium,-40.6002998352051,-19.9356002807617
Pleroma fissinervium,-40.6002998352051,-19.9356002807617
Pleroma fissinervium,-41.8683013916016,-20.4333000183105
Pleroma fissinervium,-42.6571998596191,-20.8400001525879
Pleroma fissinervium,-42.6571998596191,-20.8400001525879
Pleroma fissinervium,-43.5080986022949,-20.2875003814697
Pleroma fissinervium,-43.8278007507324,-22.0891990661621
Pleroma fissinervium,-43.4152984619141,-19.959400177002
Pleroma fissinervium,-43.7022018432617,-21.9591999053955
