SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Pleroma heteromallum,-43.676389,-19.099722
Pleroma heteromallum,-53.098611,-25.6925
Pleroma heteromallum,-43.4375,-19.0625
Pleroma heteromallum,-46.7925,-20.331389
Pleroma heteromallum,-46.273333,-23.211667
Pleroma heteromallum,-42.5396995544434,-15.6097002029419
Pleroma heteromallum,-46.6300010681152,-23.5400009155273
Pleroma heteromallum,-48.908056,-26.309167
Pleroma heteromallum,-43.5325,-19.261861
Pleroma heteromallum,-51.3194007873535,-24.0002994537354
Pleroma heteromallum,-50.22,-27.0925
Pleroma heteromallum,-51.0480995178223,-23.2691993713379
Pleroma heteromallum,-51.1627998352051,-23.3103008270264
Pleroma heteromallum,-51.1627998352051,-23.3103008270264
Pleroma heteromallum,-50.2327995300293,-30.2474994659424
Pleroma heteromallum,-46.6300010681152,-23.5400009155273
Pleroma heteromallum,-43.662222,-20.500833
Pleroma heteromallum,-43.662222,-20.500833
Pleroma heteromallum,-43.662222,-20.500833
Pleroma heteromallum,-41.3664016723633,-21.0641994476318
Pleroma heteromallum,-42.5208015441895,-20.6667003631592
Pleroma heteromallum,-46.8539009094238,-20.343900680542
Pleroma heteromallum,-43.4160995483398,-20.377799987793
Pleroma heteromallum,-43.4160995483398,-20.377799987793
Pleroma heteromallum,-43.4160995483398,-20.377799987793
Pleroma heteromallum,-43.6918983459473,-20.5207996368408
Pleroma heteromallum,-43.5080986022949,-20.2875003814697
Pleroma heteromallum,-43.5080986022949,-20.2875003814697
Pleroma heteromallum,-43.5080986022949,-20.2875003814697
Pleroma heteromallum,-43.5080986022949,-20.2875003814697
Pleroma heteromallum,-43.5080986022949,-20.2875003814697
Pleroma heteromallum,-43.5080986022949,-20.2875003814697
Pleroma heteromallum,-43.5080986022949,-20.2875003814697
Pleroma heteromallum,-43.5080986022949,-20.2875003814697
Pleroma heteromallum,-42.8819007873535,-20.7539005279541
Pleroma heteromallum,-42.8819007873535,-20.7539005279541
Pleroma heteromallum,-42.8819007873535,-20.7539005279541
Pleroma heteromallum,-54.6464004516602,-20.4428005218506
Pleroma heteromallum,-41.733333,-20.494444
Pleroma heteromallum,-40.991667,-20.454722
Pleroma heteromallum,-40.991667,-20.454722
Pleroma heteromallum,-42.739444,-15.647222
Pleroma heteromallum,-39.7322006225586,-18.5932998657227
Pleroma heteromallum,-40.5110015869141,-20.6580009460449
Pleroma heteromallum,-50.9211006164551,-31.1068992614746
Pleroma heteromallum,-46.6300010681152,-23.5400009155273
Pleroma heteromallum,-47.512878,-23.284278
Pleroma heteromallum,-36.227572,-10.088011
Pleroma heteromallum,-35.798111,-9.59025
Pleroma heteromallum,-35.708947,-9.649847
Pleroma heteromallum,-36.232211,-9.332981
Pleroma heteromallum,-35.776694,-9.556025
Pleroma heteromallum,-36.555278,-9.626944
Pleroma heteromallum,-36.389475,-9.558281
Pleroma heteromallum,-36.489636,-9.394233
Pleroma heteromallum,-35.8925,-9.254722
Pleroma heteromallum,-35.502222,-9.201389
Pleroma heteromallum,-35.502222,-9.201389
Pleroma heteromallum,-35.567222,-9.1
Pleroma heteromallum,-39.962778,-19.209417
Pleroma heteromallum,-41.2439002990723,-20.3682994842529
Pleroma heteromallum,-40.6591987609863,-20.3633003234863
Pleroma heteromallum,-40.076099395752,-18.9055995941162
Pleroma heteromallum,-40.0722007751465,-19.3910999298096
Pleroma heteromallum,-40.0722007751465,-19.3910999298096
Pleroma heteromallum,-40.6002998352051,-19.9356002807617
Pleroma heteromallum,-40.6002998352051,-19.9356002807617
Pleroma heteromallum,-41.1347007751465,-20.3397006988525
Pleroma heteromallum,-43.4160995483398,-20.377799987793
Pleroma heteromallum,-48.2977,-25.1752
Pleroma heteromallum,-49.1566,-25.3225
Pleroma heteromallum,-44.981389,-21.724986
Pleroma heteromallum,-43.966944,-20.208611
Pleroma heteromallum,-44.201167,-21.118333
Pleroma heteromallum,-42.404972,-22.920556
Pleroma heteromallum,-44.401092,-23.031547
Pleroma heteromallum,-42.702778,-16.010167
Pleroma heteromallum,-42.7225,-16.0825
Pleroma heteromallum,-42.71,-16.025278
Pleroma heteromallum,-43.4275,-20.161944
Pleroma heteromallum,-43.271667,-19.4175
Pleroma heteromallum,-43.316389,-19.374722
Pleroma heteromallum,-43.401333,-20.318694
Pleroma heteromallum,-43.419833,-20.234861
Pleroma heteromallum,-43.420833,-20.132222
Pleroma heteromallum,-43.910556,-19.960833
Pleroma heteromallum,-43.486694,-19.557333
Pleroma heteromallum,-43.470417,-19.491194
Pleroma heteromallum,-43.689722,-20.043889
Pleroma heteromallum,-43.926944,-20.13
Pleroma heteromallum,-43.039444,-16.854722
Pleroma heteromallum,-43.376944,-19.846667
Pleroma heteromallum,-43.4249992370605,-19.0372009277344
Pleroma heteromallum,-43.0494003295898,-16.0060997009277
Pleroma heteromallum,-38.1016998291016,-7.83805990219116
Pleroma heteromallum,-41.4575,-21.791944
Pleroma heteromallum,-43.2075004577637,-22.9027996063232
Pleroma heteromallum,-44.5633010864258,-22.4960994720459
Pleroma heteromallum,-43.2075004577637,-22.9027996063232
Pleroma heteromallum,-43.2075004577637,-22.9027996063232
Pleroma heteromallum,-42.9655990600586,-22.4122009277344
Pleroma heteromallum,-48.823889,-27.694444
Pleroma heteromallum,-49.424722,-28.598333
Pleroma heteromallum,-43.4160995483398,-20.377799987793
Pleroma heteromallum,-43.4160995483398,-20.377799987793
Pleroma heteromallum,-37.65,-10.918056
Pleroma heteromallum,-40.503944,-20.356722
Pleroma heteromallum,-43.503475,-20.357758
Pleroma heteromallum,-43.517,-20.365056
Pleroma heteromallum,-43.520556,-20.363889
Pleroma heteromallum,-43.712222,-20.483889
Pleroma heteromallum,-43.503056,-20.359722
Pleroma heteromallum,-43.506414,-20.382417
Pleroma heteromallum,-43.5,-20.383333
Pleroma heteromallum,-43.503056,-20.359861
Pleroma heteromallum,-43.416111,-20.377778
Pleroma heteromallum,-43.503267,-20.3629
Pleroma heteromallum,-43.5080986022949,-20.2875003814697
Pleroma heteromallum,-43.5080986022949,-20.2875003814697
Pleroma heteromallum,-43.5080986022949,-20.2875003814697
Pleroma heteromallum,-43.5080986022949,-20.2875003814697
Pleroma heteromallum,-43.5080986022949,-20.2875003814697
Pleroma heteromallum,-43.5080986022949,-20.2875003814697
Pleroma heteromallum,-43.5080986022949,-20.2875003814697
Pleroma heteromallum,-43.5080986022949,-20.2875003814697
Pleroma heteromallum,-43.6918983459473,-20.5207996368408
Pleroma heteromallum,-48.87,-27.63
Pleroma heteromallum,-48.8841666,-27.6258334
Pleroma heteromallum,-50.22,-27.0925
Pleroma heteromallum,-43.7144012451172,-19.1688995361328
Pleroma heteromallum,-49.2742004394531,-26.7383003234863
Pleroma heteromallum,-42.9655990600586,-22.4122009277344
Pleroma heteromallum,-43.671667,-19.823611
Pleroma heteromallum,-34.8810997009277,-8.05389022827148
Pleroma heteromallum,-34.8810997009277,-8.05389022827148
Pleroma heteromallum,-46.6800003051758,-22.6800003051758
Pleroma heteromallum,-43.010799407959,-16.872200012207
Pleroma heteromallum,-40.5110015869141,-20.6580009460449
Pleroma heteromallum,-47.4700012207031,-20.25
Pleroma heteromallum,-47.4700012207031,-20.25
Pleroma heteromallum,-46.3657989501953,-20.2453002929688
Pleroma heteromallum,-47.439998626709,-19.8652992248535
Pleroma heteromallum,-43.937801361084,-19.9207992553711
Pleroma heteromallum,-35.7969017028809,-8.23332977294922
Pleroma heteromallum,-40.472222,-19.914167
Pleroma heteromallum,-41.100556,-20.519167
Pleroma heteromallum,-40.604167,-19.780556
Pleroma heteromallum,-41.476944,-20.345
Pleroma heteromallum,-40.6002998352051,-19.9356002807617
Pleroma heteromallum,-40.6002998352051,-19.9356002807617
Pleroma heteromallum,-40.6002998352051,-19.9356002807617
Pleroma heteromallum,-36.626667,-8.391389
Pleroma heteromallum,-35.5332984924316,-9.15167045593262
Pleroma heteromallum,-38.6800003051758,-12.6274995803833
Pleroma heteromallum,-38.7686004638672,-12.7375001907349
Pleroma heteromallum,-35.9761009216309,-8.28332996368408
Pleroma heteromallum,-46.653333,-20.434444
Pleroma heteromallum,-43.436389,-19.885556
Pleroma heteromallum,-46.653333,-20.434444
Pleroma heteromallum,-46.871111,-20.281111
Pleroma heteromallum,-46.653333,-20.434444
Pleroma heteromallum,-46.7925,-20.331389
Pleroma heteromallum,-46.7925,-20.331389
Pleroma heteromallum,-43.696111,-20.495556
Pleroma heteromallum,-46.230833,-20.604444
Pleroma heteromallum,-46.230833,-20.604444
Pleroma heteromallum,-46.2925,-20.598611
Pleroma heteromallum,-43.824167,-21.94
Pleroma heteromallum,-43.841389,-21.965833
Pleroma heteromallum,-43.674722,-18.25
Pleroma heteromallum,-43.593611,-18.216944
Pleroma heteromallum,-43.701944,-20.491667
Pleroma heteromallum,-43.508611,-20.369167
Pleroma heteromallum,-43.671944,-19.823889
Pleroma heteromallum,-44.296111,-17.702222
Pleroma heteromallum,-43.032778,-16.853611
Pleroma heteromallum,-43.358611,-18.390556
Pleroma heteromallum,-48.304722,-18.611389
Pleroma heteromallum,-43.618333,-18.224167
Pleroma heteromallum,-43.618333,-18.224167
Pleroma heteromallum,-43.629167,-18.210278
Pleroma heteromallum,-43.621111,-18.186667
Pleroma heteromallum,-43.621111,-18.186667
Pleroma heteromallum,-43.626667,-18.19
Pleroma heteromallum,-43.66,-19.6025
Pleroma heteromallum,-42.583333,-16.416667
Pleroma heteromallum,-43.590278,-18.155
Pleroma heteromallum,-43.649167,-18.138889
Pleroma heteromallum,-43.5,-19.166667
Pleroma heteromallum,-43.615,-18.145
Pleroma heteromallum,-43.615,-18.145
Pleroma heteromallum,-43.666667,-19.816667
Pleroma heteromallum,-43.616667,-18.283333
Pleroma heteromallum,-47.701389,-11.68
Pleroma heteromallum,-48.303611,-18.606389
Pleroma heteromallum,-44.981389,-21.725
Pleroma heteromallum,-47.3175,-20.207778
Pleroma heteromallum,-43.436667,-20.153611
Pleroma heteromallum,-43.898056,-18.439444
Pleroma heteromallum,-43.709444,-20.491667
Pleroma heteromallum,-43.779167,-17.951667
Pleroma heteromallum,-43.4275,-20.161944
Pleroma heteromallum,-44.584167,-21.606667
Pleroma heteromallum,-44.670833,-21.455833
Pleroma heteromallum,-44.635278,-21.572222
Pleroma heteromallum,-44.586111,-21.603889
Pleroma heteromallum,-43.706944,-19.066111
Pleroma heteromallum,-44.974167,-21.331944
Pleroma heteromallum,-44.974167,-21.331944
Pleroma heteromallum,-44.710833,-21.296944
Pleroma heteromallum,-44.727778,-21.287222
