SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Pleroma venetiense,-40.4006004333496,-18.710599899292
Pleroma venetiense,-40.4006004333496,-18.710599899292
Pleroma venetiense,-40.456667,-18.769167
Pleroma venetiense,-40.768611,-19.290833
Pleroma venetiense,-40.665556,-18.977778
Pleroma venetiense,-40.798611,-18.944167
Pleroma venetiense,-40.798611,-18.944167
Pleroma venetiense,-40.446389,-18.782778
Pleroma venetiense,-40.4475,-18.77
Pleroma venetiense,-40.457611,-18.767
Pleroma venetiense,-40.456806,-18.768306
Pleroma venetiense,-40.7402992248535,-18.9831008911133
Pleroma venetiense,-40.4006004333496,-18.710599899292
