SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Portulaca hirsutissima,-41.35,-13.016667
Portulaca hirsutissima,-41.816667,-13.583333
Portulaca hirsutissima,-41.916667,-13.533333
Portulaca hirsutissima,-40.066667,-10.75
Portulaca hirsutissima,-41.333333,-10.333333
Portulaca hirsutissima,-40.4006004333496,-18.710599899292
Portulaca hirsutissima,-40.611400604248,-18.6149997711182
Portulaca hirsutissima,-41.31203,-13.73472
Portulaca hirsutissima,-42.873333,-16.616667
Portulaca hirsutissima,-43.345,-17.000444
Portulaca hirsutissima,-43.640194,-19.3605
Portulaca hirsutissima,-42.866667,-16.616667
Portulaca hirsutissima,-39.7957992553711,-13.1043996810913
Portulaca hirsutissima,-38.510799407959,-12.9710998535156
Portulaca hirsutissima,-47.5099983215332,-14.1324996948242
Portulaca hirsutissima,-44.4564018249512,-18.3808002471924
Portulaca hirsutissima,-43.6002998352051,-18.2493991851807
Portulaca hirsutissima,-43.6002998352051,-18.2493991851807
Portulaca hirsutissima,-43.6002998352051,-18.2493991851807
Portulaca hirsutissima,-43.6002998352051,-18.2493991851807
Portulaca hirsutissima,-43.7449989318848,-19.513599395752
Portulaca hirsutissima,-44.1721992492676,-17.7574996948242
Portulaca hirsutissima,-35.141944,-6.741944
Portulaca hirsutissima,-35.137778,-6.739722
Portulaca hirsutissima,-35.142056,-6.741861
Portulaca hirsutissima,-35.125833,-6.838889
Portulaca hirsutissima,-35.142056,-6.741861
Portulaca hirsutissima,-35.141944,-6.741944
Portulaca hirsutissima,-36.427101,-9.254997
Portulaca hirsutissima,-43.043806,-18.129583
Portulaca hirsutissima,-44.434222,-17.627417
Portulaca hirsutissima,-43.451389,-18.462778
Portulaca hirsutissima,-41.6652984619141,-14.2035999298096
Portulaca hirsutissima,-44.1800003051758,-17.8733005523682
Portulaca hirsutissima,-43.6002998352051,-18.2493991851807
Portulaca hirsutissima,-43.6002998352051,-18.2493991851807
Portulaca hirsutissima,-44.1721992492676,-17.7574996948242
Portulaca hirsutissima,-47.509167,-14.091111
Portulaca hirsutissima,-40.9724998474121,-12.9863996505737
Portulaca hirsutissima,-42.8897018432617,-16.5594005584717
Portulaca hirsutissima,-42.5396995544434,-15.6097002029419
Portulaca hirsutissima,-43.8466987609863,-19.9855995178223
Portulaca hirsutissima,-42.8897018432617,-16.5594005584717
Portulaca hirsutissima,-43.8466987609863,-19.9855995178223
Portulaca hirsutissima,-38.7667,-11.8667
Portulaca hirsutissima,-43.6002998352051,-18.2493991851807
Portulaca hirsutissima,-43.6002998352051,-18.2493991851807
Portulaca hirsutissima,-41.185556,-11.577222
Portulaca hirsutissima,-48,-17
Portulaca hirsutissima,-39.516667,-12.766667
Portulaca hirsutissima,-43.556667,-18.305556
Portulaca hirsutissima,-47.5099983215332,-14.1324996948242
Portulaca hirsutissima,-47.9296989440918,-15.7797002792358
Portulaca hirsutissima,-43.573136,-19.340261
Portulaca hirsutissima,-41.8114,-13.5792
Portulaca hirsutissima,-41.93,-13.53
Portulaca hirsutissima,-41.3,-10.48
Portulaca hirsutissima,-47.6,-16.72289
Portulaca hirsutissima,-43.6003,-18.2494
Portulaca hirsutissima,-43.50795,-18.1448
Portulaca hirsutissima,-43.6003,-18.2494
Portulaca hirsutissima,-43.55,-18.17
Portulaca hirsutissima,-43.6836,-18.41575
Portulaca hirsutissima,-41.277389,-16.020808
Portulaca hirsutissima,-43.6003,-18.2494
Portulaca hirsutissima,-43.43284,-18.09029
Portulaca hirsutissima,-42.47,-14.06
Portulaca hirsutissima,-40.67,-11.08
Portulaca hirsutissima,-40.67,-11.08
Portulaca hirsutissima,-36.427101,-9.254997
Portulaca hirsutissima,-41.8114,-13.5792
Portulaca hirsutissima,-41.95,-13.5189
Portulaca hirsutissima,-41.1247223,-18.5338889
Portulaca hirsutissima,-41.03,-11.63
Portulaca hirsutissima,-42.5,-14.12
Portulaca hirsutissima,-43.2075,-22.9031
Portulaca hirsutissima,-41.42,-13.67
Portulaca hirsutissima,-41.93,-13.53
Portulaca hirsutissima,-41.95,-13.55
Portulaca hirsutissima,-41.8114,-13.5792
Portulaca hirsutissima,-41.93,-13.53
Portulaca hirsutissima,-41.93,-13.53
Portulaca hirsutissima,-41.97,-13.52
Portulaca hirsutissima,-41.92,-13.53
Portulaca hirsutissima,-41.82,-13.58
Portulaca hirsutissima,-41.33,-10.33
Portulaca hirsutissima,-44.99,-12.15
Portulaca hirsutissima,-41.7703,-12.4186
Portulaca hirsutissima,-41.9,-13.28
Portulaca hirsutissima,-41.82,-13.3
Portulaca hirsutissima,-41.82,-13.3
Portulaca hirsutissima,-41.32,-10.37
Portulaca hirsutissima,-47,-14
Portulaca hirsutissima,-41.9,-13.25
Portulaca hirsutissima,-43.3793983459473,-18.604700088501
Portulaca hirsutissima,-40.4308,-13.4411
Portulaca hirsutissima,-39.0264015197754,-9.8966703414917
Portulaca hirsutissima,-41.3664016723633,-21.0641994476318
Portulaca hirsutissima,-53.6088889,-18.4544444
Portulaca hirsutissima,-39.742778,-18.654722
Portulaca hirsutissima,-42.739444,-15.647222
Portulaca hirsutissima,-41.5358009338379,-20.3458003997803
Portulaca hirsutissima,-41.5358009338379,-20.3458003997803
Portulaca hirsutissima,-41.3664016723633,-21.0641994476318
Portulaca hirsutissima,-40.3078002929688,-20.1285991668701
Portulaca hirsutissima,-40.3377990722656,-20.3194007873535
Portulaca hirsutissima,-44.198889,-17.692778
Portulaca hirsutissima,-35.225,-5.843611
Portulaca hirsutissima,-40.5182991027832,-11.1806001663208
Portulaca hirsutissima,-38.510799407959,-12.9710998535156
Portulaca hirsutissima,-40.9211006164551,-3.85443997383118
Portulaca hirsutissima,-40.9211006164551,-3.85443997383118
Portulaca hirsutissima,-38.53333,-13
Portulaca hirsutissima,-41.35667,-12.99917
Portulaca hirsutissima,-41.33333,-10.33333
Portulaca hirsutissima,-41.81667,-13.58333
Portulaca hirsutissima,-41.91667,-13.53333
Portulaca hirsutissima,-44.301700592041,-20.0702991485596
Portulaca hirsutissima,-36.431328,-10.407311
Portulaca hirsutissima,-37.451719,-9.749378
Portulaca hirsutissima,-37.936208,-9.262511
Portulaca hirsutissima,-36.471108,-9.3389
Portulaca hirsutissima,-36.431719,-9.223475
Portulaca hirsutissima,-36.473583,-9.321761
Portulaca hirsutissima,-36.473583,-9.321761
Portulaca hirsutissima,-36.471108,-9.3389
Portulaca hirsutissima,-41.95,-13.55
Portulaca hirsutissima,-41.82,-13.58
Portulaca hirsutissima,-41.92,-13.53
Portulaca hirsutissima,-41.2075,-11.5911
Portulaca hirsutissima,-43.6002998352051,-18.2493991851807
Portulaca hirsutissima,-41.33,-10.33
Portulaca hirsutissima,-43.666667,-18.25
Portulaca hirsutissima,-41.472222,-12.45
Portulaca hirsutissima,-41.1,-11.575833
Portulaca hirsutissima,-40.504444,-11.1525
Portulaca hirsutissima,-43.062222,-18.098889
Portulaca hirsutissima,-42.524444,-14.26
Portulaca hirsutissima,-41.830833,-13.5925
Portulaca hirsutissima,-43.694722,-19.138056
Portulaca hirsutissima,-42.503167,-14.086
Portulaca hirsutissima,-42.883056,-16.493611
Portulaca hirsutissima,-44.216667,-20.133333
Portulaca hirsutissima,-41.316667,-10.366667
Portulaca hirsutissima,-41.185556,-11.577222
Portulaca hirsutissima,-43.5575,-18.04
Portulaca hirsutissima,-43.55,-18.033333
Portulaca hirsutissima,-41.933611,-13.501389
Portulaca hirsutissima,-41.033333,-11.633333
Portulaca hirsutissima,-42.522222,-14.256111
Portulaca hirsutissima,-40.461389,-18.764722
