SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Prescottia plantaginifolia,-39.7322006225586,-18.5932998657227
Prescottia plantaginifolia,-39.7322006225586,-18.5932998657227
Prescottia plantaginifolia,-39.7322006225586,-18.5932998657227
Prescottia plantaginifolia,-39.8588981628418,-18.716100692749
Prescottia plantaginifolia,-39.8588981628418,-18.716100692749
Prescottia plantaginifolia,-35.9500007629395,-8.61666965484619
Prescottia plantaginifolia,-45.0699996948242,-23.4300003051758
Prescottia plantaginifolia,-39.1039009094238,-13.9447002410889
Prescottia plantaginifolia,-39.5311012268066,-17.0391998291016
Prescottia plantaginifolia,-40.749698638916,-20.6350002288818
Prescottia plantaginifolia,-40.6591987609863,-20.3633003234863
Prescottia plantaginifolia,-40.6591987609863,-20.3633003234863
Prescottia plantaginifolia,-40.6591987609863,-20.3633003234863
Prescottia plantaginifolia,-42.3664016723633,-21.1305999755859
Prescottia plantaginifolia,-43.3067016601562,-18.465799331665
Prescottia plantaginifolia,-43.3067016601562,-18.465799331665
Prescottia plantaginifolia,-45.4099998474121,-23.6200008392334
Prescottia plantaginifolia,-42.5208015441895,-20.6667003631592
Prescottia plantaginifolia,-42.5208015441895,-20.6667003631592
Prescottia plantaginifolia,-44.4308013916016,-18.7563991546631
Prescottia plantaginifolia,-42.7322006225586,-19.7122001647949
Prescottia plantaginifolia,-42.7322006225586,-19.7122001647949
Prescottia plantaginifolia,-42.7322006225586,-19.7122001647949
Prescottia plantaginifolia,-40.443889,-18.776944
Prescottia plantaginifolia,-37.684398651123,-9.80500030517578
Prescottia plantaginifolia,-39.1039009094238,-13.9447002410889
Prescottia plantaginifolia,-39.0494003295898,-14.7889003753662
Prescottia plantaginifolia,-43.390833,-22.448333
Prescottia plantaginifolia,-42.2789001464844,-20.7255992889404
Prescottia plantaginifolia,-57.5880555,-19.2041667
Prescottia plantaginifolia,-52.9030556,-18.3597222
Prescottia plantaginifolia,-37.684398651123,-9.80500030517578
Prescottia plantaginifolia,-40.276111,-20.33
Prescottia plantaginifolia,-40.420556,-20.594167
Prescottia plantaginifolia,-41.4775,-20.375833
Prescottia plantaginifolia,-40.593611,-19.971667
Prescottia plantaginifolia,-39.5233001708984,-12.771900177002
Prescottia plantaginifolia,-41.5331001281738,-20.763599395752
Prescottia plantaginifolia,-41.1128005981445,-20.8488998413086
Prescottia plantaginifolia,-41.1128005981445,-20.8488998413086
Prescottia plantaginifolia,-41.3950004577637,-20.789400100708
Prescottia plantaginifolia,-41.3664016723633,-21.0641994476318
Prescottia plantaginifolia,-41.4131011962891,-20.4641990661621
Prescottia plantaginifolia,-40.4006004333496,-18.710599899292
Prescottia plantaginifolia,-40.4006004333496,-18.710599899292
Prescottia plantaginifolia,-40.4006004333496,-18.710599899292
Prescottia plantaginifolia,-40.4006004333496,-18.710599899292
