SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Pseudobombax grandiflorum,-49.2731018066406,-25.4277992248535
Pseudobombax grandiflorum,-48.5092010498047,-25.5200004577637
Pseudobombax grandiflorum majus,-42.876638,-20.756822
Pseudobombax grandiflorum majus,-46.633333,-23.55
Pseudobombax grandiflorum,-51.0069007873535,-29.6380996704102
Pseudobombax grandiflorum,-40.2733001708984,-19.8202991485596
Pseudobombax grandiflorum,-40.0722007751465,-19.3910999298096
Pseudobombax grandiflorum,-40.2132987976074,-18.3703002929688
Pseudobombax grandiflorum,-40.2132987976074,-18.3703002929688
Pseudobombax grandiflorum,-49.4244003295898,-28.5977993011475
Pseudobombax grandiflorum,-47.875303,-22.968303
Pseudobombax grandiflorum,-46.866667,-22.916667
Pseudobombax grandiflorum,-41.149722,-20.374444
Pseudobombax grandiflorum,-41.149844,-20.374383
Pseudobombax grandiflorum,-46.25,-21.416667
Pseudobombax grandiflorum,-41.202239,-19.459414
Pseudobombax grandiflorum,-47.720969,-23.383744
Pseudobombax grandiflorum,-46.916667,-22.816667
Pseudobombax grandiflorum,-47.875303,-22.968303
Pseudobombax grandiflorum,-40.102322,-19.267986
Pseudobombax grandiflorum,-44.647222,-23.044167
Pseudobombax grandiflorum,-46.25,-21.416667
Pseudobombax grandiflorum,-42.4749984741211,-14.0693998336792
Pseudobombax grandiflorum,-40.0722007751465,-19.3910999298096
Pseudobombax grandiflorum,-40.0722007751465,-19.3910999298096
Pseudobombax grandiflorum,-40.0722007751465,-19.3910999298096
Pseudobombax grandiflorum,-46.3278007507324,-22.3169002532959
Pseudobombax grandiflorum,-48.5092010498047,-25.5200004577637
Pseudobombax grandiflorum,-46.7099990844727,-21.9300003051758
Pseudobombax grandiflorum,-46.5499992370605,-23.1100006103516
Pseudobombax grandiflorum,-47.060001373291,-22.8999996185303
Pseudobombax grandiflorum,-47.060001373291,-22.8999996185303
Pseudobombax grandiflorum,-47.060001373291,-22.8999996185303
Pseudobombax grandiflorum,-47.060001373291,-22.8999996185303
Pseudobombax grandiflorum,-47.7700004577637,-22.5100002288818
Pseudobombax grandiflorum,-46.5299987792969,-23.4599990844727
Pseudobombax grandiflorum,-47.8800010681152,-24.7099990844727
Pseudobombax grandiflorum,-49.3800010681152,-20.0300006866455
Pseudobombax grandiflorum,-46.9000015258789,-22.7399997711182
Pseudobombax grandiflorum,-47.6399993896484,-22.7199993133545
Pseudobombax grandiflorum,-46.6300010681152,-23.5400009155273
Pseudobombax grandiflorum,-43.614167,-23.0475
Pseudobombax grandiflorum,-43.529167,-23.0475
Pseudobombax grandiflorum,-43.625,-23.047778
Pseudobombax grandiflorum,-43.336944,-22.888333
Pseudobombax grandiflorum,-43.336944,-22.888333
Pseudobombax grandiflorum,-43.336944,-22.888333
Pseudobombax grandiflorum,-43.503611,-23.038056
Pseudobombax grandiflorum,-44.040599822998,-22.9596996307373
Pseudobombax grandiflorum,-44.040599822998,-22.9596996307373
Pseudobombax grandiflorum,-43.2075004577637,-22.9027996063232
Pseudobombax grandiflorum majus,-43.7075004577637,-22.7439002990723
Pseudobombax grandiflorum,-43.7075004577637,-22.7439002990723
Pseudobombax grandiflorum majus,-43.7075004577637,-22.7439002990723
Pseudobombax grandiflorum,-43.7075004577637,-22.7439002990723
Pseudobombax grandiflorum,-49.179722,-27.116111
Pseudobombax grandiflorum,-38.9967002868652,-14.2775001525879
Pseudobombax grandiflorum,-56.5210990905762,-22.1089000701904
Pseudobombax grandiflorum,-42.9674987792969,-21.4596996307373
Pseudobombax grandiflorum,-48.7118988037109,-25.4286003112793
Pseudobombax grandiflorum,-48.7118988037109,-25.4286003112793
Pseudobombax grandiflorum,-48.7118988037109,-25.4286003112793
Pseudobombax grandiflorum,-48.7118988037109,-25.4286003112793
Pseudobombax grandiflorum,-48.7118988037109,-25.4286003112793
Pseudobombax grandiflorum,-48.7118988037109,-25.4286003112793
Pseudobombax grandiflorum,-48.7118988037109,-25.4286003112793
Pseudobombax grandiflorum,-49.1150016784668,-25.2061004638672
Pseudobombax grandiflorum,-49.261100769043,-24.823600769043
Pseudobombax grandiflorum,-48.3288993835449,-25.3066997528076
Pseudobombax grandiflorum,-51.0480995178223,-23.2691993713379
Pseudobombax grandiflorum,-50.247501373291,-23.4367008209229
Pseudobombax grandiflorum,-50.247501373291,-23.4367008209229
Pseudobombax grandiflorum,-51.1627998352051,-23.3103008270264
Pseudobombax grandiflorum,-48.834400177002,-25.476900100708
Pseudobombax grandiflorum,-48.834400177002,-25.476900100708
Pseudobombax grandiflorum,-48.834400177002,-25.476900100708
Pseudobombax grandiflorum,-48.834400177002,-25.476900100708
Pseudobombax grandiflorum,-48.5092010498047,-25.5200004577637
Pseudobombax grandiflorum,-49.4636001586914,-24.1128005981445
Pseudobombax grandiflorum,-42.8185997009277,-22.9193992614746
Pseudobombax grandiflorum,-43.2075004577637,-22.9027996063232
Pseudobombax grandiflorum,-42.3917007446289,-22.6508007049561
Pseudobombax grandiflorum var. major,-49.2731018066406,-25.4277992248535
Pseudobombax grandiflorum var. major,-51.1627998352051,-23.3103008270264
Pseudobombax grandiflorum var. major,-48.5092010498047,-25.5200004577637
Pseudobombax grandiflorum var. major,-48.5092010498047,-25.5200004577637
Pseudobombax grandiflorum var. major,-48.5092010498047,-25.5200004577637
Pseudobombax grandiflorum,-48.834400177002,-25.476900100708
Pseudobombax grandiflorum var. major,-48.7118988037109,-25.4286003112793
Pseudobombax grandiflorum,-47.416667,-21.816667
Pseudobombax grandiflorum,-46.8800010681152,-23.1800003051758
Pseudobombax grandiflorum,-45.0699996948242,-23.4300003051758
Pseudobombax grandiflorum,-45.0699996948242,-23.4300003051758
Pseudobombax grandiflorum,-43.937801361084,-19.9207992553711
Pseudobombax grandiflorum,-43.937801361084,-19.9207992553711
Pseudobombax grandiflorum,-43.1035995483398,-22.88330078125
Pseudobombax grandiflorum,-43.2075004577637,-22.9027996063232
Pseudobombax grandiflorum,-43.1035995483398,-22.88330078125
Pseudobombax grandiflorum,-43.2075004577637,-22.9027996063232
Pseudobombax grandiflorum,-43.2075004577637,-22.9027996063232
Pseudobombax grandiflorum,-43.2075004577637,-22.9027996063232
Pseudobombax grandiflorum,-43.2075004577637,-22.9027996063232
Pseudobombax grandiflorum,-47.34,-12.06
Pseudobombax grandiflorum,-49.179722,-27.116111
Pseudobombax grandiflorum,-48.6380996704102,-26.2432994842529
Pseudobombax grandiflorum,-48.6380996704102,-26.2432994842529
Pseudobombax grandiflorum,-46.668492,-22.694886
Pseudobombax grandiflorum,-47.086761,-22.863721
Pseudobombax grandiflorum,-47.876944,-24.608333
Pseudobombax grandiflorum,-46.1447,-22.7553
Pseudobombax grandiflorum,-46.1447,-22.7553
Pseudobombax grandiflorum,-47.086761,-22.863721
Pseudobombax grandiflorum,-47.086761,-22.863721
Pseudobombax grandiflorum,-47.086761,-22.863721
Pseudobombax grandiflorum,-47.086761,-22.863721
Pseudobombax grandiflorum,-45.0711,-23.4339
Pseudobombax grandiflorum,-46.668492,-22.694886
Pseudobombax grandiflorum,-41.033333,-20.066667
Pseudobombax grandiflorum,-43.8064002990723,-20.9535999298096
Pseudobombax grandiflorum,-51.1627998352051,-23.3103008270264
Pseudobombax grandiflorum,-51.9385986328125,-23.4253005981445
Pseudobombax grandiflorum,-47.316667,-15.483333
Pseudobombax grandiflorum,-50.0604,-17.4021
Pseudobombax grandiflorum,-43.919971,-4.860004
Pseudobombax grandiflorum,-43.919971,-4.860004
Pseudobombax grandiflorum,-47.9296989440918,-15.7797002792358
Pseudobombax grandiflorum,-46.883333,-22.916667
Pseudobombax grandiflorum,-51.204564,-23.32605
Pseudobombax grandiflorum majus,-50.6467018127441,-23.1811008453369
Pseudobombax grandiflorum majus,-51.0480995178223,-23.2691993713379
Pseudobombax grandiflorum majus,-51.0480995178223,-23.2691993713379
Pseudobombax grandiflorum,-51.1627998352051,-23.3103008270264
Pseudobombax grandiflorum majus,-51.1627998352051,-23.3103008270264
Pseudobombax grandiflorum majus,-51.1627998352051,-23.3103008270264
Pseudobombax grandiflorum majus,-50.5802993774414,-23.9108009338379
Pseudobombax grandiflorum majus,-50.5802993774414,-23.9108009338379
Pseudobombax grandiflorum,-46.7575,-23.461667
Pseudobombax grandiflorum,-46.757222,-23.460278
Pseudobombax grandiflorum,-46.757222,-23.460278
Pseudobombax grandiflorum,-48.144167,-23.846389
Pseudobombax grandiflorum,-46.6300010681152,-23.5400009155273
Pseudobombax grandiflorum,-46.6300010681152,-23.5400009155273
Pseudobombax grandiflorum,-46.6300010681152,-23.5400009155273
Pseudobombax grandiflorum,-46.3899993896484,-23.9599990844727
Pseudobombax grandiflorum,-42.9964,-22.6806
Pseudobombax grandiflorum,-41.83,-19.67
Pseudobombax grandiflorum,-39.07,-15.17
Pseudobombax grandiflorum,-48.9172,-27.0983
Pseudobombax grandiflorum,-46.621883,-23.654505
Pseudobombax grandiflorum,-46.621883,-23.654505
Pseudobombax grandiflorum,-39.07,-15.17
Pseudobombax grandiflorum,-39.07,-14.37
Pseudobombax grandiflorum,-43.3469,-23.0036
Pseudobombax grandiflorum,-48.8547,-26.0269
Pseudobombax grandiflorum,-48.6617,-26.9081
Pseudobombax grandiflorum,-39.1815805,-16.3721094
Pseudobombax grandiflorum,-40.0719,-19.3911
Pseudobombax grandiflorum,-46.621883,-23.654505
Pseudobombax grandiflorum,-39.0753,-15.2933
Pseudobombax grandiflorum,-39.0731,-13.3706
Pseudobombax grandiflorum,-42.0183,-22.8794
Pseudobombax grandiflorum,-43.212076,-22.951842
Pseudobombax grandiflorum,-43.2075,-22.9031
Pseudobombax grandiflorum,-48.9172,-27.0983
Pseudobombax grandiflorum majus,-42.868031,-20.7613428
Pseudobombax grandiflorum majus,-42.860644,-20.766686
Pseudobombax grandiflorum majus,-42.6531,-22.4625
Pseudobombax grandiflorum,-39.0647010803223,-16.4496994018555
Pseudobombax grandiflorum,-40.0722007751465,-19.3910999298096
Pseudobombax grandiflorum,-42.5102996826172,-22.9200000762939
Pseudobombax grandiflorum,-42.5102996826172,-22.9200000762939
Pseudobombax grandiflorum,-42.5102996826172,-22.9200000762939
Pseudobombax grandiflorum,-42.5102996826172,-22.9200000762939
Pseudobombax grandiflorum,-39.08,-12.53
Pseudobombax grandiflorum,-48.492222,-22.881111
Pseudobombax grandiflorum,-42.907778,-22.584444
Pseudobombax grandiflorum,-42.8375,-22.541667
Pseudobombax grandiflorum,-43.1664009094238,-21.9500007629395
Pseudobombax grandiflorum,-43.2075004577637,-22.9027996063232
Pseudobombax grandiflorum,-42.5,-23
Pseudobombax grandiflorum,-46.717222,-23.566667
Pseudobombax grandiflorum,-46.717222,-23.566667
Pseudobombax grandiflorum,-46.717222,-23.566667
Pseudobombax grandiflorum,-46.717722,-23.566722
Pseudobombax grandiflorum,-40.0722007751465,-19.3910999298096
Pseudobombax grandiflorum,-42.8819007873535,-20.7539005279541
Pseudobombax grandiflorum,-42.8819007873535,-20.7539005279541
Pseudobombax grandiflorum,-42.8819007873535,-20.7539005279541
Pseudobombax grandiflorum,-42.8819007873535,-20.7539005279541
Pseudobombax grandiflorum,-43.2075004577637,-22.9027996063232
Pseudobombax grandiflorum,-45.8800010681152,-23.1700000762939
Pseudobombax grandiflorum,-56.5905555,-21.1419444
Pseudobombax grandiflorum,-48.5092010498047,-25.5200004577637
Pseudobombax grandiflorum,-40.312222,-20.149444
Pseudobombax grandiflorum,-40.312222,-20.149444
Pseudobombax grandiflorum,-40.421944,-20.597222
Pseudobombax grandiflorum,-39.739167,-19.479167
Pseudobombax grandiflorum,-39.886389,-19.667778
Pseudobombax grandiflorum,-40.6455993652344,-20.8057994842529
Pseudobombax grandiflorum,-40.6455993652344,-20.8057994842529
Pseudobombax grandiflorum,-40.2733001708984,-19.8202991485596
Pseudobombax grandiflorum,-41.1128005981445,-20.8488998413086
Pseudobombax grandiflorum majus,-40.6591987609863,-20.3633003234863
Pseudobombax grandiflorum,-40.6591987609863,-20.3633003234863
Pseudobombax grandiflorum,-40.6591987609863,-20.3633003234863
Pseudobombax grandiflorum,-41.6794013977051,-20.7756004333496
Pseudobombax grandiflorum,-41.6794013977051,-20.7756004333496
Pseudobombax grandiflorum,-40.5110015869141,-20.6580009460449
Pseudobombax grandiflorum,-40.5110015869141,-20.6580009460449
Pseudobombax grandiflorum,-40.5110015869141,-20.6580009460449
Pseudobombax grandiflorum,-40.5110015869141,-20.6580009460449
Pseudobombax grandiflorum,-40.5110015869141,-20.6580009460449
Pseudobombax grandiflorum,-40.5110015869141,-20.6580009460449
Pseudobombax grandiflorum,-40.5110015869141,-20.6580009460449
Pseudobombax grandiflorum,-40.5110015869141,-20.6580009460449
Pseudobombax grandiflorum,-40.5110015869141,-20.6580009460449
Pseudobombax grandiflorum,-40.5110015869141,-20.6580009460449
Pseudobombax grandiflorum,-40.0722007751465,-19.3910999298096
Pseudobombax grandiflorum,-40.0722007751465,-19.3910999298096
Pseudobombax grandiflorum,-40.0722007751465,-19.3910999298096
Pseudobombax grandiflorum,-41.3664016723633,-21.0641994476318
Pseudobombax grandiflorum majus,-41.3664016723633,-21.0641994476318
Pseudobombax grandiflorum,-41.0466995239258,-21.0988998413086
Pseudobombax grandiflorum,-40.3078002929688,-20.1285991668701
Pseudobombax grandiflorum,-40.4961013793945,-20.3903007507324
Pseudobombax grandiflorum,-40.2924995422363,-20.3297004699707
Pseudobombax grandiflorum,-40.2924995422363,-20.3297004699707
Pseudobombax grandiflorum,-40.2924995422363,-20.3297004699707
Pseudobombax grandiflorum,-40.2924995422363,-20.3297004699707
Pseudobombax grandiflorum,-40.2924995422363,-20.3297004699707
Pseudobombax grandiflorum,-40.2924995422363,-20.3297004699707
Pseudobombax grandiflorum,-40.2924995422363,-20.3297004699707
Pseudobombax grandiflorum,-40.3377990722656,-20.3194007873535
Pseudobombax grandiflorum,-43.2075004577637,-22.9027996063232
Pseudobombax grandiflorum,-40.533333,-19.866667
Pseudobombax grandiflorum,-42.5311012268066,-22.2819004058838
Pseudobombax grandiflorum,-43.2075004577637,-22.9027996063232
Pseudobombax grandiflorum,-43.2075004577637,-22.9027996063232
Pseudobombax grandiflorum,-44.3946990966797,-22.1674995422363
Pseudobombax grandiflorum,-47.5416984558105,-19.9372005462646
Pseudobombax grandiflorum,-44.1960983276367,-21.468599319458
Pseudobombax grandiflorum,-46.5200004577637,-22.5900001525879
Pseudobombax grandiflorum,-46.6096992492676,-20.718900680542
Pseudobombax grandiflorum,-49.939998626709,-22.2099990844727
Pseudobombax grandiflorum,-39.133333,-13.716667
Pseudobombax grandiflorum,-37.003333,-9.970833
Pseudobombax grandiflorum,-36.2407989501953,-9.3713903427124
Pseudobombax grandiflorum,-39.0647010803223,-16.4496994018555
Pseudobombax grandiflorum,-40.0722007751465,-19.3910999298096
Pseudobombax grandiflorum,-40.0722007751465,-19.3910999298096
Pseudobombax grandiflorum,-40.0722007751465,-19.3910999298096
Pseudobombax grandiflorum,-40.0722007751465,-19.3910999298096
Pseudobombax grandiflorum,-48.42,-22.75
