SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Pseudobombax longiflorum,-59.459400177002,-10.1667003631592
Pseudobombax longiflorum,-50.583333,-10.666667
Pseudobombax longiflorum,-42.6994018554688,-9.01527976989746
Pseudobombax longiflorum,-52.3003005981445,-27.3941993713379
Pseudobombax longiflorum,-48.191389,-20.526111
Pseudobombax longiflorum,-58.292056,-16.36875
Pseudobombax longiflorum,-48,-15.866667
Pseudobombax longiflorum,-47.9296989440918,-15.7797002792358
Pseudobombax longiflorum,-47.9296989440918,-15.7797002792358
Pseudobombax longiflorum,-47.9296989440918,-15.7797002792358
Pseudobombax longiflorum,-48.2200012207031,-13.5331001281738
Pseudobombax longiflorum,-48.4597015380859,-14.4738998413086
Pseudobombax longiflorum,-56.0966987609863,-15.5960998535156
Pseudobombax longiflorum,-56.0966987609863,-15.5960998535156
Pseudobombax longiflorum,-56.4460983276367,-14.4085998535156
Pseudobombax longiflorum,-57.6533012390137,-19.0091991424561
Pseudobombax longiflorum,-44.6425018310547,-21.4874992370605
Pseudobombax longiflorum,-44.6425018310547,-21.4874992370605
Pseudobombax longiflorum,-51.9949989318848,-6.64472007751465
Pseudobombax longiflorum,-49.4636001586914,-24.1128005981445
Pseudobombax longiflorum,-48.9799995422363,-22.4599990844727
Pseudobombax longiflorum,-47.060001373291,-22.8999996185303
Pseudobombax longiflorum,-47.8199996948242,-22.25
Pseudobombax longiflorum,-47.8199996948242,-22.25
Pseudobombax longiflorum,-47.2900009155273,-23.2600002288818
Pseudobombax longiflorum,-47.2900009155273,-22.7700004577637
Pseudobombax longiflorum,-47.4700012207031,-20.25
Pseudobombax longiflorum,-50.706944,-24.100556
Pseudobombax longiflorum,-50.706944,-24.100556
Pseudobombax longiflorum,-55.390833,-11.015278
Pseudobombax longiflorum,-55.791111,-10.890833
Pseudobombax longiflorum,-54.720028,-20.443944
Pseudobombax longiflorum,-44.9900016784668,-12.1527996063232
Pseudobombax longiflorum,-51.8102989196777,-16.9566993713379
Pseudobombax longiflorum,-56.4460983276367,-14.4085998535156
Pseudobombax longiflorum,-56.489200592041,-15.2356004714966
Pseudobombax longiflorum,-56.489200592041,-15.2356004714966
Pseudobombax longiflorum,-54.6356010437012,-16.4708003997803
Pseudobombax longiflorum,-50.6693992614746,-11.6171998977661
Pseudobombax longiflorum,-55.9474983215332,-22.1910991668701
Pseudobombax longiflorum,-54.7599983215332,-18.5067005157471
Pseudobombax longiflorum,-43.6744003295898,-15.3382997512817
Pseudobombax longiflorum,-43.6744003295898,-15.3382997512817
Pseudobombax longiflorum,-47.85,-15.866667
Pseudobombax longiflorum,-47.85,-15.866667
Pseudobombax longiflorum,-47.85,-15.866667
Pseudobombax longiflorum,-47.85,-15.866667
Pseudobombax longiflorum,-47.85,-15.866667
Pseudobombax longiflorum,-47.85,-15.866667
Pseudobombax longiflorum,-47.5625,-15.4375
Pseudobombax longiflorum,-47.5625,-15.4375
Pseudobombax longiflorum,-47.5625,-15.4375
Pseudobombax longiflorum,-47.5625,-15.4375
Pseudobombax longiflorum,-48.088056,-10.304722
Pseudobombax longiflorum,-47.85,-15.866667
Pseudobombax longiflorum,-50.9958000183105,-14.3971996307373
Pseudobombax longiflorum,-46.874698638916,-17.2222003936768
Pseudobombax longiflorum,-46.874698638916,-17.2222003936768
Pseudobombax cf. longiflorum,-43.937801361084,-19.9207992553711
Pseudobombax longiflorum,-44.6349983215332,-20.5414009094238
Pseudobombax Cf. longiflorum,-45.623333,-18.560556
Pseudobombax longiflorum,-48.178055,-13.311666
Pseudobombax tomentosum x longiflorum,-48.05,-15.86667
Pseudobombax longiflorum,-47.56306,-12.80056
Pseudobombax longiflorum,-46.8,-11.52
Pseudobombax longiflorum,-48.96667,-14.61667
Pseudobombax longiflorum,-48.23361,-12.78611
Pseudobombax longiflorum,-47.61083,-12.92306
Pseudobombax longiflorum,-48.314722,-13.049166
Pseudobombax longiflorum,-47.565,-15.756944
Pseudobombax longiflorum,-47.381111,-6.7472222
Pseudobombax longiflorum,-48.123611,-15.950555
Pseudobombax longiflorum,-47.9296989440918,-15.7797002792358
Pseudobombax longiflorum,-47.9296989440918,-15.7797002792358
Pseudobombax longiflorum,-47.9296989440918,-15.7797002792358
Pseudobombax longiflorum,-48.4597015380859,-14.4738998413086
Pseudobombax longiflorum,-47.065751,-22.9056
