SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Pseudobombax petropolitanum,-40.6305999755859,-19.539400100708
Pseudobombax petropolitanum,-42.0293998718262,-20.7331008911133
Pseudobombax petropolitanum,-40.200343,-18.886159
Pseudobombax petropolitanum,-40.200583,-18.886667
Pseudobombax petropolitanum,-40.076099395752,-18.9055995941162
Pseudobombax petropolitanum,-41.0638999938965,-19.4958000183105
Pseudobombax petropolitanum,-43.61525,-19.306472
Pseudobombax petropolitanum,-41.191667,-17.9125
Pseudobombax petropolitanum,-40.466667,-18.8
Pseudobombax petropolitanum,-40.665556,-18.977778
Pseudobombax petropolitanum,-40.665556,-18.977778
Pseudobombax petropolitanum,-40.200556,-18.886667
Pseudobombax petropolitanum,-40.200278,-18.886111
Pseudobombax petropolitanum,-41.0638999938965,-19.4958000183105
Pseudobombax petropolitanum,-41.184700012207,-20.6035995483398
Pseudobombax petropolitanum,-43.965,-19.568611
Pseudobombax petropolitanum,-40.04325,-16.260333
Pseudobombax petropolitanum,-42.0293998718262,-20.7331008911133
Pseudobombax petropolitanum,-41.461944,-21.796111
Pseudobombax petropolitanum,-41.455,-21.7925
Pseudobombax petropolitanum,-41.448056,-21.797222
Pseudobombax petropolitanum,-41.354167,-20.901389
Pseudobombax petropolitanum,-41.3244018554688,-21.7541999816895
Pseudobombax petropolitanum,-40.417,-19.4952
Pseudobombax aff. petropolitanum,-41.079722,-20.076667
Pseudobombax aff. petropolitanum,-40.824722,-19.888889
Pseudobombax aff. petropolitanum,-40.681389,-19.805556
Pseudobombax aff. petropolitanum,-40.553056,-19.9075
Pseudobombax aff. petropolitanum,-40.601944,-19.906111
Pseudobombax aff. petropolitanum,-40.739722,-19.826944
Pseudobombax aff. petropolitanum,-40.530278,-19.971389
Pseudobombax aff. petropolitanum,-41.179722,-18.493056
Pseudobombax petropolitanum,-40.665556,-18.977778
Pseudobombax petropolitanum,-40.665556,-18.977778
Pseudobombax petropolitanum,-40.802778,-18.945833
Pseudobombax petropolitanum,-41.122333,-18.423833
Pseudobombax petropolitanum,-40.748611,-18.292778
Pseudobombax petropolitanum,-41.432778,-18.7825
Pseudobombax aff. petropolitanum,-41.3664016723633,-21.0641994476318
