SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Pseudolaelia vellozicola,-40.7402992248535,-18.9831008911133
Pseudolaelia vellozicola,-40.7402992248535,-18.9831008911133
Pseudolaelia vellozicola,-41.153889,-18.013889
Pseudolaelia vellozicola,-49.691111,-26.440833
Pseudolaelia vellozicola,-40.5110015869141,-20.6580009460449
Pseudolaelia vellozicola,-41.0158,-19.5189
Pseudolaelia vellozicola,-41.0158,-19.5189
Pseudolaelia vellozicola,-43.6556,-18.44535
Pseudolaelia vellozicola,-40.5110015869141,-20.6580009460449
Pseudolaelia vellozicola,-40.2924995422363,-20.3297004699707
Pseudolaelia vellozicola,-40.2924995422363,-20.3297004699707
Pseudolaelia vellozicola,-40.3377990722656,-20.3194007873535
Pseudolaelia vellozicola,-40.3377990722656,-20.3194007873535
Pseudolaelia vellozicola,-40.3377990722656,-20.3194007873535
Pseudolaelia vellozicola,-41.153889,-18.013889
Pseudolaelia vellozicola,-41.4575,-21.788611
Pseudolaelia vellozicola,-40.2075004577637,-14.3625001907349
Pseudolaelia vellozicola,-42.8664016723633,-15.3971996307373
Pseudolaelia vellozicola,-40.4308013916016,-13.4411001205444
Pseudolaelia vellozicola,-40.366667,-17.656944
Pseudolaelia vellozicola,-42.735833,-15.615472
Pseudolaelia vellozicola,-43.322111,-18.165111
Pseudolaelia vellozicola,-42.537222,-14.358889
Pseudolaelia vellozicola,-42.816111,-15.231389
Pseudolaelia vellozicola,-41.260944,-17.855972
Pseudolaelia vellozicola,-42.771667,-15.803056
Pseudolaelia vellozicola,-42.703056,-15.957778
Pseudolaelia vellozicola,-43.3908004760742,-18.0041999816895
Pseudolaelia vellozicola,-41.448056,-21.797222
Pseudolaelia vellozicola,-41.448056,-21.797222
Pseudolaelia vellozicola,-41.448056,-21.797222
Pseudolaelia vellozicola,-41.448056,-21.797222
Pseudolaelia vellozicola,-41.448056,-21.797222
Pseudolaelia vellozicola,-41.448056,-21.797222
Pseudolaelia vellozicola,-41.142222,-18.03
Pseudolaelia vellozicola,-42.4333000183105,-14.8496999740601
Pseudolaelia vellozicola,-40.5110015869141,-20.6580009460449
Pseudolaelia vellozicola,-43.6002998352051,-18.2493991851807
Pseudolaelia vellozicola,-42.558056,-14.697778
Pseudolaelia vellozicola,-42.575556,-14.758056
Pseudolaelia vellozicola,-42.571667,-14.782222
Pseudolaelia vellozicola,-42.466667,-14.066667
Pseudolaelia vellozicola,-42.537222,-14.213889
Pseudolaelia vellozicola,-40.294722,-20.302222
Pseudolaelia vellozicola,-40.327778,-20.426944
Pseudolaelia vellozicola,-40.282778,-20.275833
Pseudolaelia vellozicola,-41.100556,-20.519167
Pseudolaelia vellozicola,-40.648,-19.022833
Pseudolaelia vellozicola,-40.665556,-18.977778
Pseudolaelia vellozicola,-40.664444,-18.973889
Pseudolaelia vellozicola,-40.802778,-18.945833
Pseudolaelia vellozicola,-40.995,-18.5725
Pseudolaelia vellozicola,-40.995,-18.5725
Pseudolaelia vellozicola,-40.609444,-20.111389
Pseudolaelia vellozicola,-40.993097,-18.575017
Pseudolaelia vellozicola,-40.652583,-18.968778
Pseudolaelia vellozicola,-40.624778,-20.134944
Pseudolaelia vellozicola,-41.674722,-17.412222
Pseudolaelia vellozicola,-41.672222,-17.173611
Pseudolaelia vellozicola,-40.995833,-17.8625
Pseudolaelia vellozicola,-41.674722,-17.412222
Pseudolaelia vellozicola,-40.327778,-20.426944
Pseudolaelia vellozicola,-40.294167,-20.302222
Pseudolaelia vellozicola,-40.993333,-18.574444
Pseudolaelia vellozicola,-40.5110015869141,-20.6580009460449
Pseudolaelia vellozicola,-40.5110015869141,-20.6580009460449
Pseudolaelia vellozicola,-42.558056,-14.697778
