SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Pteridium arachnoideum,-55.439122,-11.0916
Pteridium arachnoideum,-49.1988983154297,-25.9281005859375
Pteridium arachnoideum,-58.166667,5.333333
Pteridium arachnoideum,-50.365278,-29.730833
Pteridium arachnoideum,-50.241056,-29.706944
Pteridium arachnoideum,-50.433333,-29.55
Pteridium arachnoideum,-97.01,19.524444
Pteridium arachnoideum,-50.018056,-29.678889
Pteridium arachnoideum,-50.810139,-29.32125
Pteridium arachnoideum,-46.72122222,-1.36291667
Pteridium arachnoideum,-48.27561111,-0.92458333
Pteridium arachnoideum,-47.11975,-1.02083333
Pteridium arachnoideum,-50.40866667,-1.59597222
Pteridium arachnoideum,-48.6,-1.38333333
Pteridium arachnoideum,-48.21977778,-0.90311111
Pteridium arachnoideum,-47.98041667,-1.28255556
Pteridium arachnoideum,-48.25263889,-0.93475
Pteridium arachnoideum,-47.71352778,-1.31769444
Pteridium arachnoideum,-50.46747222,-1.66627778
Pteridium arachnoideum,-46.86127778,-1.19872222
Pteridium arachnoideum,-46.94427778,-1.12566667
Pteridium arachnoideum,-53.24211111,-0.93152778
Pteridium arachnoideum,-48.27263889,-0.92894444
Pteridium arachnoideum,-47.581901550293,-0.595000028610229
Pteridium arachnoideum,-63.9039001464844,-8.76194000244141
Pteridium arachnoideum,-46.79244444,-1.03222222
Pteridium arachnoideum,-46.63816667,-1.00919444
Pteridium arachnoideum,-47.32583333,-0.95977778
Pteridium arachnoideum,-48.21294444,-0.90072222
Pteridium arachnoideum,-47.56555556,-1.3725
Pteridium arachnoideum,-46.94365278,-1.11666667
Pteridium arachnoideum,-48.25108333,-0.958
Pteridium arachnoideum,-46.84602778,-1.40969444
Pteridium arachnoideum,-54.07527778,-1.86488889
Pteridium arachnoideum,-38.30019444,-6.25666667
Pteridium arachnoideum,-47.53386111,-1.58983333
Pteridium arachnoideum,-50.47438889,-1.63655556
Pteridium arachnoideum,-57.25263889,-1.68972222
Pteridium arachnoideum,-48.5043983459473,-1.4558299779892
Pteridium arachnoideum,-48.5043983459473,-1.4558299779892
Pteridium arachnoideum,-47.8480987548828,-0.728888988494873
Pteridium arachnoideum,-39.7322006225586,-18.5932998657227
Pteridium arachnoideum,-39.7322006225586,-18.5932998657227
Pteridium arachnoideum,-39.7322006225586,-18.5932998657227
Pteridium arachnoideum,-39.7322006225586,-18.5932998657227
Pteridium arachnoideum,-49.884028,-27.902194
Pteridium arachnoideum,-46.95,-23.25
Pteridium arachnoideum,-44.0527992248535,-20.3330993652344
Pteridium arachnoideum,-36.412178,-9.201716
Pteridium arachnoideum,-35.976111,-8.283333
Pteridium arachnoideum,-35.5,-7.583333
Pteridium arachnoideum,-35.715556,-8.503889
Pteridium arachnoideum,-35.722861,-8.539111
Pteridium arachnoideum,-35.002778,-7.838889
Pteridium arachnoideum,-35.721722,-7.508472
Pteridium arachnoideum,-36.0318984985352,-9.16277980804443
Pteridium arachnoideum,-35.7285995483398,-8.47027969360352
Pteridium arachnoideum,-35.7285995483398,-8.47027969360352
Pteridium arachnoideum,-36.3711013793945,-8.14583015441895
Pteridium arachnoideum,-36.3711013793945,-8.14583015441895
Pteridium arachnoideum,-43.7752990722656,-22.8521995544434
Pteridium arachnoideum,-55.420278,-10.95
Pteridium arachnoideum,-42.3,-22.14
Pteridium arachnoideum,-50.895,-26.775
Pteridium arachnoideum,-46.638167,-1.009194
Pteridium arachnoideum,-46.723333,-1.362917
Pteridium arachnoideum,-47.565556,-1.3725
Pteridium arachnoideum,-50.474389,-1.636556
Pteridium arachnoideum,-46.944278,-1.125667
Pteridium arachnoideum,-46.943653,-1.116667
Pteridium arachnoideum,-46.861278,-1.198722
Pteridium arachnoideum,-47.980417,-1.282556
Pteridium arachnoideum,-57.252639,-1.689722
Pteridium arachnoideum,-46.792444,-1.032222
Pteridium arachnoideum,-55.783611,-10.988333
Pteridium arachnoideum,-55.422222,-10.949722
Pteridium arachnoideum,-55.417222,-11.011944
Pteridium arachnoideum,-55.416944,-11.012778
Pteridium arachnoideum,-55.460556,-10.918056
Pteridium arachnoideum,-55.418889,-11.014722
Pteridium arachnoideum,-46.695889,-23.356028
Pteridium arachnoideum,-50.040028,-25.920006
Pteridium arachnoideum,-49.3142013549805,-25.1900005340576
Pteridium arachnoideum,-48.5491981506348,-27.596700668335
Pteridium arachnoideum,-47.85,-15.866667
Pteridium arachnoideum,-47.9296989440918,-15.7797002792358
Pteridium arachnoideum,-49.39374,-24.11402
Pteridium arachnoideum,-49.420453,-25.46228
Pteridium arachnoideum,-48.693,-24.539
Pteridium arachnoideum,-50,-25.233333
Pteridium arachnoideum,-48.683333,-25.25
Pteridium arachnoideum,-48.683333,-25.3
Pteridium arachnoideum,-39.603333,-14.705833
Pteridium arachnoideum,-57.583333,-19.183333
Pteridium arachnoideum,-48.833333,-25.25
Pteridium arachnoideum,-39.341667,-15.173611
Pteridium arachnoideum,-50,-25.233333
Pteridium arachnoideum,-49.234,-25.4466
Pteridium arachnoideum,-63.333,-0.863
Pteridium arachnoideum,-96.500278,-17.568333
Pteridium arachnoideum,-56.302778,-4.5475
Pteridium arachnoideum,-39.4958000183105,-15.4191999435425
Pteridium arachnoideum,-50.6156005859375,-24.3239002227783
Pteridium arachnoideum,-54.3025016784668,-22.4818992614746
Pteridium arachnoideum,-48.333333,-6.1433333
Pteridium arachnoideum,-47.958888,-15.710555
Pteridium arachnoideum,-63.9039,-8.76194
Pteridium arachnoideum,-52.164722,-31.985
Pteridium arachnoideum,-44.8643989562988,-15.9485998153687
Pteridium arachnoideum,-48.7221984863281,-26.3700008392334
Pteridium arachnoideum,-48.6380996704102,-26.2432994842529
Pteridium arachnoideum,-48.6380996704102,-26.2432994842529
Pteridium arachnoideum,-48.6380996704102,-26.2432994842529
Pteridium arachnoideum,-48.6380996704102,-26.2432994842529
Pteridium arachnoideum,-48.6380996704102,-26.2432994842529
Pteridium arachnoideum,-48.6380996704102,-26.2432994842529
Pteridium arachnoideum,-48.6380996704102,-26.2432994842529
Pteridium arachnoideum,-48.6380996704102,-26.2432994842529
Pteridium arachnoideum,-48.6380996704102,-26.2432994842529
Pteridium arachnoideum,-50.3222007751465,-26.1063995361328
Pteridium arachnoideum,-51.1472,-29.7603
Pteridium arachnoideum,-52.164797,-31.984917
Pteridium arachnoideum,-51.766667,-12.816667
Pteridium arachnoideum,-47,-14
Pteridium arachnoideum,-42.6,-19.766667
Pteridium arachnoideum,-51.866667,-12.9
Pteridium arachnoideum,-59.583333,-4.383333
Pteridium arachnoideum,-47.5995,-14.164667
Pteridium arachnoideum,-47.5995,-14.164667
Pteridium arachnoideum,-47.5995,-14.164667
Pteridium arachnoideum,-47.9375,-15.946111
Pteridium arachnoideum,-47.9375,-15.946111
Pteridium arachnoideum,-48.883333,-15.816667
Pteridium arachnoideum,-47.9,-15.930833
Pteridium arachnoideum,-47.916667,-15.95
Pteridium arachnoideum,-47.916667,-15.95
Pteridium arachnoideum,-47.933333,-15.95
Pteridium arachnoideum,-51.766667,-12.816667
Pteridium arachnoideum,-47.9375,-15.946111
Pteridium arachnoideum,-47.980278,-1.2825
Pteridium arachnoideum,-47.325833,-0.959722
Pteridium arachnoideum,-47.5995,-14.164667
Pteridium arachnoideum,-47.5995,-14.164667
Pteridium arachnoideum,-47.565556,-1.3725
Pteridium arachnoideum,-47.9375,-15.946111
Pteridium arachnoideum,-47.9375,-15.946111
Pteridium arachnoideum,-47.9375,-15.946111
Pteridium arachnoideum,-47.5995,-14.164667
Pteridium arachnoideum,-47.5,-14.116667
Pteridium arachnoideum,-46.845833,-1.409444
Pteridium arachnoideum,-47.933333,-15.95
Pteridium arachnoideum,-46.792222,-1.032222
Pteridium arachnoideum,-58.86,-11.699722
Pteridium arachnoideum,-42.6,-19.766667
Pteridium arachnoideum,-47.5995,-14.164667
Pteridium arachnoideum,-51.766667,-12.816667
Pteridium arachnoideum,-47.9296989440918,-15.7797002792358
Pteridium arachnoideum,-47.9296989440918,-15.7797002792358
Pteridium arachnoideum,-47.9296989440918,-15.7797002792358
Pteridium arachnoideum,-47.9296989440918,-15.7797002792358
Pteridium arachnoideum,-47.9296989440918,-15.7797002792358
Pteridium arachnoideum,-48.5043983459473,-1.4558299779892
Pteridium arachnoideum,-43.5080986022949,-20.2875003814697
Pteridium arachnoideum,-47.9296989440918,-15.7797002792358
Pteridium arachnoideum,-47.9296989440918,-15.7797002792358
Pteridium arachnoideum,-47.9296989440918,-15.7797002792358
Pteridium arachnoideum,-47.9296989440918,-15.7797002792358
Pteridium arachnoideum,-48.9592018127441,-15.852499961853
Pteridium arachnoideum,-38.6856002807617,-3.89083003997803
Pteridium arachnoideum,-38.9233016967773,-4.22499990463257
Pteridium arachnoideum,-51.133333,-23.85
Pteridium arachnoideum,-52.164797,-31.984917
Pteridium arachnoideum,-53.273442,-33.656414
Pteridium arachnoideum,-50.7411003112793,-23.7275009155273
Pteridium arachnoideum,-50.2327995300293,-30.2474994659424
Pteridium arachnoideum,-51.1472015380859,-29.7602996826172
Pteridium arachnoideum,-45.0699996948242,-23.4300003051758
Pteridium arachnoideum,-45.0699996948242,-23.4300003051758
Pteridium arachnoideum,-56.016667,-13.116667
Pteridium arachnoideum,-52.8946990966797,-14.5156002044678
Pteridium arachnoideum,-52.353099822998,-14.6732997894287
Pteridium arachnoideum,-52.353099822998,-14.6732997894287
Pteridium arachnoideum,-52.353099822998,-14.6732997894287
Pteridium arachnoideum,-52.353099822998,-14.6732997894287
Pteridium arachnoideum,-52.353099822998,-14.6732997894287
Pteridium arachnoideum,-52.353099822998,-14.6732997894287
Pteridium arachnoideum,-52.353099822998,-14.6732997894287
Pteridium arachnoideum,-52.353099822998,-14.6732997894287
Pteridium arachnoideum,-52.353099822998,-14.6732997894287
Pteridium arachnoideum,-52.353099822998,-14.6732997894287
Pteridium arachnoideum,-52.353099822998,-14.6732997894287
Pteridium arachnoideum,-53.0182991027832,-14.9057998657227
Pteridium arachnoideum,-48.5043983459473,-1.4558299779892
Pteridium arachnoideum,-48.5043983459473,-1.4558299779892
Pteridium arachnoideum,-48.5043983459473,-1.4558299779892
Pteridium arachnoideum,-47.581901550293,-0.595000028610229
Pteridium arachnoideum,-59.2,-11.016667
Pteridium arachnoideum,-59.466667,-10.183333
Pteridium arachnoideum,-52.487972,-14.794167
Pteridium arachnoideum,-52.598778,-14.837417
Pteridium arachnoideum,-51.943389,-14.584833
Pteridium arachnoideum,-52.386944,-14.653056
Pteridium arachnoideum,-47.980417,-1.282556
Pteridium arachnoideum,-46.638167,-1.009194
Pteridium arachnoideum,-52.286389,-14.653056
Pteridium arachnoideum,-55.2764015197754,-11.0616998672485
Pteridium arachnoideum,-52.353099822998,-14.6732997894287
Pteridium arachnoideum,-55.502498626709,-11.8641996383667
Pteridium arachnoideum,-64.395,-17.2556
Pteridium arachnoideum,-70.24681,1.19956
Pteridium arachnoideum,-63.7,-18.2
Pteridium arachnoideum,-48.80861,-15.7880556
Pteridium arachnoideum,-42.868031,-20.7613428
Pteridium arachnoideum,-47.9294,-15.7797
Pteridium arachnoideum,-47.65562,-14.1167
Pteridium arachnoideum,-47.65562,-14.1167
Pteridium arachnoideum,-47.565556,-1.3725
Pteridium arachnoideum,-47.85,-22.05
Pteridium arachnoideum,-50.474389,-1.636556
Pteridium arachnoideum,-48.5043983459473,-1.4558299779892
Pteridium arachnoideum,-35.6916999816895,-6.96332979202271
Pteridium arachnoideum,-47.49169921875,-5.52639007568359
Pteridium arachnoideum,-60.0250015258789,-3.10193991661072
Pteridium arachnoideum,-48.1417007446289,-0.858332991600037
Pteridium arachnoideum,-49.2167015075684,-1.52832996845245
Pteridium arachnoideum,-63.9039001464844,-8.76194000244141
Pteridium arachnoideum,-60.0250015258789,-3.10193991661072
Pteridium arachnoideum,-47.581901550293,-0.595000028610229
Pteridium arachnoideum arachnoideum,-35.7933006286621,-8.72667026519775
Pteridium arachnoideum arachnoideum,-43.2075004577637,-22.9027996063232
Pteridium arachnoideum,-40.350278,-20.386667
Pteridium arachnoideum,-39.7322006225586,-18.5932998657227
Pteridium arachnoideum,-39.7322006225586,-18.5932998657227
Pteridium arachnoideum campestre,-40.5110015869141,-20.6580009460449
Pteridium arachnoideum,-40.5110015869141,-20.6580009460449
