SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Rhynchospora exaltata,-59.275278,-10.304167
Rhynchospora exaltata,-49.0553016662598,-25.3055992126465
Rhynchospora exaltata,-49.0553016662598,-25.3055992126465
Rhynchospora exaltata,-48,-17
Rhynchospora exaltata,-41.333333,-10.366667
Rhynchospora exaltata,-41.3,-13.583333
Rhynchospora exaltata,-46,-14
Rhynchospora exaltata,-58.933333,1.366667
Rhynchospora exaltata,-51.766667,-12.816667
Rhynchospora exaltata,-52.233333,-14.633333
Rhynchospora exaltata,-51.866667,-12.9
Rhynchospora exaltata,-46.716667,-8.6
Rhynchospora exaltata,-44.6425018310547,-21.4874992370605
Rhynchospora exaltata,-46.5499992370605,-23.1100006103516
Rhynchospora exaltata,-51.8241996765137,-12.9416999816895
Rhynchospora exaltata,-41.3664016723633,-21.0641994476318
Rhynchospora exaltata,-39.7322006225586,-18.5932998657227
Rhynchospora exaltata,-48.592389,-23.711553
Rhynchospora exaltata,-48.590778,-23.711392
Rhynchospora exaltata,-46.775417,-23.989083
Rhynchospora exaltata,-46.775417,-23.989083
Rhynchospora exaltata,-46.733333,-23.983333
Rhynchospora exaltata,-52.65,-17.816667
Rhynchospora exaltata,-48.05,-15.866667
Rhynchospora exaltata,-41.684789,-14.000447
Rhynchospora exaltata,-42.462319,-10.239269
Rhynchospora exaltata,-48.016667,-15.916667
Rhynchospora exaltata,-57.581389,-19.1875
Rhynchospora exaltata,-46.564722,-21.838889
Rhynchospora exaltata,-46.564722,-21.838889
Rhynchospora exaltata,-46.564722,-21.838889
Rhynchospora exaltata,-48.416667,-23.45
Rhynchospora exaltata,-46.75,-13
Rhynchospora exaltata,-50.5,-10.5
Rhynchospora exaltata,-49.271667,-24.240833
Rhynchospora exaltata,-46.466667,-23.583333
Rhynchospora exaltata,-47.816667,-15.866667
Rhynchospora exaltata,-49.259722,-24.2425
Rhynchospora exaltata,-47.9296989440918,-15.7797002792358
Rhynchospora exaltata,-47.9296989440918,-15.7797002792358
Rhynchospora exaltata,-48.2793998718262,-17.2996997833252
Rhynchospora exaltata,-51.4188995361328,-20.3672008514404
Rhynchospora exaltata,-51.4188995361328,-20.3672008514404
Rhynchospora exaltata,-51.4188995361328,-20.3672008514404
Rhynchospora exaltata,-51.4188995361328,-20.3672008514404
Rhynchospora exaltata,-51.4188995361328,-20.3672008514404
Rhynchospora exaltata,-51.4188995361328,-20.3672008514404
Rhynchospora exaltata,-44.6425018310547,-21.4874992370605
Rhynchospora exaltata,-43.7449989318848,-19.513599395752
Rhynchospora exaltata,-44.999698638916,-21.2453002929688
Rhynchospora exaltata,-43.5080986022949,-20.2875003814697
