SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Sapium glandulosum,-39.219167,-8.121583
Sapium glandulosum,-39.200139,-8.110667
Sapium glandulosum,-37.728111,-8.259083
Sapium glandulosum,-39.190278,-8.103333
Sapium glandulosum,-39.202278,-8.105778
Sapium glandulosum,-39.189222,-8.105194
Sapium glandulosum,-39.103611,-7.472222
Sapium glandulosum,-50.247501373291,-23.4367008209229
Sapium glandulosum,-50.9494018554688,-24.2082996368408
Sapium glandulosum,-40.483333,-12.5
Sapium glandulosum,-50.166667,-8.05
Sapium glandulosum,-75.033333,-9.666667
Sapium glandulosum,-53.233333,3.6
Sapium glandulosum,-53.366389,2.816389
Sapium glandulosum,-52.317778,4.948056
Sapium glandulosum,-67.333333,-16.833333
Sapium glandulosum,-53.233333,3.6
Sapium glandulosum,-53.233333,3.6
Sapium glandulosum,-53.233333,3.6
Sapium glandulosum,-63.958333,-18.866667
Sapium glandulosum,-63.716667,-17.55
Sapium glandulosum,-63.25,-17.883333
Sapium glandulosum,-62.033333,-16.116667
Sapium glandulosum,-63.7,-17.65
Sapium glandulosum,-62,-16.5
Sapium glandulosum,-69.225,10.833333
Sapium glandulosum,-72.666667,9.116667
Sapium glandulosum,-72.308333,10.808333
Sapium glandulosum,-72.275,10.966667
Sapium glandulosum,-70.233333,8.783333
Sapium glandulosum,-70.633333,10.425
Sapium glandulosum,-70.558333,8.483333
Sapium glandulosum,-72.283333,10.941667
Sapium glandulosum,-72.138889,8.394444
Sapium glandulosum,-72.35,10.991667
Sapium glandulosum,-72.816667,9.816667
Sapium glandulosum,-72.283333,11.008333
Sapium glandulosum,-63.683333,-17.466667
Sapium glandulosum,-63.866667,-17.466667
Sapium glandulosum,-64.516667,-17.916667
Sapium glandulosum,-64.329167,-17.258889
Sapium glandulosum,-63.466667,-17.672222
Sapium glandulosum,-64.195833,-17.291667
Sapium glandulosum,-64.333333,-17.266667
Sapium glandulosum,-63.866667,-18.166667
Sapium glandulosum,-73.666667,11.25
Sapium glandulosum,-75.033333,-9.666667
Sapium glandulosum,-75.033333,-9.666667
Sapium glandulosum,-73.666667,-4.916667
Sapium glandulosum,-72.733333,-8.3
Sapium glandulosum,-48.416667,-22.75
Sapium glandulosum,-48.416667,-22.75
Sapium glandulosum,-48.416667,-22.75
Sapium glandulosum,-61.433333,3.366667
Sapium glandulosum,-55.75,2.333333
Sapium glandulosum,-53.716667,-15.45
Sapium glandulosum,-55.733333,-15.433333
Sapium glandulosum,-50.55,-29.433333
Sapium glandulosum,-51.130611,-29.678306
Sapium glandulosum,-51.139631,-29.637994
Sapium glandulosum,-51.036944,-29.370278
Sapium glandulosum,-50.9965,-29.611333
Sapium glandulosum,-34.8630981445312,-7.11499977111816
Sapium glandulosum,-51.1143989562988,-29.3763999938965
Sapium glandulosum,-55.1310997009277,-29.5503005981445
Sapium glandulosum,-49.7268981933594,-29.3353004455566
Sapium glandulosum,-46.67211111,-0.92766667
Sapium glandulosum,-46.67377778,-0.91425
Sapium glandulosum,-46.66869444,-0.92713889
Sapium glandulosum,-46.68166667,-0.915
Sapium glandulosum,-46.68197222,-0.91483333
Sapium glandulosum,-46.67583333,-0.91361111
Sapium glandulosum,-46.68166667,-0.915
Sapium glandulosum,-49.2317008972168,-26.8978004455566
Sapium glandulosum,-37.4933013916016,-10.7333002090454
Sapium glandulosum,-54.5,-18.26667
Sapium glandulosum,-42.616667,-4.872222
Sapium glandulosum,-42.616667,-4.872222
Sapium glandulosum,-52.65,-17.816667
Sapium glandulosum,-46.776028,-21.005556
Sapium glandulosum,-39.188889,-13.572222
Sapium glandulosum,-39.766667,-12.753333
Sapium glandulosum,-44.807583,-22.359333
Sapium glandulosum,-44.808611,-23.3025
Sapium glandulosum,-44.812222,-23.311111
Sapium glandulosum,-46.083333,-3.75
Sapium glandulosum,-47.975556,-24.063056
Sapium glandulosum,-50.728611,-20.238333
Sapium glandulosum,-54.470194,-25.617833
Sapium glandulosum,-52.241278,-24.74475
Sapium glandulosum,-48.386194,-25.177917
Sapium glandulosum,-46.1446990966797,-22.7553005218506
Sapium glandulosum,-46.1446990966797,-22.7553005218506
Sapium glandulosum,-46.0499992370605,-20.6152992248535
Sapium glandulosum,-47.8199996948242,-22.25
Sapium glandulosum,-48,-24.6900005340576
Sapium glandulosum,-46.5800018310547,-23.3099994659424
Sapium glandulosum,-45.6599998474121,-22.8199996948242
Sapium glandulosum,-45.0699996948242,-23.4300003051758
Sapium glandulosum,-34.978611,-6.493611
Sapium glandulosum,-36.898222,-7.470556
Sapium glandulosum,-35.08427,-6.80333
Sapium glandulosum,-35.691389,-6.963333
Sapium glandulosum,-36.898222,-7.470556
Sapium glandulosum,-36.898222,-7.470556
Sapium glandulosum,-35.08427,-6.80333
Sapium glandulosum,-37.385694,-7.258333
Sapium glandulosum,-36.926667,-7.489167
Sapium glandulosum,-35.08427,-6.80333
Sapium glandulosum,-35.691389,-6.963333
Sapium glandulosum,-34.863056,-7.115
Sapium glandulosum,-34.950278,-8.012778
Sapium glandulosum,-35.765,-6.973889
Sapium glandulosum,-36.433648,-9.231546
Sapium glandulosum,-34.820556,-7.606111
Sapium glandulosum,-36.898222,-7.470556
Sapium glandulosum,-34.8630981445312,-7.11499977111816
Sapium glandulosum,-36.783333,-8.45
Sapium glandulosum,-38.400556,-8.138472
Sapium glandulosum,-35.1125,-7.410556
Sapium glandulosum,-38.5685997009277,-8.60111045837402
Sapium glandulosum,-38.2983016967773,-7.99194002151489
Sapium glandulosum,-38.2983016967773,-7.99194002151489
Sapium glandulosum,-38.2983016967773,-7.99194002151489
Sapium glandulosum,-38.5685997009277,-8.60111045837402
Sapium glandulosum,-34.8255996704102,-7.74777984619141
Sapium glandulosum,-42.0186004638672,-22.8794002532959
Sapium glandulosum,-37.690299987793,-8.54055976867676
Sapium glandulosum,-39.5783004760742,-8.09055995941162
Sapium glandulosum,-35.8088989257812,-8.78250026702881
Sapium glandulosum,-38.2983016967773,-7.99194002151489
Sapium glandulosum,-38.2983016967773,-7.99194002151489
Sapium glandulosum,-38.2983016967773,-7.99194002151489
Sapium glandulosum,-38.2983016967773,-7.99194002151489
Sapium glandulosum,-38.1016998291016,-7.83805990219116
Sapium glandulosum,-35.7619018554688,-8.35861015319824
Sapium glandulosum,-43.451099395752,-22.7591991424561
Sapium glandulosum,-43.451099395752,-22.7591991424561
Sapium glandulosum,-43.451099395752,-22.7591991424561
