SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Scleria latifolia,-48.834400177002,-25.476900100708
Scleria latifolia,-54.6,4.816667
Scleria latifolia,-60.3,4.8
Scleria latifolia,-60.616667,6.066667
Scleria latifolia,-56.733333,4.716667
Scleria latifolia,-56.733333,4.716667
Scleria latifolia,-54.066667,2.605556
Scleria latifolia,-55.783333,2.333333
Scleria latifolia,-61.133333,5.816667
Scleria latifolia,-53.433333,5.416667
Scleria latifolia,-59.7,7.366667
Scleria latifolia,-35.8088989257812,-8.78250026702881
Scleria latifolia,-48.449444,-27.541111
Scleria latifolia,-48.549167,-27.596667
Scleria latifolia,-47.916667,-25
Scleria latifolia,-51.17919921875,-29.861400604248
Scleria latifolia,-51.4611015319824,-29.6886005401611
Scleria latifolia,-50.2696990966797,-29.8866996765137
Scleria latifolia,-51.2299995422363,-30.0331001281738
Scleria latifolia,-51.2299995422363,-30.0331001281738
Scleria latifolia,-51.2299995422363,-30.0331001281738
Scleria latifolia,-51.2299995422363,-30.0331001281738
Scleria latifolia,-51.1472015380859,-29.7602996826172
Scleria latifolia,-51.1472015380859,-29.7602996826172
Scleria latifolia,-51.1472015380859,-29.7602996826172
Scleria latifolia,-51.1472015380859,-29.7602996826172
Scleria latifolia,-51.1472015380859,-29.7602996826172
Scleria latifolia,-51.8643989562988,-29.7996997833252
Scleria latifolia,-48.9174995422363,-27.0981006622314
Scleria latifolia,-48.6678009033203,-27.645299911499
Scleria latifolia,-39.7322006225586,-18.5932998657227
Scleria latifolia,-39.7322006225586,-18.5932998657227
Scleria latifolia,-39.7322006225586,-18.5932998657227
Scleria latifolia,-39.7322006225586,-18.5932998657227
Scleria latifolia,-40.5110015869141,-20.6580009460449
Scleria latifolia,-40.0722007751465,-19.3910999298096
Scleria latifolia,-46.194444,-23.389722
Scleria latifolia,-47.805556,-24.895
Scleria latifolia,-46.733333,-23.983333
Scleria latifolia,-47.968889,-24.0675
Scleria latifolia,-48.415556,-24.962778
Scleria latifolia,-48,-23.566667
Scleria latifolia,-48.05,-15.866667
Scleria latifolia,-47.833333,-24.666667
Scleria latifolia,-49.259722,-24.270556
Scleria latifolia,-50,-6
Scleria latifolia,-39.126589,-16.743569
Scleria latifolia,-47.895278,-15.968333
Scleria latifolia,-47.654889,-15.604222
Scleria latifolia,-47.911833,-15.916833
Scleria latifolia,-47.850833,-24.879444
Scleria latifolia,-47.895278,-15.968333
Scleria latifolia,-46.283333,-21.4
Scleria latifolia,-47.9125,-25.017778
Scleria latifolia,-47.9125,-25.017778
Scleria latifolia,-47.876944,-24.608333
Scleria latifolia,-47.876944,-24.608333
Scleria latifolia,-47.75,-22.2
Scleria latifolia,-47.9296989440918,-15.7797002792358
Scleria latifolia,-47.9296989440918,-15.7797002792358
Scleria latifolia,-47.9296989440918,-15.7797002792358
Scleria latifolia,-47.9296989440918,-15.7797002792358
Scleria latifolia,-47.9296989440918,-15.7797002792358
Scleria latifolia,-47.9296989440918,-15.7797002792358
Scleria latifolia,-48.5092010498047,-25.5200004577637
Scleria latifolia,-47.060001373291,-22.8999996185303
Scleria latifolia,-47.060001373291,-22.8999996185303
Scleria latifolia,-47.060001373291,-22.8999996185303
Scleria latifolia,-47.060001373291,-22.8999996185303
Scleria latifolia,-47.8199996948242,-22.25
Scleria latifolia,-46.8800010681152,-23.1800003051758
Scleria latifolia,-46.9421997070312,-22.372200012207
Scleria latifolia,-46.3300018310547,-23.9599990844727
Scleria latifolia,-46.6300010681152,-23.5400009155273
Scleria latifolia,-45.4099998474121,-23.7600002288818
Scleria latifolia,-46.3899993896484,-23.9599990844727
Scleria latifolia,-45.0699996948242,-23.4300003051758
Scleria latifolia,-45.0699996948242,-23.4300003051758
Scleria latifolia,-45.0699996948242,-23.4300003051758
Scleria latifolia,-45.0699996948242,-23.4300003051758
Scleria latifolia,-35.8475,-9.236111
Scleria latifolia,-37.255972,-11.166417
Scleria latifolia,-36.433333,-9.161111
Scleria latifolia,-36.431944,-9.256944
Scleria latifolia,-35.755694,-8.151028
Scleria latifolia,-36.425432,-9.248702
Scleria latifolia,-35.8475,-9.236111
Scleria latifolia,-36.460444,-9.255139
Scleria latifolia,-35.9,-8.658333
Scleria latifolia,-36.426111,-9.249722
Scleria latifolia,-39.569889,-13.742278
Scleria latifolia,-35.791528,-9.248139
Scleria latifolia,-39.935556,-13.986111
Scleria latifolia,-35.9432983398438,-9.30667018890381
Scleria latifolia,-35.7933006286621,-8.72667026519775
Scleria latifolia,-35.695833,-8.494444
Scleria latifolia,-35.695833,-8.494444
Scleria latifolia,-35.695833,-8.494444
Scleria latifolia,-35.695833,-8.494444
Scleria latifolia,-35.052333,-8.233722
Scleria latifolia,-36,-8.31
Scleria latifolia,-36,-8.31
Scleria latifolia,-35.321389,-7.659222
Scleria latifolia,-48.720556,-25.898333
Scleria latifolia,-49.071028,-27.003108
Scleria latifolia,-50.186944,-29.868889
Scleria latifolia,-43.410278,-20.263889
Scleria latifolia,-43.306389,-20.263333
Scleria latifolia,-41.326944,-20.614167
Scleria latifolia,-40.050833,-19.152222
Scleria latifolia,-48.918611,-25.579444
Scleria latifolia,-48.624675,-26.126842
Scleria latifolia,-47.58,-22.2075
