SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Selaginella convoluta,-39.8,-10.683333
Selaginella convoluta,-61.633333,-16.483333
Selaginella convoluta,-40.1236000061035,-6.57360982894897
Selaginella convoluta,-44.3586006164551,-9.07444000244141
Selaginella convoluta,-44.3586006164551,-9.07444000244141
Selaginella convoluta,-44.3586006164551,-9.07444000244141
Selaginella convoluta,-51.5,-14.3
Selaginella convoluta,-40.0835990905762,-13.8575000762939
Selaginella convoluta,-43.2075004577637,-22.9027996063232
Selaginella convoluta,-43.2075004577637,-22.9027996063232
Selaginella convoluta,-40.7402992248535,-18.9831008911133
Selaginella convoluta,-40.7402992248535,-18.9831008911133
Selaginella convoluta,-40.7402992248535,-18.9831008911133
Selaginella convoluta,-40.611400604248,-18.6149997711182
Selaginella convoluta,-40.6305999755859,-19.539400100708
Selaginella convoluta,-40.5110015869141,-20.6580009460449
Selaginella convoluta,-40.5110015869141,-20.6580009460449
Selaginella convoluta,-40.5110015869141,-20.6580009460449
Selaginella convoluta,-40.5110015869141,-20.6580009460449
Selaginella convoluta,-54.4738998413086,-16.6231002807617
Selaginella convoluta,-42.0293998718262,-20.7331008911133
Selaginella convoluta,-43.2075004577637,-22.9027996063232
Selaginella convoluta,-37.980007,-6.840009
Selaginella convoluta,-34.863056,-7.115
Selaginella convoluta,-36.903333,-7.479167
Selaginella convoluta,-36.898222,-7.470556
Selaginella convoluta,-38.228056,-6.759444
Selaginella convoluta,-36.759444,-7.514167
Selaginella convoluta,-38.228056,-6.759444
Selaginella convoluta,-38.228056,-6.759444
Selaginella convoluta,-36.689694,-8.121058
Selaginella convoluta,-37.893056,-7.244722
Selaginella convoluta,-36.763611,-7.508056
Selaginella convoluta,-36.893333,-7.473611
Selaginella convoluta,-38.1502990722656,-7.30444002151489
Selaginella convoluta,-38.1502990722656,-7.30444002151489
Selaginella convoluta,-38.1502990722656,-7.30444002151489
Selaginella convoluta,-37.2799987792969,-7.02443981170654
Selaginella convoluta,-36.9185981750488,-6.87222003936768
Selaginella convoluta,-37.4453010559082,-7.03888988494873
Selaginella convoluta,-37.3088989257812,-7.16249990463257
Selaginella convoluta,-35.6636009216309,-7.69555997848511
Selaginella convoluta,-34.951361,-8.010806
Selaginella convoluta,-34.950278,-8.012778
Selaginella convoluta,-40.35,-10.733333
Selaginella convoluta,-36.779367,-8.44775
Selaginella convoluta,-39.766667,-12.7
Selaginella convoluta,-40.498611,-9.411944
Selaginella convoluta,-37.94580078125,-7.01444005966187
Selaginella convoluta,-38.5018997192383,-7.12056016921997
Selaginella convoluta,-39.5783004760742,-8.09055995941162
Selaginella convoluta,-39.8255996704102,-8.80778026580811
Selaginella convoluta,-38.5685997009277,-8.60111045837402
Selaginella convoluta,-35.2914009094238,-8.11806011199951
Selaginella convoluta,-35.3182983398438,-7.50528001785278
Selaginella convoluta,-38.2983016967773,-7.99194002151489
Selaginella convoluta,-36.9850006103516,-9.53221988677979
Selaginella convoluta,-38.1016998291016,-7.83805990219116
Selaginella convoluta,-40.766667,-19.25
Selaginella convoluta,-57.656806,-21.712139
Selaginella convoluta,-41.465,-19.161667
Selaginella convoluta,-41.326944,-20.614167
Selaginella convoluta,-40.87,-19.231667
Selaginella convoluta,-42.698600769043,-13.0193996429443
Selaginella convoluta,-42.698600769043,-13.0193996429443
Selaginella convoluta,-39.8588981628418,-12.8699998855591
Selaginella convoluta,-40.8513984680176,-19.2250003814697
Selaginella convoluta,-40.7663993835449,-17.7031002044678
Selaginella convoluta,-42.8664016723633,-15.3971996307373
Selaginella convoluta,-42.874698638916,-15.1549997329712
Selaginella convoluta,-54.2557983398438,-24.0799999237061
Selaginella convoluta,-54.2557983398438,-24.0799999237061
Selaginella convoluta,-48.4900016784668,-21.2600002288818
Selaginella convoluta,-37.3972015380859,-6.66555976867676
Selaginella convoluta,-40.436111,-18.7825
Selaginella convoluta,-57.55,-19.166667
Selaginella convoluta,-42.758889,-15.383333
Selaginella convoluta,-39.426389,-8.449444
Selaginella convoluta,-40.548611,-9.330556
Selaginella convoluta,-40.603056,-19.896667
Selaginella convoluta,-41.039167,-20.076667
Selaginella convoluta,-40.681111,-19.403889
Selaginella convoluta,-54.2557983398438,-24.0799999237061
Selaginella convoluta,-40.4006004333496,-18.710599899292
Selaginella cf. convoluta,-44.8643989562988,-15.9485998153687
Selaginella convoluta,-43.937801361084,-19.9207992553711
Selaginella convoluta,-48.06667,-14.13333
Selaginella convoluta,-38.2546997070312,-9.33806037902832
Selaginella convoluta,-40.5008010864258,-9.39861011505127
Selaginella convoluta,-41.074722,-9.221944
Selaginella convoluta,-39.7,-10.633333
Selaginella convoluta,-43.38,-14.219722
Selaginella convoluta,-39.8255996704102,-8.80778026580811
Selaginella convoluta,-38.2546997070312,-9.33806037902832
Selaginella convoluta,-40.6031,-19.8967
Selaginella convoluta,-61.4978,-14.5403
Selaginella convoluta,-41.0392,-20.0767
Selaginella convoluta,-37.893056,-7.244722
Selaginella convoluta,-40.77,-19.25
Selaginella convoluta,-64.1417,-18.93
Selaginella convoluta,-41.3878,-21.3406
Selaginella convoluta,-43.3028,-23.0061
Selaginella convoluta,-61.87,-16.58
Selaginella convoluta,-59.5133,-18.2633
Selaginella convoluta,-61.4922,-14.5314
Selaginella convoluta,-62.8,-17.82
Selaginella convoluta,-62,-16.42
Selaginella convoluta,-61.63,-16.48
Selaginella convoluta,-59.5133,-18.2633
Selaginella convoluta,-40.265133,-13.8225
Selaginella convoluta,-40.314483,-13.795617
Selaginella convoluta,-40.77,-20.87
Selaginella convoluta,-38.1503,-7.3044
Selaginella convoluta,-42.68,-10.97
Selaginella convoluta,-38.2144,-9.4061
Selaginella convoluta,-38.2144,-9.4061
Selaginella convoluta,-39.8,-10.68
Selaginella convoluta,-43.6722,-12.2033
Selaginella convoluta,-40.88,-9.3
Selaginella convoluta,-35.18,-8.12
Selaginella convoluta,-62.83,-17.87
Selaginella convoluta,-48.07,-14.13
Selaginella convoluta,-60.0867,-20.5844
Selaginella convoluta,-41.8844,-21.8106
Selaginella convoluta,-41.25,-14.27
Selaginella convoluta,-47.23,-13.47
Selaginella convoluta,-44.7308006286621,-17.5981006622314
Selaginella convoluta,-43.2075004577637,-22.9027996063232
Selaginella convoluta,-43.2075004577637,-22.9027996063232
Selaginella convoluta,-43.2075004577637,-22.9027996063232
Selaginella convoluta,-44.3616981506348,-15.4881000518799
Selaginella convoluta,-41,-20
Selaginella convoluta,-41.5331001281738,-20.763599395752
Selaginella convoluta,-41.1128005981445,-20.8488998413086
Selaginella convoluta,-41.3664016723633,-21.0641994476318
Selaginella convoluta,-41.2331008911133,-18.5664005279541
Selaginella convoluta,-36.8800010681152,-7.67166996002197
Selaginella convoluta,-54.2557983398438,-24.0799999237061
Selaginella convoluta,-35.7933006286621,-8.72667026519775
Selaginella convoluta,-57.7666667,-21.6833333
Selaginella convoluta,-57.7625,-21.6980555
Selaginella convoluta,-55.6833333,-20.3316667
Selaginella convoluta,-57.5588889,-19.1655556
Selaginella convoluta,-57.65,-21.7122222
Selaginella convoluta,-55.6833333,-20.3291667
Selaginella convoluta,-57.5666667,-21.7752778
Selaginella convoluta,-55.4833333,-20.45
Selaginella convoluta,-55.9474983215332,-22.1910991668701
Selaginella convoluta,-54.8293991088867,-19.8316993713379
Selaginella convoluta,-54.8293991088867,-19.8316993713379
Selaginella convoluta,-54.8293991088867,-19.8316993713379
Selaginella convoluta,-57.6016998291016,-19.0046997070312
Selaginella convoluta,-57.8824996948242,-21.6989002227783
Selaginella convoluta,-57.8824996948242,-21.6989002227783
Selaginella convoluta,-40.306944,-20.187222
Selaginella convoluta,-41.4775,-20.376111
Selaginella convoluta,-41.184722,-20.603611
Selaginella convoluta,-40.436111,-18.7825
Selaginella convoluta,-40.630278,-19.539444
Selaginella convoluta,-41.1128005981445,-20.8488998413086
Selaginella convoluta,-40.5110015869141,-20.6580009460449
Selaginella convoluta,-40.369701385498,-19.8318996429443
Selaginella convoluta,-41.6671981811523,-20.5414009094238
Selaginella convoluta,-41.6671981811523,-20.5414009094238
Selaginella convoluta,-41.3664016723633,-21.0641994476318
Selaginella convoluta,-40.4006004333496,-18.710599899292
Selaginella convoluta,-40.4006004333496,-18.710599899292
Selaginella convoluta,-40.4006004333496,-18.710599899292
Selaginella convoluta,-40.8513984680176,-19.2250003814697
Selaginella convoluta,-39.766667,-12.7
Selaginella convoluta,-40.133333,-6.616667
Selaginella convoluta,-40.116667,-6.65
Selaginella convoluta,-40.290833,-6.575972
Selaginella convoluta,-40.290833,-6.575972
Selaginella convoluta,-40.306389,-6.5945
Selaginella convoluta,-40.133333,-6.616667
Selaginella convoluta,-37.266389,-6.568611
Selaginella convoluta,-40.499994,-6.299992
Selaginella convoluta,-40.14,-5.940008
Selaginella convoluta,-40.679992,-6.120006
Selaginella convoluta,-40.9707984924316,-9.16193962097168
Selaginella convoluta,-40.1236000061035,-6.57360982894897
Selaginella convoluta,-40.1236000061035,-6.57360982894897
Selaginella convoluta,-40.1236000061035,-6.57360982894897
Selaginella convoluta,-40.6775016784668,-5.1783299446106
Selaginella convoluta,-40.6775016784668,-5.1783299446106
Selaginella convoluta,-40.6775016784668,-5.1783299446106
Selaginella convoluta,-38.9644012451172,-6.75333023071289
Selaginella convoluta,-40.6944007873535,-6.21111011505127
Selaginella convoluta,-40.1567001342773,-4.33194017410278
Selaginella convoluta,-40.2928009033203,-6.00305986404419
Selaginella convoluta,-40.2928009033203,-6.00305986404419
Selaginella convoluta,-43.3502998352051,-21.7642002105713
Selaginella convoluta,-43.2075004577637,-22.9027996063232
Selaginella convoluta,-43.2075004577637,-22.9027996063232
Selaginella convoluta,-43.2075004577637,-22.9027996063232
Selaginella convoluta,-43.2075004577637,-22.9027996063232
Selaginella convoluta,-43.2075004577637,-22.9027996063232
Selaginella convoluta,-42.6994018554688,-9.01527976989746
Selaginella convoluta,-40.1236,-6.57361
Selaginella convoluta,-37.3972,-6.66556
Selaginella convoluta,-37.0203,-6.03389
Selaginella convoluta,-39.2986,-6.35944
Selaginella convoluta,-37.3972,-6.66556
Selaginella convoluta,-37.075,-6.336111
Selaginella convoluta,-36.833333,-6.116667
Selaginella convoluta,-36.833333,-6.116667
Selaginella convoluta,-37.266389,-6.568611
Selaginella convoluta,-37.573333,-9.715
Selaginella convoluta,-37.576389,-9.740833
Selaginella convoluta,-37.510833,-9.718056
Selaginella convoluta,-37.503611,-9.723333
Selaginella convoluta,-37.181078,-9.796683
Selaginella convoluta,-37.272778,-9.365
Selaginella convoluta,-37.9361000061035,-9.26082992553711
Selaginella convoluta,-37.9991989135742,-9.38860988616943
Selaginella convoluta,-37.3499984741211,-9.23556041717529
Selaginella convoluta,-36.3053016662598,-9.57721996307373
Selaginella convoluta,-36.627498626709,-9.40721988677979
Selaginella convoluta,-61.5,-17.5
Selaginella convoluta,-52.8731,-10.8339
Selaginella convoluta,-38.150458,-7.307957
Selaginella convoluta,-42,-11
Selaginella convoluta,-64.435,-16.7261
Selaginella convoluta,-64.435,-16.7261
Selaginella convoluta,-52.8731,-10.8339
Selaginella convoluta,-52.8731,-10.8339
Selaginella convoluta,-52.8731,-10.8339
Selaginella convoluta,-52.8731,-10.8339
Selaginella convoluta,-52.8731,-10.8339
Selaginella convoluta,-72.8667,3.8811
Selaginella convoluta,-58.1689,-23.2025
Selaginella convoluta,-52.8731,-10.8339
Selaginella convoluta,-40.8513984680176,-19.2250003814697
Selaginella convoluta,-40.3333015441895,-19.2649993896484
Selaginella convoluta,-39.875,-7.975
Selaginella convoluta,-39.8,-10.68
Selaginella convoluta,-39.796556,-4.554672
Selaginella convoluta,-41.074861,-9.221944
Selaginella convoluta,-42.538889,-20.7425
Selaginella convoluta,-40.553056,-13.010278
Selaginella convoluta,-41.25,-11.916667
Selaginella convoluta,-41.6775,-13.249722
Selaginella convoluta,-38.483333,-9.333333
Selaginella convoluta,-41.942778,-11.165
Selaginella convoluta,-39.0675,-12.628611
