SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Senna neglecta,-49.079333,-26.026167
Senna neglecta,-49.2731018066406,-25.4277992248535
Senna neglecta,-49.0633010864258,-25.4416999816895
Senna neglecta,-49.3142013549805,-25.1900005340576
Senna neglecta,-50.1446990966797,-29.0478000640869
Senna neglecta,-51.1794013977051,-29.1681003570557
Senna neglecta,-51.1794013977051,-29.1681003570557
Senna neglecta,-51.1794013977051,-29.1681003570557
Senna neglecta,-51.1794013977051,-29.1681003570557
Senna neglecta,-51.3478012084961,-29.2250003814697
Senna neglecta,-51.3478012084961,-29.2250003814697
Senna neglecta,-51.3478012084961,-29.2250003814697
Senna neglecta,-51.4611015319824,-29.6886005401611
Senna neglecta,-51.4611015319824,-29.6886005401611
Senna neglecta,-50.2696990966797,-29.8866996765137
Senna neglecta,-51.1472015380859,-29.7602996826172
Senna neglecta,-49.1286010742188,-27.9018993377686
Senna neglecta,-48.7675018310547,-27.5168991088867
Senna neglecta,-49.4858016967773,-28.934700012207
Senna neglecta,-48.5491981506348,-27.596700668335
Senna neglecta,-51.4672012329102,-27.1327991485596
Senna neglecta,-49.8053016662598,-26.111400604248
Senna neglecta,-49.190573,-25.491286
Senna neglecta,-51.338889,-29.271111
Senna neglecta,-49.087778,-26.004361
Senna neglecta,-46.3182983398438,-22.854700088501
Senna neglecta,-46.3182983398438,-22.854700088501
Senna neglecta furnicola,-50.3828010559082,-25.8742008209229
Senna neglecta furnicola,-50.3828010559082,-25.8742008209229
Senna neglecta furnicola,-50.3828010559082,-25.8742008209229
Senna neglecta furnicola,-50.4166984558105,-28.6678009033203
Senna neglecta furnicola,-50.815601348877,-29.3656005859375
Senna neglecta furnicola,-52.3457984924316,-28.9827995300293
Senna neglecta furnicola,-51.3250007629395,-30.113899230957
Senna neglecta furnicola,-50.7902984619141,-29.5743999481201
Senna neglecta furnicola,-50.3577995300293,-28.8847007751465
Senna neglecta furnicola,-50.0657997131348,-28.7483005523682
Senna neglecta furnicola,-51.3958015441895,-30.6732997894287
Senna neglecta furnicola,-50.7806015014648,-29.6506004333496
Senna neglecta furnicola,-50.7778015136719,-29.5168991088867
Senna neglecta furnicola,-50.9338989257812,-28.5121994018555
Senna neglecta,-51.2249984741211,-27.4016990661621
Senna neglecta furnicola,-49.5917015075684,-28.0149993896484
Senna neglecta furnicola,-45.0699996948242,-23.4300003051758
Senna neglecta,-50.040028,-25.920006
Senna neglecta,-49.088028,-25.292194
Senna neglecta,-40.443889,-18.776944
Senna neglecta,-49.963333,-25.143611
Senna neglecta,-50.303333,-26.218333
