SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Serpocaulon catharinae,-49.0553016662598,-25.3055992126465
Serpocaulon catharinae,-49.2731018066406,-25.4277992248535
Serpocaulon catharinae,-48.9911003112793,-24.6571998596191
Serpocaulon catharinae,-48.7118988037109,-25.4286003112793
Serpocaulon catharinae,-48.7118988037109,-25.4286003112793
Serpocaulon catharinae,-49.4103012084961,-25.5930995941162
Serpocaulon catharinae,-49.6356010437012,-25.5839004516602
Serpocaulon catharinae,-49.1150016784668,-25.2061004638672
Serpocaulon catharinae,-49.0553016662598,-25.3055992126465
Serpocaulon catharinae,-49.0553016662598,-25.3055992126465
Serpocaulon catharinae,-49.2731018066406,-25.4277992248535
Serpocaulon catharinae,-49.2731018066406,-25.4277992248535
Serpocaulon catharinae,-49.2731018066406,-25.4277992248535
Serpocaulon catharinae,-49.2731018066406,-25.4277992248535
Serpocaulon catharinae,-49.2731018066406,-25.4277992248535
Serpocaulon catharinae,-49.2731018066406,-25.4277992248535
Serpocaulon catharinae,-49.2731018066406,-25.4277992248535
Serpocaulon catharinae,-49.2731018066406,-25.4277992248535
Serpocaulon catharinae,-49.2731018066406,-25.4277992248535
Serpocaulon catharinae,-49.2731018066406,-25.4277992248535
Serpocaulon catharinae,-49.2731018066406,-25.4277992248535
Serpocaulon catharinae,-49.2731018066406,-25.4277992248535
Serpocaulon catharinae,-49.2731018066406,-25.4277992248535
Serpocaulon catharinae,-49.2731018066406,-25.4277992248535
Serpocaulon catharinae,-49.2731018066406,-25.4277992248535
Serpocaulon catharinae,-49.2731018066406,-25.4277992248535
Serpocaulon catharinae,-49.2731018066406,-25.4277992248535
Serpocaulon catharinae,-49.2731018066406,-25.4277992248535
Serpocaulon catharinae,-49.2731018066406,-25.4277992248535
Serpocaulon catharinae,-50.5475006103516,-25.4132995605469
Serpocaulon catharinae,-48.834400177002,-25.476900100708
Serpocaulon catharinae,-48.834400177002,-25.476900100708
Serpocaulon catharinae,-50.0064010620117,-25.4293994903564
Serpocaulon catharinae,-48.5092010498047,-25.5200004577637
Serpocaulon catharinae,-49.0633010864258,-25.4416999816895
Serpocaulon catharinae,-49.0633010864258,-25.4416999816895
Serpocaulon catharinae,-49.0633010864258,-25.4416999816895
Serpocaulon catharinae,-49.2064018249512,-25.5347003936768
Serpocaulon catharinae,-49.2064018249512,-25.5347003936768
Serpocaulon catharinae,-50.4136009216309,-24.5093994140625
Serpocaulon catharinae,-49.1988983154297,-25.9281005859375
Serpocaulon catharinae,-49.1988983154297,-25.9281005859375
Serpocaulon catharinae,-49.1988983154297,-25.9281005859375
Serpocaulon catharinae,-49.1988983154297,-25.9281005859375
Serpocaulon catharinae,-49.1988983154297,-25.9281005859375
Serpocaulon catharinae,-49.1988983154297,-25.9281005859375
Serpocaulon catharinae,-49.1988983154297,-25.9281005859375
Serpocaulon catharinae,-48.5531005859375,-27.1578006744385
Serpocaulon catharinae,-49.914192,-29.416453
Serpocaulon catharinae,-50.366889,-29.778361
Serpocaulon catharinae,-51.133,-29.760833
Serpocaulon catharinae,-51.083333,-29.533333
Serpocaulon catharinae,-50.291056,-29.706944
Serpocaulon catharinae,-51.015736,-29.673158
Serpocaulon catharinae,-50.018056,-29.678889
Serpocaulon catharinae,-50.773889,-29.940833
Serpocaulon catharinae,-50.118572,-29.134469
Serpocaulon catharinae,-50.104969,-29.132972
Serpocaulon catharinae,-50.115147,-29.119564
Serpocaulon catharinae,-50.118572,-29.134469
Serpocaulon catharinae,-50.118572,-29.134469
Serpocaulon catharinae,-50.394217,-29.420572
Serpocaulon catharinae,-36.0442008972168,-7.90305995941162
Serpocaulon catharinae,-44.5633010864258,-22.4960994720459
Serpocaulon catharinae,-44.5633010864258,-22.4960994720459
Serpocaulon catharinae,-55.7919006347656,-29.7831001281738
Serpocaulon catharinae,-49.8889007568359,-29.551399230957
Serpocaulon catharinae,-49.8889007568359,-29.551399230957
Serpocaulon catharinae,-49.8889007568359,-29.551399230957
Serpocaulon catharinae,-50.1446990966797,-29.0478000640869
Serpocaulon catharinae,-51.1836013793945,-29.9178009033203
Serpocaulon catharinae,-51.1305999755859,-29.6783008575439
Serpocaulon catharinae,-50.2696990966797,-29.8866996765137
Serpocaulon catharinae,-50.0657997131348,-28.7483005523682
Serpocaulon catharinae,-51.1472015380859,-29.7602996826172
Serpocaulon catharinae,-51.1472015380859,-29.7602996826172
Serpocaulon catharinae,-51.1472015380859,-29.7602996826172
Serpocaulon catharinae,-50.326099395752,-27.8160991668701
Serpocaulon catharinae,-40.4006004333496,-18.710599899292
Serpocaulon catharinae,-46.966667,-23.25
Serpocaulon catharinae,-48.416667,-23.45
Serpocaulon catharinae,-48.416667,-23.45
Serpocaulon catharinae,-43.666667,-19.816667
Serpocaulon catharinae,-43.7144012451172,-19.1688995361328
Serpocaulon catharinae,-45.7425003051758,-22.7478008270264
Serpocaulon catharinae,-48.5092010498047,-25.5200004577637
Serpocaulon catharinae,-43.1035995483398,-22.88330078125
Serpocaulon catharinae,-50.4099998474121,-22.6599998474121
Serpocaulon catharinae,-46.5499992370605,-23.1100006103516
Serpocaulon catharinae,-46.5499992370605,-23.1100006103516
Serpocaulon catharinae,-47.9199981689453,-25.0100002288818
Serpocaulon catharinae,-48,-24.6900005340576
Serpocaulon catharinae,-47.060001373291,-23.9300003051758
Serpocaulon catharinae,-45.0699996948242,-23.4300003051758
Serpocaulon catharinae,-36.44845,-9.233883
Serpocaulon catharinae,-35.6916999816895,-6.96332979202271
Serpocaulon catharinae,-35.4524993896484,-8.38306045532227
Serpocaulon catharinae,-35.9000015258789,-8.65832996368408
Serpocaulon catharinae,-35.9000015258789,-8.65832996368408
Serpocaulon catharinae,-36,-8.31
Serpocaulon catharinae,-35.715556,-8.503889
Serpocaulon catharinae,-35.715556,-8.503889
Serpocaulon catharinae,-35.715556,-8.503889
Serpocaulon catharinae,-35.721722,-8.508472
Serpocaulon catharinae,-40.111889,-13.950944
Serpocaulon catharinae,-35.9761009216309,-8.28332996368408
Serpocaulon catharinae,-35.9761009216309,-8.28332996368408
Serpocaulon catharinae,-35.8088989257812,-8.78250026702881
Serpocaulon catharinae,-35.7285995483398,-8.47027969360352
Serpocaulon catharinae,-35.7285995483398,-8.47027969360352
Serpocaulon catharinae,-35.9761009216309,-8.28332996368408
Serpocaulon catharinae,-49.6356010437012,-25.5839004516602
Serpocaulon catharinae,-36.0442008972168,-7.90305995941162
Serpocaulon catharinae,-50,-25.233333
Serpocaulon catharinae,-48.981111,-25.497778
Serpocaulon catharinae,-43.485556,-20.091111
Serpocaulon catharinae,-50.706944,-24.100556
Serpocaulon catharinae,-50.299722,-25.69
Serpocaulon catharinae,-50.448889,-25.877222
Serpocaulon catharinae,-49.001389,-25.412222
Serpocaulon catharinae,-43.41,-20.239722
Serpocaulon catharinae,-49.335556,-26.267222
Serpocaulon catharinae,-49.505806,-25.374333
Serpocaulon catharinae,-48.716417,-24.863417
Serpocaulon catharinae,-43.8278007507324,-22.0891990661621
Serpocaulon catharinae,-43.8278007507324,-22.0891990661621
Serpocaulon catharinae,-48.9911003112793,-24.6571998596191
Serpocaulon catharinae,-48.7118988037109,-25.4286003112793
Serpocaulon catharinae,-48.7118988037109,-25.4286003112793
Serpocaulon catharinae,-48.7118988037109,-25.4286003112793
Serpocaulon catharinae,-50.0971984863281,-24.9178009033203
Serpocaulon catharinae,-50.0971984863281,-24.9178009033203
Serpocaulon catharinae,-49.2731018066406,-25.4277992248535
Serpocaulon catharinae,-48.3288993835449,-25.3066997528076
Serpocaulon catharinae,-48.5746994018555,-25.8827991485596
Serpocaulon catharinae,-48.5746994018555,-25.8827991485596
Serpocaulon catharinae,-50.0064010620117,-25.4293994903564
Serpocaulon catharinae,-50.0064010620117,-25.4293994903564
