SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Sida cf galheirensis,-36,-8.31
Sida cf spinosa,-32.425,-3.836111
Sida cf spinosa,-35.7645,-8.160617
Sida cf. linifolia,-49.016111,-15.104722
Sida cf. coerulea,-46.864444,-14.470555
Sida cf. glaziovii,-48.20306,-16.32528
Sida cf. jussiaeana,-48.236666,-12.8025
Sida cf. plumosa,-47.208888,-11.581388
Sida cf. viarum,-47.16,-12.06
Sida cf. tuberculata,-47.9296989440918,-15.7797002792358
Sida cf. cordifolia,-49.2538986206055,-16.6786003112793
Sida cf. viarum,-52.353099822998,-14.6732997894287
Sida cf. regnellii,-50.9919013977051,-29.9444007873535
Sida cf. regnellii,-51.3250007629395,-30.113899230957
Sida cf.,-53.8950004577637,-30.8131008148193
Sida cf. viarum,-51.9782981872559,-31.3652992248535
Sida cf. acuta,-43.082722,-19.4565
Sida cf. cordifolia,-43.097056,-19.445667
Sida cf. rhombifolia,-50.6156005859375,-24.3239002227783
Sida cf. urens,-51.48,-20.87
Sida cf. plumosa,-40.583333,-19.9375
Sida cf. plumosa,-40.540806,-20.278389
Sida cf. dubia,-53.710278,-30.860278
Sida cf. glomerata,-48.5,-12.05
Sida cf. regnellii,-55.766667,-29.916389
Sida cf. glomerata,-38.609555,-7.111416
Sida cf. ciliaris,-38.5355,-7.037888
Sida cf. ciliaris,-41.279102,-9.613661
Sida cf. galheirensis,-40.246427,-8.1959
Sida cf. galheirensis,-38.696166,-6.670838
Sida cf. galheirensis,-37.427722,-7.803388
Sida cf. cordifolia,-38.921444,-7.653805
Sida cf. glomerata,-38.490308,-6.877625
Sida cf. linifolia,-40.585305,-9.465055
Sida cf. cordifolia,-37.446588,-8.108294
Sida cf. galheirensis,-39.605388,-8.593194
Sida cf. angustissima,-39.204277,-8.102194
Sida cf. brittonii,-38.339722,-8.744722
Sida cf. rhombifolia,-38.99125,-7.693722
Sida cf. cordifolia,-37.65375,-8.237388
Sida cf. ciliaris,-37.790488,-8.330583
Sida cf. angustissima,-40.545305,-9.442305
