SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Sida spinosa,-42.688889,-6.218889
Sida spinosa,-41.9030990600586,-2.89000010490417
Sida spinosa,-41.6669006347656,-2.87916994094849
Sida spinosa,-57.4858016967773,-14.6194000244141
Sida spinosa,-49.2242012023926,-25.2917003631592
Sida spinosa,-39.716667,-10.666667
Sida spinosa,-59.766667,3.433333
Sida spinosa,-59.766667,3.433333
Sida spinosa,-45.162222,-10.443333
Sida spinosa,-42.168611,-4.827778
Sida spinosa,-41.0922012329102,-3.56222009658813
Sida spinosa,-50.9919013977051,-29.9444007873535
Sida spinosa,-53.9146995544434,-28.3878002166748
Sida spinosa,-51.4611015319824,-29.6886005401611
Sida spinosa,-51.4611015319824,-29.6886005401611
Sida spinosa,-51.2299995422363,-30.0331001281738
Sida spinosa,-56.4514007568359,-30.3875007629395
Sida spinosa,-54.3199996948242,-30.3363990783691
Sida spinosa,-54.3199996948242,-30.3363990783691
Sida spinosa,-51.1472015380859,-29.7602996826172
Sida spinosa,-57.0882987976074,-29.7546997070312
Sida spinosa,-40.4006004333496,-18.710599899292
Sida spinosa,-64.1675,10.456389
Sida spinosa,-55.786275,-20.474918
Sida spinosa,-35.866667,-7.766667
Sida spinosa,-36.287222,-7.489167
Sida spinosa,-37.799994,-6.3
Sida spinosa,-36.272222,-7.390833
Sida spinosa,-37.051444,-10.519472
Sida spinosa,-35.680278,-6.453889
Sida spinosa,-34.863056,-7.115
Sida spinosa,-38.519972,-6.840001
Sida spinosa,-38.228056,-6.759444
Sida spinosa,-38.494722,-6.403056
Sida spinosa,-36.287222,-7.489167
Sida spinosa,-36.287222,-7.489167
Sida spinosa,-38.228056,-6.759444
Sida spinosa,-38.228056,-6.759444
Sida spinosa,-39.0153007507324,-4.97138977050781
Sida spinosa,-36.2400016784668,-7.25943994522095
Sida spinosa,-36.2400016784668,-7.25943994522095
Sida spinosa,-36.2400016784668,-7.25943994522095
Sida spinosa,-34.8630981445312,-7.11499977111816
Sida spinosa,-35.1260986328125,-6.83861017227173
Sida spinosa,-35.5400009155273,-6.75500011444092
Sida spinosa,-38.228099822998,-6.7591700553894
Sida spinosa,-35.7546997070312,-7.83305978775024
Sida cf spinosa,-32.425,-3.836111
Sida cf spinosa,-35.7645,-8.160617
Sida spinosa,-35.976111,-8.283333
Sida spinosa,-51.613889,-20.786528
Sida spinosa,-37.933333,-9.65
Sida spinosa,-39.1018981933594,-12.6700000762939
Sida spinosa,-39.1018981933594,-12.6700000762939
Sida spinosa,-39.0894012451172,-12.8472003936768
Sida spinosa,-38.9136009216309,-6.24444007873535
Sida spinosa,-43.937801361084,-19.9207992553711
Sida spinosa,-44.8903007507324,-19.6828002929688
Sida spinosa,-44.2467002868652,-19.465799331665
Sida spinosa,-44.2467002868652,-19.465799331665
Sida spinosa,-44.2467002868652,-19.465799331665
Sida spinosa,-35.5449981689453,-6.94999980926514
Sida spinosa,-50.073600769043,-23.0464000701904
Sida spinosa,-35.4502983093262,-7.87472009658813
Sida spinosa,-35.4502983093262,-7.87472009658813
Sida spinosa,-35.4502983093262,-7.87472009658813
Sida spinosa,-34.8810997009277,-8.05389022827148
Sida spinosa,-34.8810997009277,-8.05389022827148
Sida spinosa,-34.8810997009277,-8.05389022827148
Sida spinosa,-37.2644004821777,-8.07361030578613
Sida spinosa,-51.1472015380859,-29.7602996826172
Sida spinosa,-43.2075004577637,-22.9027996063232
Sida spinosa,-43.2075004577637,-22.9027996063232
Sida spinosa,-43.2075004577637,-22.9027996063232
Sida spinosa,-43.2075004577637,-22.9027996063232
Sida spinosa,-43.2075004577637,-22.9027996063232
Sida spinosa,-43.7075004577637,-22.7439002990723
Sida spinosa,-43.7075004577637,-22.7439002990723
Sida spinosa,-43.7075004577637,-22.7439002990723
Sida spinosa,-43.7075004577637,-22.7439002990723
Sida spinosa,-36.6556015014648,-5.95749998092651
Sida spinosa,-54.1068992614746,-31.3313999176025
Sida spinosa,-53.6063995361328,-28.638599395752
Sida spinosa,-53.9146995544434,-28.3878002166748
Sida spinosa,-52.7714004516602,-27.3617000579834
Sida spinosa,-51.2299995422363,-30.0331001281738
Sida spinosa,-51.1472015380859,-29.7602996826172
Sida spinosa,-89.203333,19.181111
Sida spinosa,-55.7872009277344,-20.4710998535156
Sida spinosa,-57.0243988037109,-22.0139007568359
Sida spinosa,-56.3782997131348,-20.2406005859375
Sida spinosa,-56.3782997131348,-20.2406005859375
Sida spinosa,-57.8824996948242,-21.6989002227783
Sida spinosa,-51.4580993652344,-25.395299911499
Sida spinosa,-53.4844017028809,-23.0835990905762
Sida spinosa,-35.5647010803223,-8.20110988616943
Sida spinosa,-37.5567016601562,-5.79250001907349
Sida spinosa,-51.1794013977051,-29.1681003570557
Sida spinosa,-41.6946983337402,-17.1888999938965
Sida spinosa,-52.4067001342773,-28.2628002166748
Sida spinosa,-43,-6.75
Sida spinosa,-41.9,-6.95
Sida spinosa,-43.2075,-22.9028
Sida spinosa,-35.49,-6.8547
Sida spinosa,-35.545,-6.95
Sida spinosa,-36.0319,-9.1628
Sida spinosa,-35.545,-6.95
Sida spinosa,-43.8064002990723,-20.9535999298096
Sida spinosa,-44.360306,-21.579194
Sida spinosa,-44.461556,-21.225083
Sida spinosa,-44.268972,-21.142583
Sida spinosa,-44.75375,-21.289056
Sida spinosa,-53.168889,-22.715556
Sida spinosa,-53.168889,-22.715556
Sida spinosa,-53.168889,-22.715556
Sida spinosa,-53.169167,-22.713056
Sida spinosa,-53.169167,-22.713056
Sida spinosa,-55.767444,-28.552389
Sida spinosa,-52.0558013916016,-25.5722007751465
Sida spinosa,-54.632139,-22.701083
Sida spinosa,-54.6,-22.700611
Sida spinosa,-54.6,-22.700611
Sida spinosa,-58.544333,-19.359583
Sida spinosa,-47.9296989440918,-15.7797002792358
Sida spinosa,-51.1627998352051,-23.3103008270264
Sida spinosa,-53.4844017028809,-23.0835990905762
Sida spinosa,-40.4986000061035,-9.41166973114014
Sida spinosa var. angustifolia,-40.4986000061035,-9.41166973114014
Sida spinosa var. angustifolia,-40.4986000061035,-9.41166973114014
Sida spinosa var. angustifolia,-40.4986000061035,-9.41166973114014
Sida spinosa,-40.4986000061035,-9.41166973114014
Sida spinosa var. angustifolia,-34.8810997009277,-8.05389022827148
Sida spinosa var. angustifolia,-34.8810997009277,-8.05389022827148
Sida spinosa,-41.75,-13.58
Sida spinosa,-51.925602,-25.447968
Sida spinosa,-35.545,-6.95
Sida spinosa,-45.1408,-7.0844
Sida spinosa,-45.07,-7.38
Sida spinosa,-56.6228,-16.2569
Sida spinosa,-50.5,-10.5
Sida spinosa,-51.23,-30.0331
Sida spinosa,-42.1686,-4.7778
Sida spinosa,-37.0514,-10.5194
Sida spinosa,-47.06,-22.9
Sida spinosa,-37.67,-5.8
Sida spinosa,-79.92,-2.73
Sida spinosa spinosa,-35.716443,-6.970951
Sida spinosa,-39.72,-10.67
Sida spinosa,-43,-6.75
Sida spinosa,-51.613889,-20.786389
Sida spinosa,-44.5633010864258,-22.4960994720459
Sida spinosa,-43.1786003112793,-22.5049991607666
Sida spinosa angustifolia,-49.2647018432617,-8.25778007507324
Sida spinosa spinosa,-35.6916999816895,-6.96332979202271
Sida spinosa,-43.3560981750488,-4.85889005661011
Sida spinosa,-43.3560981750488,-4.85889005661011
Sida spinosa,-42.9803009033203,-20.8742008209229
Sida spinosa,-54.5611111,-20.4513889
Sida spinosa,-57.6619444,-17.9152778
Sida spinosa,-56.8277778,-20.8177778
Sida spinosa,-56.4472222,-21.0358333
Sida spinosa,-57.8333333,-19.45
Sida spinosa,-57.45,-19.4666667
Sida spinosa,-40.326944,-20.148056
Sida spinosa,-40.5110015869141,-20.6580009460449
Sida spinosa,-37.7785,-5.197611
Sida spinosa,-39.243861,-6.481806
Sida spinosa,-39.254583,-6.509222
Sida spinosa,-39.312889,-6.479444
Sida spinosa,-39.2905,-6.489167
Sida spinosa,-39.20875,-6.367472
Sida spinosa,-40.491667,-6.430056
Sida spinosa,-40.655556,-6.403556
Sida spinosa,-39.240011,-7.200017
Sida spinosa,-40.320008,-6.659989
Sida spinosa,-40.8725,-2.882222
Sida spinosa,-40.838806,-5.227833
Sida spinosa,-39.9975,-4.064167
Sida spinosa,-38.570833,-3.791111
Sida spinosa,-40.585611,-4.476
Sida spinosa,-38.642278,-3.709028
Sida spinosa,-40.1236000061035,-6.57360982894897
