SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Sinningia aghensis,-40.4006004333496,-18.710599899292
Sinningia aghensis,-40.7402992248535,-18.9831008911133
Sinningia aghensis,-40.7219009399414,-20.8377990722656
Sinningia aghensis,-40.4006004333496,-18.710599899292
Sinningia aghensis,-40.4006004333496,-18.710599899292
Sinningia aghensis,-40.3078002929688,-20.1285991668701
Sinningia aghensis,-40.3078002929688,-20.1285991668701
Sinningia aghensis,-40.3078002929688,-20.1285991668701
Sinningia aghensis,-40.2924995422363,-20.3297004699707
Sinningia aghensis,-40.2924995422363,-20.3297004699707
Sinningia aghensis,-40.2924995422363,-20.3297004699707
Sinningia aghensis,-40.2924995422363,-20.3297004699707
Sinningia aghensis,-40.3377990722656,-20.3194007873535
Sinningia aghensis,-40.7219009399414,-20.8377990722656
Sinningia aghensis,-40.2925,-20.3297
Sinningia aghensis,-40.3378,-20.3194
Sinningia aghensis,-40.7219009399414,-20.8377990722656
Sinningia aghensis,-41.260833,-17.856111
Sinningia aghensis,-41.260833,-17.856111
Sinningia aghensis,-41.260833,-17.856111
Sinningia aghensis,-40.4725,-18.7825
Sinningia aghensis,-40.6002998352051,-19.9356002807617
Sinningia aghensis,-40.678056,-19.814167
Sinningia aghensis,-40.681389,-19.805556
Sinningia aghensis,-40.681389,-19.805556
Sinningia aghensis,-40.6875,-19.757222
Sinningia aghensis,-40.681389,-19.805556
Sinningia aghensis,-40.551111,-19.348333
Sinningia aghensis,-40.665556,-18.977778
Sinningia aghensis,-40.6875,-19.757222
Sinningia aghensis,-40.6875,-19.757222
Sinningia aghensis,-40.692778,-19.828333
Sinningia aghensis,-40.441667,-20.1
Sinningia aghensis,-40.664694,-18.977639
Sinningia aghensis,-40.798611,-18.944167
Sinningia aghensis,-40.601944,-19.906111
Sinningia aghensis,-40.739722,-19.826944
Sinningia aghensis,-40.473889,-19.907944
Sinningia aghensis,-40.691667,-19.821944
Sinningia aghensis,-40.350278,-19.911667
Sinningia aghensis,-41.088611,-18.899444
Sinningia aghensis,-40.728889,-19.835
Sinningia aghensis,-41.260833,-17.856111
Sinningia aghensis,-40.737167,-19.831667
Sinningia aghensis,-40.444444,-18.781111
Sinningia aghensis,-40.538694,-18.609972
Sinningia aghensis,-40.456806,-18.768306
Sinningia aghensis,-41.3,-20.35
