SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Sinningia brasiliensis,-40.4006004333496,-18.710599899292
Sinningia brasiliensis,-40.7402992248535,-18.9831008911133
Sinningia brasiliensis,-40.611400604248,-18.6149997711182
Sinningia brasiliensis,-41.501944,-17.145278
Sinningia brasiliensis,-40.3377990722656,-20.3194007873535
Sinningia brasiliensis,-41.2971992492676,-16.0053005218506
Sinningia brasiliensis,-41.083611,-20.516111
Sinningia brasiliensis,-40.457778,-18.766944
Sinningia brasiliensis,-40.2117004394531,-12.7672004699707
Sinningia brasiliensis,-38.9967002868652,-14.2775001525879
Sinningia brasiliensis,-39.5311012268066,-17.0391998291016
Sinningia brasiliensis,-40.4308013916016,-13.4411001205444
Sinningia brasiliensis,-40.6591987609863,-20.3633003234863
Sinningia brasiliensis,-40.3856010437012,-19.7574996948242
Sinningia brasiliensis,-40.8513984680176,-19.2250003814697
Sinningia brasiliensis,-40.7663993835449,-17.7031002044678
Sinningia brasiliensis,-41.4768981933594,-16.2224998474121
Sinningia brasiliensis,-42.874698638916,-15.1549997329712
Sinningia brasiliensis,-40.1493988037109,-16.2488994598389
Sinningia brasiliensis,-41.083611,-20.516111
Sinningia brasiliensis,-39.6981010437012,-12.7118997573853
Sinningia brasiliensis,-39.6981010437012,-12.7118997573853
Sinningia brasiliensis,-39.8588981628418,-12.8699998855591
Sinningia brasiliensis,-39.55,-17.02
Sinningia brasiliensis,-39.5653,-15.3917
Sinningia brasiliensis,-39.6031,-16.9906
Sinningia brasiliensis,-39.4993633,-15.3049346
Sinningia brasiliensis,-39.55,-17.0166
Sinningia brasiliensis,-40.4306,-13.4411
Sinningia brasiliensis,-40.4306,-13.4411
Sinningia brasiliensis,-42.8744,-15.155
Sinningia brasiliensis,-41.5032997131348,-16.5617008209229
Sinningia brasiliensis,-41.3664016723633,-21.0641994476318
Sinningia brasiliensis,-40.6002998352051,-19.9356002807617
Sinningia brasiliensis,-40.301667,-20.298333
Sinningia brasiliensis,-40.876667,-19.231111
Sinningia brasiliensis,-40.3075,-20.278611
Sinningia brasiliensis,-40.786389,-19.223611
Sinningia brasiliensis,-40.2733001708984,-19.8202991485596
Sinningia brasiliensis,-41.1128005981445,-20.8488998413086
Sinningia brasiliensis,-40.5110015869141,-20.6580009460449
Sinningia brasiliensis,-41.3664016723633,-21.0641994476318
Sinningia brasiliensis,-40.4006004333496,-18.710599899292
Sinningia brasiliensis,-40.4006004333496,-18.710599899292
Sinningia brasiliensis,-40.4006004333496,-18.710599899292
Sinningia brasiliensis,-40.4006004333496,-18.710599899292
Sinningia brasiliensis,-40.4006004333496,-18.710599899292
Sinningia brasiliensis,-40.4006004333496,-18.710599899292
Sinningia brasiliensis,-40.4006004333496,-18.710599899292
Sinningia brasiliensis,-40.8513984680176,-19.2250003814697
Sinningia brasiliensis,-40.6568984985352,-19.738899230957
Sinningia brasiliensis,-40.3078002929688,-20.1285991668701
Sinningia brasiliensis,-40.3078002929688,-20.1285991668701
Sinningia brasiliensis,-40.2924995422363,-20.3297004699707
Sinningia brasiliensis,-40.3377990722656,-20.3194007873535
Sinningia brasiliensis,-40.3377990722656,-20.3194007873535
Sinningia brasiliensis,-40.3377990722656,-20.3194007873535
Sinningia brasiliensis,-40.3377990722656,-20.3194007873535
Sinningia brasiliensis,-40.3377990722656,-20.3194007873535
Sinningia brasiliensis,-42,-20.73
Sinningia brasiliensis,-40.533333,-19.966667
Sinningia brasiliensis,-40.056139,-16.405194
