SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Sinningia sceptrum,-46,-22.5
Sinningia cf. sceptrum af. sellowii,-51.2299995422363,-30.0331001281738
Sinningia sceptrum,-41.184700012207,-20.6035995483398
Sinningia sceptrum,-40.65,-19.983333
Sinningia sceptrum,-43.4075012207031,-20.0746994018555
Sinningia sceptrum,-43.040599822998,-22.6527996063232
Sinningia sceptrum,-42.5311012268066,-22.2819004058838
Sinningia sceptrum,-47.8199996948242,-22.25
Sinningia sceptrum,-41.0875,-20.519444
Sinningia sceptrum,-39.3342018127441,-15.4294004440308
Sinningia sceptrum,-40.749698638916,-20.6350002288818
Sinningia sceptrum,-40.749698638916,-20.6350002288818
Sinningia sceptrum,-39.8588981628418,-18.716100692749
Sinningia sceptrum,-56.3782997131348,-20.2406005859375
Sinningia sceptrum,-45.5657997131348,-21.0900001525879
Sinningia sceptrum,-43.5525016784668,-21.4566993713379
Sinningia sceptrum,-53.09728997,-10.78430668
Sinningia sceptrum,-42.8819007873535,-20.7539005279541
Sinningia sceptrum,-42.8819007873535,-20.7539005279541
Sinningia sceptrum,-43.5080986022949,-20.2875003814697
Sinningia sceptrum,-46.5614013671875,-21.7877998352051
Sinningia sceptrum,-48.5491981506348,-27.596700668335
Sinningia sceptrum,-42.5166667,-22.3666667
Sinningia sceptrum,-44.299028,-21.130861
Sinningia sceptrum,-48.05,-16.05
Sinningia sceptrum,-43.5080986022949,-20.2875003814697
Sinningia sceptrum,-43.040599822998,-22.6527996063232
Sinningia sceptrum,-42.986352,-22.417353
Sinningia sceptrum,-42.868031,-20.7613428
Sinningia sceptrum,-42.5208015441895,-20.6667003631592
Sinningia sceptrum,-42.0293998718262,-20.7331008911133
Sinningia sceptrum,-43.5080986022949,-20.2875003814697
Sinningia sceptrum,-43.5080986022949,-20.2875003814697
Sinningia sceptrum,-42.8819007873535,-20.7539005279541
Sinningia sceptrum,-42.8819007873535,-20.7539005279541
Sinningia sceptrum,-42.8819007873535,-20.7539005279541
Sinningia sceptrum,-42.8819007873535,-20.7539005279541
