SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Smilax elastica,-49.6356010437012,-25.5839004516602
Smilax elastica,-49.2731018066406,-25.4277992248535
Smilax elastica,-48.5092010498047,-25.5200004577637
Smilax elastica,-49.3400001525879,-24.1100006103516
Smilax elastica,-46.5800018310547,-23.3099994659424
Smilax elastica,-51.0999984741211,-21.1299991607666
Smilax elastica,-59.966667,-2.883333
Smilax elastica,-50,-25.166667
Smilax elastica,-53.733333,-26.533333
Smilax elastica,-41.333333,-13.333333
Smilax elastica,-38.916667,-15.916667
Smilax elastica,-41.366667,-12.533333
Smilax elastica,-39.05,-16.266667
Smilax cf. elastica,-49.7057991027832,-24.2511005401611
Smilax elastica,-48.5428009033203,-25.8174991607666
Smilax elastica,-48.6618995666504,-26.9078006744385
Smilax elastica,-39.7322006225586,-18.5932998657227
Smilax elastica,-40.0722007751465,-19.3910999298096
Smilax elastica,-49.561111,-24.75
Smilax elastica,-49.688889,-24.577778
Smilax elastica,-46.511111,-22.8375
Smilax elastica,-46.7,-23.983333
Smilax elastica,-48.141944,-25.0775
Smilax elastica,-44.846944,-22.404861
Smilax elastica,-44.907833,-22.450917
Smilax elastica,-44.907778,-22.450833
Smilax elastica,-44.847778,-22.4
Smilax elastica,-44.848889,-22.402778
Smilax elastica,-44.848889,-22.402778
Smilax elastica,-44.848889,-22.402778
Smilax elastica,-44.893056,-22.441944
Smilax elastica,-44.893056,-22.441944
Smilax elastica,-44.848889,-22.402778
Smilax elastica,-49.245889,-24.528822
Smilax elastica,-47.876944,-24.608333
Smilax elastica,-47.876944,-24.608333
Smilax elastica,-44.3630981445312,-6.37083005905151
Smilax elastica,-44.1800003051758,-17.8733005523682
Smilax elastica,-46.1446990966797,-22.7553005218506
Smilax elastica,-43.7449989318848,-19.513599395752
Smilax elastica,-43.7449989318848,-19.513599395752
Smilax elastica,-43.7449989318848,-19.513599395752
Smilax elastica,-43.3502998352051,-21.7642002105713
Smilax elastica,-44.999698638916,-21.2453002929688
Smilax elastica,-44.9667015075684,-22.3903007507324
Smilax elastica,-44.9667015075684,-22.3903007507324
Smilax elastica,-51.2783012390137,-23.2758007049561
Smilax elastica,-51.1627998352051,-23.3103008270264
Smilax elastica,-46.3199996948242,-23.3899993896484
Smilax elastica,-48.5900001525879,-23.7900009155273
Smilax elastica,-47.9199981689453,-25.0100002288818
Smilax elastica,-47.9199981689453,-25.0100002288818
Smilax elastica,-45.189998626709,-22.8099994659424
Smilax elastica,-47.2900009155273,-23.2600002288818
Smilax elastica,-46.8800010681152,-23.1800003051758
Smilax elastica,-46.6300010681152,-23.5400009155273
Smilax elastica,-46.6300010681152,-23.5400009155273
Smilax elastica,-46.6300010681152,-23.5400009155273
Smilax elastica,-46.7000007629395,-22.6100006103516
Smilax elastica,-40.666667,-11.833333
Smilax elastica,-46.371944,-23.976944
