SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Solanum hexandrum,-44.835,-23.333333
Solanum hexandrum,-44.647222,-23.044167
Solanum hexandrum,-41.184700012207,-20.6035995483398
Solanum hexandrum,-42.1391983032227,-19.7896995544434
Solanum hexandrum,-42.1391983032227,-19.7896995544434
Solanum hexandrum,-43.3502998352051,-21.7642002105713
Solanum hexandrum,-42.0228004455566,-20.9046993255615
Solanum hexandrum,-44.3199996948242,-22.6800003051758
Solanum hexandrum,-44.3199996948242,-22.6800003051758
Solanum hexandrum,-44.5699996948242,-22.6399993896484
Solanum hexandrum,-45.4099998474121,-23.7600002288818
Solanum hexandrum,-45.0699996948242,-23.4300003051758
Solanum hexandrum,-45.0699996948242,-23.4300003051758
Solanum hexandrum,-45.0699996948242,-23.4300003051758
Solanum hexandrum,-45.0699996948242,-23.4300003051758
Solanum hexandrum,-43.123611,-22.570556
Solanum hexandrum,-39.528611,-15.158056
Solanum hexandrum,-44.7131004333496,-23.2178001403809
Solanum hexandrum,-42.9655990600586,-22.4122009277344
Solanum hexandrum,-42.031667,-21.978333
Solanum hexandrum,-41.324722,-20.636944
Solanum hexandrum,-41.168056,-20.614167
Solanum hexandrum,-41.143333,-20.304722
Solanum hexandrum,-43.3502998352051,-21.7642002105713
Solanum hexandrum,-43.1786003112793,-22.5049991607666
Solanum hexandrum minax,-42.8819007873535,-20.7539005279541
Solanum hexandrum minax,-42.8819007873535,-20.7539005279541
Solanum hexandrum,-42.9655990600586,-22.4122009277344
Solanum hexandrum,-46.9194,-22.6061
Solanum hexandrum,-47.0608,-22.9056
Solanum hexandrum,-45.4097,-23.76
Solanum hexandrum,-45.0711,-23.4339
Solanum hexandrum,-42.0294,-20.7331
Solanum hexandrum,-42.506667,-21.418639
Solanum hexandrum,-45.0711,-23.4339
Solanum scuticum m.nee × s. hexandrum vell.,-45.1761,-22.6136
Solanum hexandrum,-42.1391983032227,-19.7896995544434
Solanum hexandrum,-42.7322006225586,-19.7122001647949
Solanum hexandrum,-42.644401550293,-19.5825004577637
Solanum hexandrum,-44.3199996948242,-22.6800003051758
Solanum hexandrum,-44.9599990844727,-23.0699996948242
Solanum hexandrum,-45,-23.5
Solanum hexandrum,-44.798046,-23.21177
Solanum hexandrum,-42.868031,-20.7613428
Solanum hexandrum,-42.8817,-20.7542
Solanum hexandrum,-42.860644,-20.766686
Solanum hexandrum,-42.868031,-20.7613428
Solanum hexandrum,-39.5286,-15.1581
Solanum hexandrum,-39.5361,-15.1603
Solanum hexandrum,-45.4097,-23.7603
Solanum hexandrum,-41.845278,-21.816389
Solanum hexandrum,-44.8342,-23.3367
Solanum hexandrum,-39.5286,-15.1581
Solanum hexandrum,-43.25,-22.53333
Solanum hexandrum,-39.58,-15.17
Solanum hexandrum,-43.22,-22.88
