SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Stillingia argutedentata,-40.4006004333496,-18.710599899292
Stillingia argutedentata,-40.611400604248,-18.6149997711182
Stillingia argutedentata,-41.4768981933594,-16.2224998474121
Stilingia argutedentata,-41.2971992492676,-16.0053005218506
Stillingia argutedentata,-41.290556,-16.059167
Stillingia argutedentata,-41.2971992492676,-16.0053005218506
Stillingia argutedentata,-41.291667,-16.041111
Stillingia argutedentata,-41.2,-16.13
Stillingia argutedentata,-41.277389,-16.020808
Stillingia argutedentata,-40.4006004333496,-18.710599899292
Stillingia argutedentata,-40.4006004333496,-18.710599899292
Stillingia argutedentata,-40.265278,-18.461111
Stillingia argutedentata,-41.2,-16.133333
Stillingia argutedentata,-41.2971992492676,-16.0053005218506
Stillingia argutedentata,-39.603056,-16.990556
Stillingia argutedentata,-41.260944,-17.855972
Stillingia argutedentata,-41.260944,-17.855972
Stillingia argutedentata,-40.995833,-17.8275
Stillingia argutedentata,-40.995,-17.863333
Stillingia argutedentata,-41.216944,-17.978333
Stillingia argutedentata,-41.2,-16.1333333
Stillingia argutedentata,-41.2971992492676,-16.0053005218506
Stillingia argutedentata,-40.691667,-19.821944
Stillingia argutedentata,-40.995833,-17.8275
Stillingia argutedentata,-40.553611,-18.653333
Stillingia argutedentata,-40.777778,-19.006111
Stillingia argutedentata,-40.99262,-17.823623
Stillingia argutedentata,-41.4768981933594,-16.2224998474121
Stillingia argutedentata,-40.466667,-18.75
Stillingia argutedentata,-40.446389,-18.782778
Stillingia argutedentata,-40.619583,-18.619528
Stillingia argutedentata,-40.4475,-18.770278
Stillingia argutedentata,-40.394444,-17.845833
Stillingia argutedentata,-40.816944,-18.539167
Stillingia argutedentata,-40.748611,-18.292778
Stillingia argutedentata,-40.457611,-18.767
Stillingia argutedentata,-41.238611,-18.543611
Stillingia argutedentata,-40.8908004760742,-18.7549991607666
Stillingia argutedentata,-40.511667,-16.605833
Stillingia argutedentata,-52.8731,-10.8339
Stillingia argutedentata,-52.8731,-10.8339
Stillingia argutedentata,-52.8731,-10.8339
Stillingia argutedentata,-52.8731,-10.8339
