SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Syagrus ruschiana,-40.7402992248535,-18.9831008911133
Syagrus ruschiana,-40.611400604248,-18.6149997711182
Syagrus ruschiana,-40.4006004333496,-18.710599899292
Syagrus ruschiana,-40.8514,-19.225
Syagrus ruschiana,-40.87,-19.25
Syagrus ruschiana,-40.9853,-18.5697
Syagrus ruschiana,-40.9853,-18.5697
Syagrus ruschiana,-40.0722007751465,-19.3910999298096
Syagrus ruschiana,-40.762328,-18.997903
Syagrus ruschiana,-40.879767,-19.231667
Syagrus ruschiana,-41.5053,-17.8575
Syagrus ruschiana,-41.241833,-17.7915
Syagrus ruschiana,-41.241833,-17.7915
Syagrus ruschiana,-40.4006004333496,-18.710599899292
Syagrus ruschiana,-40.4006004333496,-18.710599899292
Syagrus ruschiana,-40.683333,-19.407778
Syagrus ruschiana,-40.683333,-19.407778
Syagrus ruschiana,-40.648,-19.022833
Syagrus ruschiana,-40.665556,-18.977778
Syagrus ruschiana,-40.665556,-18.977778
Syagrus ruschiana,-40.665556,-18.978056
Syagrus ruschiana,-40.446389,-18.782778
Syagrus ruschiana,-40.483333,-18.8
Syagrus ruschiana,-40.993097,-18.575017
Syagrus ruschiana,-40.637806,-19.233972
Syagrus ruschiana,-40.681944,-19.403611
Syagrus ruschiana,-40.870278,-19.217778
Syagrus ruschiana,-41.432778,-18.7825
Syagrus ruschiana,-40.7175,-18.607222
Syagrus ruschiana,-40.8513984680176,-19.2250003814697
Syagrus ruschiana,-40.555833,-18.623056
Syagrus ruschiana,-40.712222,-18.978611
