SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Tabebuia reticulata,-40.7402992248535,-18.9831008911133
Tabebuia reticulata,-42.7043991088867,-21.8878002166748
Tabebuia reticulata,-41.2971992492676,-16.0053005218506
Tabebuia reticulata,-44.1603012084961,-14.2624998092651
Tabebuia reticulata,-40.552923,-19.339071
Tabebuia reticulata,-40.553611,-18.653333
Tabebuia reticulata,-41.421111,-17.005833
Tabebuia reticulata,-40.6002998352051,-19.9356002807617
Tabebuia reticulata,-41.0410995483398,-13.7628002166748
Tabebuia reticulata,-40.6002998352051,-19.9356002807617
Tabebuia reticulata,-41.421111,-17.005833
Tabebuia reticulata,-41.260944,-17.855972
Tabebuia reticulata,-40.553611,-18.653333
Tabebuia reticulata,-43.859167,-15.210278
Tabebuia reticulata,-41.4575,-21.791944
Tabebuia reticulata,-41.455,-21.7925
Tabebuia reticulata,-43.6744003295898,-15.3382997512817
Tabebuia reticulata,-40.678056,-19.814167
Tabebuia reticulata,-40.806944,-19.910833
Tabebuia reticulata,-40.731389,-19.833333
Tabebuia reticulata,-40.601944,-19.906111
Tabebuia reticulata,-40.558611,-19.339167
Tabebuia reticulata,-40.551111,-19.348333
Tabebuia reticulata,-40.798611,-18.944167
Tabebuia reticulata,-40.739444,-19.760833
Tabebuia reticulata,-41.046389,-20.076667
Tabebuia reticulata,-40.551111,-19.348333
Tabebuia reticulata,-40.368889,-18.448056
Tabebuia reticulata,-40.816944,-18.539167
Tabebuia reticulata,-41.088611,-18.899444
Tabebuia reticulata,-40.739722,-19.826944
Tabebuia reticulata,-40.604944,-18.62375
