SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Telmatoblechnum serrulatum,-55.416397,-11.081697
Telmatoblechnum serrulatum,-49.2731018066406,-25.4277992248535
Telmatoblechnum serrulatum,-48.3288993835449,-25.3066997528076
Telmatoblechnum serrulatum,-48.3288993835449,-25.3066997528076
Telmatoblechnum serrulatum,-48.5428009033203,-25.8174991607666
Telmatoblechnum serrulatum,-48.5428009033203,-25.8174991607666
Telmatoblechnum serrulatum,-48.5428009033203,-25.8174991607666
Telmatoblechnum serrulatum,-48.834400177002,-25.476900100708
Telmatoblechnum serrulatum,-48.5092010498047,-25.5200004577637
Telmatoblechnum serrulatum,-48.5092010498047,-25.5200004577637
Telmatoblechnum serrulatum,-48.5092010498047,-25.5200004577637
Telmatoblechnum serrulatum,-48.511100769043,-25.6735992431641
Telmatoblechnum serrulatum,-48.511100769043,-25.6735992431641
Telmatoblechnum serrulatum,-48.511100769043,-25.6735992431641
Telmatoblechnum serrulatum,-48.511100769043,-25.6735992431641
Telmatoblechnum serrulatum,-48.511100769043,-25.6735992431641
Telmatoblechnum serrulatum,-48.511100769043,-25.6735992431641
Telmatoblechnum serrulatum,-49.1988983154297,-25.9281005859375
Telmatoblechnum serrulatum,-48.8549995422363,-26.0266990661621
Telmatoblechnum serrulatum,-48.6161003112793,-26.1168994903564
Telmatoblechnum serrulatum,-48.6161003112793,-26.1168994903564
Telmatoblechnum serrulatum,-48.6161003112793,-26.1168994903564
Telmatoblechnum serrulatum,-48.5531005859375,-27.1578006744385
Telmatoblechnum serrulatum,-46.82175,-1.12922222
Telmatoblechnum serrulatum,-46.94427778,-1.12566667
Telmatoblechnum serrulatum,-50.07925,1.719
Telmatoblechnum serrulatum,-50.46819444,-1.68491667
Telmatoblechnum serrulatum,-46.75555556,-1.10222222
Telmatoblechnum serrulatum,-48.29852778,-0.94594444
Telmatoblechnum serrulatum,-46.77277778,-1.02972222
Telmatoblechnum serrulatum,-47.11852778,-1.21105556
Telmatoblechnum serrulatum,-50.78827778,1.54572222
Telmatoblechnum serrulatum,-46.68775,-1.05719444
Telmatoblechnum serrulatum,-46.94365278,-1.11666667
Telmatoblechnum serrulatum,-46.76972222,-1.03527778
Telmatoblechnum serrulatum,-47.39305556,-1.27333333
Telmatoblechnum serrulatum,-46.94363889,-1.11666667
Telmatoblechnum serrulatum,-50.58227778,1.37380556
Telmatoblechnum serrulatum,-46.64197222,-1.30161111
Telmatoblechnum serrulatum,-46.94969444,-1.27955556
Telmatoblechnum serrulatum,-47.56611111,-1.36916667
Telmatoblechnum serrulatum,-48.10294444,-1.52108333
Telmatoblechnum serrulatum,-49.92708333,1.37152778
Telmatoblechnum serrulatum,-46.84975,-1.17122222
Telmatoblechnum serrulatum,-47.75158333,-1.83522222
Telmatoblechnum serrulatum,-47.19466667,-1.28277778
Telmatoblechnum serrulatum,-52.36372222,-14.67108333
Telmatoblechnum serrulatum,-46.79244444,-1.03222222
Telmatoblechnum serrulatum,-47.34844444,-1.16905556
Telmatoblechnum serrulatum,-50.011,1.70027778
Telmatoblechnum serrulatum,-46.72122222,-1.31080556
Telmatoblechnum serrulatum,-46.65494444,-1.07388889
Telmatoblechnum serrulatum,-50.81988889,1.36211111
Telmatoblechnum serrulatum,-47.14644444,-0.97652778
Telmatoblechnum serrulatum,-48.25263889,-0.93475
Telmatoblechnum serrulatum,-46.73805556,-1.07972222
Telmatoblechnum serrulatum,-50.72061111,1.25952778
Telmatoblechnum serrulatum,-47.35066667,-1.01844444
Telmatoblechnum serrulatum,-47.32411111,-1.13972222
Telmatoblechnum serrulatum,-46.72036111,-1.29694444
Telmatoblechnum serrulatum,-54.17777778,-2.01555556
Telmatoblechnum serrulatum,-52.43997222,-14.68280556
Telmatoblechnum serrulatum,-54.18638889,-2.02416667
Telmatoblechnum serrulatum,-52.34138889,-14.91833333
Telmatoblechnum serrulatum,-46.83397222,-1.50252778
Telmatoblechnum serrulatum,-48.33972222,-1.40230556
Telmatoblechnum serrulatum,-48.27263889,-0.92894444
Telmatoblechnum serrulatum,-50.40866667,-1.59597222
Telmatoblechnum serrulatum,-48.00833333,-1.29961111
Telmatoblechnum serrulatum,-50.72061111,1.25952778
Telmatoblechnum serrulatum,-46.73805556,-1.07972222
Telmatoblechnum serrulatum,-47.57425,-1.13144444
Telmatoblechnum serrulatum,-48.28938889,-1.21361111
Telmatoblechnum serrulatum,-46.94365278,-1.11666667
Telmatoblechnum serrulatum,-47.32411111,-1.13972222
Telmatoblechnum serrulatum,-48.23255556,-0.92730556
Telmatoblechnum serrulatum,-47.43869444,-1.71730556
Telmatoblechnum serrulatum,-50.47438889,-1.63655556
Telmatoblechnum serrulatum,-47.36861111,-0.93166667
Telmatoblechnum serrulatum,-50.10038889,1.72836111
Telmatoblechnum serrulatum,-50.73138889,1.36833333
Telmatoblechnum serrulatum,-52.353099822998,-14.6732997894287
Telmatoblechnum serrulatum,-52.353099822998,-14.6732997894287
Telmatoblechnum serrulatum,-52.353099822998,-14.6732997894287
Telmatoblechnum serrulatum,-52.1996994018555,-12.5968999862671
Telmatoblechnum serrulatum,-48.5043983459473,-1.4558299779892
Telmatoblechnum serrulatum,-48.5043983459473,-1.4558299779892
Telmatoblechnum serrulatum,-46.7655982971191,-1.05360996723175
Telmatoblechnum serrulatum,-47.1808013916016,-1.19582998752594
Telmatoblechnum serrulatum,-47.6199989318848,-1.12889003753662
Telmatoblechnum serrulatum,-47.581901550293,-0.595000028610229
Telmatoblechnum serrulatum,-50.7122001647949,-1.80444002151489
Telmatoblechnum serrulatum,-50.7122001647949,-1.80444002151489
Telmatoblechnum serrulatum,-54.0691986083984,-2.00778007507324
Telmatoblechnum serrulatum,-47.7710990905762,-1.67417001724243
Telmatoblechnum serrulatum,-63.9039001464844,-8.76194000244141
Telmatoblechnum serrulatum,-63.9039001464844,-8.76194000244141
Telmatoblechnum serrulatum,-47.32583333,-0.95977778
Telmatoblechnum serrulatum,-47.03055556,-0.91475
Telmatoblechnum serrulatum,-48.25108333,-0.958
Telmatoblechnum serrulatum,-47.69377778,-1.31127778
Telmatoblechnum serrulatum,-47.22058333,-1.29555556
Telmatoblechnum serrulatum,-46.94365278,-1.11666667
Telmatoblechnum serrulatum,-52.37197222,-14.66891667
Telmatoblechnum serrulatum,-47.34436111,-1.37869444
Telmatoblechnum serrulatum,-47.97205556,-1.31116667
Telmatoblechnum serrulatum,-52.1585998535156,-14.0500001907349
Telmatoblechnum serrulatum,0,-14.6705
Telmatoblechnum serrulatum,-39.021667,-14.178056
Telmatoblechnum serrulatum,-35.125833,-6.838889
Telmatoblechnum serrulatum,-34.863056,-7.115
Telmatoblechnum serrulatum,-34.863056,-7.115
Telmatoblechnum serrulatum,-35.125833,-6.838889
Telmatoblechnum serrulatum,-35.125833,-6.838889
Telmatoblechnum serrulatum,-35.125833,-6.838889
Telmatoblechnum serrulatum,-34.863056,-7.115
Telmatoblechnum serrulatum,-35.125833,-6.838889
Telmatoblechnum serrulatum,-34.8810997009277,-8.05389022827148
Telmatoblechnum serrulatum,-48.490722,-25.634861
Telmatoblechnum serrulatum,-39.769167,-19.533056
Telmatoblechnum serrulatum,-47.348444,-1.169056
Telmatoblechnum serrulatum,-46.720361,-1.296944
Telmatoblechnum serrulatum,-54.177778,-2.015556
